fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,2520,2850,0.3606060606060606,-0.3343946180297823,-6.441304293185411,-0.33586792512615476,0.22857142857142856,35,"[np.float64(0.08999999999999996), np.float64(0.9099999999999999), np.float64(1.1102230246251565e-16)]"
2,330,2850,3180,0.40606060606060607,0.0,0.0,0.0,0.0,0,"[np.float64(0.55), np.float64(0.0), np.float64(0.44999999999999996)]"
3,660,3180,3510,0.3151515151515151,-0.03667848269876904,-1.873466807947861,-0.10511144649444905,0.3333333333333333,6,"[np.float64(0.41), np.float64(0.58), np.float64(0.01000000000000012)]"
4,990,3510,3840,0.34545454545454546,0.15885092219778926,7.212812421697675,-0.06417757695739204,0.5714285714285714,7,"[np.float64(0.039999999999999925), np.float64(0.049999999999999906), np.float64(0.9100000000000001)]"
5,1320,3840,4170,0.3606060606060606,-0.11095310179045646,-4.526309649955618,-0.21162306572299786,0.25,8,"[np.float64(0.6), np.float64(0.05999999999999997), np.float64(0.3400000000000001)]"
6,1650,4170,4500,0.41818181818181815,0.021150834002000737,3.2233866582768607,-0.03140797849999999,0.5,2,"[np.float64(0.5199999999999999), np.float64(0.42), np.float64(0.06000000000000011)]"
7,1980,4500,4830,0.4484848484848485,-0.2184508199536199,-8.7904196895489,-0.24828281022445794,0.2,15,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
8,2310,4830,5160,0.42424242424242425,0.04609366628837997,6.627413739408789,-0.013276683963931597,0.5,2,"[np.float64(0.4), np.float64(0.4), np.float64(0.19999999999999996)]"
9,2640,5160,5490,0.22121212121212122,-0.18946246118657417,-10.27536963891563,-0.20078863948053233,0.0,7,"[np.float64(0.30000000000000004), np.float64(0.25), np.float64(0.44999999999999996)]"
10,2970,5490,5820,0.4393939393939394,0.14404421891056354,4.241536406161754,-0.09388440505998714,0.47058823529411764,17,"[np.float64(0.31999999999999995), np.float64(0.33999999999999997), np.float64(0.3400000000000001)]"
11,3300,5820,6150,0.5484848484848485,0.13752143339415598,4.097085586285357,-0.1367249451694291,0.45454545454545453,22,"[np.float64(0.32999999999999996), np.float64(0.6499999999999999), np.float64(0.02000000000000013)]"
12,3630,6150,6480,0.3151515151515151,-0.2740555595848411,-5.596333253440409,-0.360744070668092,0.19047619047619047,21,"[np.float64(0.0), np.float64(0.9500000000000001), np.float64(0.04999999999999993)]"
13,3960,6480,6810,0.4727272727272727,0.3701629352158194,6.294986406182506,-0.125923529065892,0.5416666666666666,24,"[np.float64(0.0), np.float64(0.7000000000000001), np.float64(0.29999999999999993)]"
14,4290,6810,7140,0.3515151515151515,-0.014553645942355252,-0.1619374396340546,-0.12739119096681062,0.4,10,"[np.float64(0.31999999999999984), np.float64(0.059999999999999915), np.float64(0.6200000000000002)]"
15,4620,7140,7470,0.3303030303030303,-0.024848689525312693,-0.3144290481016613,-0.23814484753795656,0.35294117647058826,17,"[np.float64(0.15000000000000002), np.float64(0.0), np.float64(0.85)]"
16,4950,7470,7800,0.38484848484848483,-0.17266978491855262,-6.907631722849249,-0.23954443700157055,0.3333333333333333,18,"[np.float64(0.05), np.float64(0.0), np.float64(0.95)]"
17,5280,7800,8130,0.4212121212121212,0.007869573334259257,0.8239621299920602,-0.11466572800313861,0.38095238095238093,21,"[np.float64(0.0), np.float64(0.38), np.float64(0.62)]"
18,5610,8130,8460,0.44545454545454544,-0.06569724366455484,0.04308999870512865,-0.28685740408130883,0.35294117647058826,34,"[np.float64(0.1), np.float64(0.9), np.float64(0.0)]"
19,5940,8460,8790,0.44242424242424244,-0.10580644276183467,-1.2982656827920804,-0.2979607235298477,0.34615384615384615,26,"[np.float64(0.13999999999999999), np.float64(0.68), np.float64(0.17999999999999994)]"
20,6270,8790,9120,0.45151515151515154,-0.21671092003872372,-9.947170098203094,-0.22694340408220673,0.15384615384615385,13,"[np.float64(0.33999999999999997), np.float64(0.58), np.float64(0.08000000000000007)]"
21,6600,9120,9450,0.3333333333333333,-0.16740978420079955,-5.219575678094893,-0.23501261728725822,0.25,20,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
22,6930,9450,9780,0.42424242424242425,-0.23159618675700894,-5.946412320065774,-0.25669359740333425,0.2222222222222222,18,"[np.float64(0.25999999999999995), np.float64(0.12999999999999992), np.float64(0.6100000000000001)]"
23,7260,9780,10110,0.37575757575757573,-0.11023026496536058,-1.7371663936469202,-0.24098264642827916,0.2222222222222222,9,"[np.float64(0.35000000000000003), np.float64(0.0), np.float64(0.6499999999999999)]"
24,7590,10110,10440,0.30303030303030304,-0.19140519926077695,-5.983393607077445,-0.24745152467253984,0.16666666666666666,12,"[np.float64(0.25), np.float64(0.30000000000000004), np.float64(0.44999999999999996)]"
