fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,2520,2850,0.46060606060606063,0.17178255223662836,12.69444402040915,-0.01503556572174651,1.0,3,"[np.float64(0.5199999999999998), np.float64(0.4399999999999999), np.float64(0.04000000000000031)]"
2,330,2850,3180,0.396969696969697,-0.23835548297442666,-10.346089304193372,-0.2741721517314214,0.09090909090909091,11,"[np.float64(0.00999999999999994), np.float64(0.98), np.float64(0.01000000000000012)]"
3,660,3180,3510,0.3939393939393939,-0.16517396573314727,-5.218126561040661,-0.23346841533473645,0.23529411764705882,17,"[np.float64(0.0), np.float64(0.9), np.float64(0.09999999999999998)]"
4,990,3510,3840,0.3696969696969697,0.08502892751427135,3.3137132754403775,-0.0996993184062683,0.6,5,"[np.float64(0.0), np.float64(0.71), np.float64(0.29000000000000004)]"
5,1320,3840,4170,0.4,-0.22582284982567516,-6.446353720519375,-0.23687191317943948,0.1875,16,"[np.float64(0.029999999999999943), np.float64(0.10999999999999992), np.float64(0.8600000000000002)]"
6,1650,4170,4500,0.39090909090909093,0.0,0.0,0.0,0.0,0,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]"
7,1980,4500,4830,0.3575757575757576,-0.02893421198647993,-0.5608315633878762,-0.16188200522013774,0.4,10,"[np.float64(0.00999999999999994), np.float64(0.5299999999999999), np.float64(0.4600000000000002)]"
8,2310,4830,5160,0.44242424242424244,-0.03971650367642687,-0.7101120188612042,-0.19912577927015776,0.3333333333333333,15,"[np.float64(0.55), np.float64(0.4), np.float64(0.04999999999999993)]"
9,2640,5160,5490,0.4666666666666667,0.11665650006001742,4.219800888870482,-0.10409142619151587,0.5,10,"[np.float64(0.16999999999999996), np.float64(0.6), np.float64(0.2300000000000001)]"
10,2970,5490,5820,0.2878787878787879,0.021150834002001285,3.416659029451999,-0.03549779588260717,0.5,2,"[np.float64(0.3599999999999999), np.float64(0.029999999999999846), np.float64(0.6100000000000003)]"
11,3300,5820,6150,0.4,-0.02172362081736319,-0.5738525765194048,-0.12239186717782305,0.3333333333333333,6,"[np.float64(0.6399999999999999), np.float64(0.049999999999999836), np.float64(0.3100000000000003)]"
12,3630,6150,6480,0.36666666666666664,-0.1398452723128028,-3.8043295916173556,-0.24591603497738862,0.2777777777777778,18,"[np.float64(0.0), np.float64(0.9500000000000001), np.float64(0.04999999999999993)]"
13,3960,6480,6810,0.4696969696969697,-0.2542993291774107,-3.6928425346879346,-0.264490465567487,0.2727272727272727,33,"[np.float64(0.0), np.float64(0.9500000000000001), np.float64(0.04999999999999993)]"
14,4290,6810,7140,0.4303030303030303,0.021150834002001285,1.409334717763619,-0.07388081987818021,0.5,2,"[np.float64(0.1), np.float64(0.9), np.float64(0.0)]"
15,4620,7140,7470,0.3878787878787879,-0.27234043245853934,-12.617063881029932,-0.2894358311022097,0.0,11,"[np.float64(0.1999999999999999), np.float64(0.69), np.float64(0.1100000000000001)]"
16,4950,7470,7800,0.43636363636363634,0.09878447558650515,5.130939217728309,-0.049824024042534096,0.6,5,"[np.float64(0.6499999999999998), np.float64(0.33999999999999986), np.float64(0.010000000000000342)]"
17,5280,7800,8130,0.5454545454545454,0.12815742261477372,2.786416293087903,-0.19189640662607374,0.4,45,"[np.float64(0.2), np.float64(0.8), np.float64(0.0)]"
18,5610,8130,8460,0.396969696969697,-0.11930442149403316,-2.767348253583766,-0.20520505644972784,0.0,4,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]"
19,5940,8460,8790,0.3606060606060606,0.0,0.0,0.0,0.0,0,"[np.float64(0.7799999999999998), np.float64(0.18999999999999984), np.float64(0.03000000000000036)]"
20,6270,8790,9120,0.5060606060606061,-0.06168784697610063,-5.579954650561976,-0.06168784697610063,0.0,2,"[np.float64(0.3500000000000001), np.float64(0.05000000000000001), np.float64(0.6)]"
21,6600,9120,9450,0.48484848484848486,0.09823578874441992,3.467013244576737,-0.074621581016624,0.46153846153846156,13,"[np.float64(0.30000000000000004), np.float64(0.05), np.float64(0.6499999999999999)]"
22,6930,9450,9780,0.44242424242424244,-0.07276269716176376,-2.290844176820932,-0.13530510194740963,0.3076923076923077,13,"[np.float64(0.0), np.float64(0.7000000000000001), np.float64(0.29999999999999993)]"
23,7260,9780,10110,0.4393939393939394,-0.1761497940418143,-4.2237549390921965,-0.2530077429701901,0.23529411764705882,17,"[np.float64(0.2), np.float64(0.0), np.float64(0.8)]"
24,7590,10110,10440,0.3787878787878788,-0.260539694404309,-7.676167669023098,-0.3371701338725648,0.21052631578947367,19,"[np.float64(0.12999999999999998), np.float64(0.7699999999999999), np.float64(0.10000000000000009)]"
