fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,1260,1425,0.30303030303030304,-0.03140797849999999,-9.850831705204898,-0.031958439329158865,0.0,2,"[np.float64(0.6799999999999999), np.float64(0.30999999999999983), np.float64(0.010000000000000231)]"
2,165,1425,1590,0.4909090909090909,-0.13034740547341062,-5.0221069351388,-0.19611479892947337,0.26666666666666666,15,"[np.float64(0.2), np.float64(0.65), np.float64(0.15000000000000002)]"
3,330,1590,1755,0.38181818181818183,-0.0010322595131923662,0.3860360684347605,-0.0937153206314527,0.375,8,"[np.float64(0.0), np.float64(0.2), np.float64(0.8)]"
4,495,1755,1920,0.24848484848484848,-0.06182949588654301,-8.1249533817426,-0.06922274079934795,0.0,2,"[np.float64(0.65), np.float64(0.0), np.float64(0.35)]"
5,660,1920,2085,0.36363636363636365,-0.0010322595131934578,0.5807388956931274,-0.14668053987974497,0.375,8,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
6,825,2085,2250,0.2909090909090909,-0.126730314172412,-8.480576391473095,-0.12987779701294586,0.25,8,"[np.float64(0.33999999999999997), np.float64(0.36), np.float64(0.30000000000000004)]"
7,990,2250,2415,0.2727272727272727,-0.04198640728846603,-2.7661479496397945,-0.06449617816246155,0.25,4,"[np.float64(0.8), np.float64(0.05), np.float64(0.14999999999999997)]"
8,1155,2415,2580,0.40606060606060607,-0.03126173642150006,-7.562969941297425,-0.03234740064356584,0.0,1,"[np.float64(0.61), np.float64(0.039999999999999925), np.float64(0.3500000000000001)]"
9,1320,2580,2745,0.22424242424242424,0.0,0.0,0.0,0.0,0,"[np.float64(0.6000000000000001), np.float64(0.07999999999999995), np.float64(0.31999999999999995)]"
10,1485,2745,2910,0.3090909090909091,-0.09961238027465898,-6.681029033821328,-0.16120855133590536,0.25,8,"[np.float64(0.21999999999999992), np.float64(0.74), np.float64(0.040000000000000036)]"
11,1650,2910,3075,0.30303030303030304,-0.2001911387938714,-18.494225976911984,-0.2001911387938714,0.0,7,"[np.float64(0.00999999999999994), np.float64(0.03999999999999995), np.float64(0.9500000000000002)]"
12,1815,3075,3240,0.2787878787878788,-0.0781046530148189,-3.624922415541174,-0.1553186646327516,0.3333333333333333,9,"[np.float64(0.0), np.float64(0.15000000000000002), np.float64(0.85)]"
13,1980,3240,3405,0.3696969696969697,0.0410134202682133,3.2726772871919345,-0.06640524462415853,0.6666666666666666,3,"[np.float64(0.75), np.float64(0.2), np.float64(0.04999999999999999)]"
14,2145,3405,3570,0.38181818181818183,0.10812659520611397,9.017264073439812,-0.10773327479749406,0.5714285714285714,7,"[np.float64(0.25), np.float64(0.5), np.float64(0.25)]"
15,2310,3570,3735,0.36363636363636365,0.04053061496875435,2.5632847582791594,-0.12450527525606678,0.46153846153846156,13,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
16,2475,3735,3900,0.5696969696969697,0.06482974256537637,7.468800969971564,-0.031368414018214934,0.6666666666666666,3,"[np.float64(0.65), np.float64(0.25), np.float64(0.09999999999999998)]"
17,2640,3900,4065,0.2909090909090909,-0.1566637137574793,-15.962993942956855,-0.16593250711971533,0.1111111111111111,9,"[np.float64(0.29), np.float64(0.14999999999999997), np.float64(0.56)]"
18,2805,4065,4230,0.37575757575757573,-0.04155240705878787,-2.8207351691959857,-0.07790786539065159,0.25,4,"[np.float64(0.0), np.float64(0.9), np.float64(0.09999999999999998)]"
19,2970,4230,4395,0.34545454545454546,0.0,0.0,0.0,0.0,0,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]"
20,3135,4395,4560,0.3696969696969697,0.0,0.0,0.0,0.0,0,"[np.float64(0.8899999999999996), np.float64(0.07999999999999981), np.float64(0.030000000000000623)]"
21,3300,4560,4725,0.3515151515151515,-0.09713086757700166,-7.9285242313562945,-0.12645800127739731,0.2,5,"[np.float64(0.25), np.float64(0.75), np.float64(0.0)]"
22,3465,4725,4890,0.4121212121212121,-0.010814061317436062,-0.567216788125261,-0.08250247451422991,0.4,5,"[np.float64(0.0), np.float64(0.41), np.float64(0.5900000000000001)]"
23,3630,4890,5055,0.42424242424242425,-0.0479526870421736,-3.868811368203047,-0.07947539506180656,0.375,8,"[np.float64(0.05), np.float64(0.0), np.float64(0.95)]"
24,3795,5055,5220,0.3333333333333333,-0.04180794779001244,-6.888839169055594,-0.061546176678912455,0.25,4,"[np.float64(0.5), np.float64(0.45), np.float64(0.04999999999999999)]"
