fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,10080,11400,0.4037878787878788,0.23187069709297703,2.860333835073827,-0.12912726807723168,0.47619047619047616,21,"[np.float64(0.73), np.float64(0.10999999999999995), np.float64(0.1600000000000001)]"
2,1320,11400,12720,0.3734848484848485,0.2719919318254868,2.9351029356046356,-0.14364340372246542,0.46875,32,"[np.float64(0.5399999999999999), np.float64(0.0), np.float64(0.4600000000000001)]"
3,2640,12720,14040,0.403030303030303,0.1108780984685247,3.744630984433996,-0.05218380987045809,1.0,2,"[np.float64(0.74), np.float64(0.01999999999999988), np.float64(0.24000000000000013)]"
4,3960,14040,15360,0.33106060606060606,-0.204007746734811,-3.360279443702689,-0.2608330382098665,0.23529411764705882,17,"[np.float64(0.35000000000000003), np.float64(0.2), np.float64(0.4499999999999999)]"
5,5280,15360,16680,0.2553030303030303,-0.10307510909745961,-1.6888623458249075,-0.14941511296980323,0.35714285714285715,14,"[np.float64(0.44999999999999984), np.float64(0.029999999999999846), np.float64(0.5200000000000004)]"
6,6600,16680,18000,0.32651515151515154,-0.00628238437897362,0.11787889279510999,-0.11611596683335822,0.4117647058823529,17,"[np.float64(0.0), np.float64(0.00999999999999994), np.float64(0.9900000000000001)]"
7,7920,18000,19320,0.30833333333333335,-0.09203420815814861,-1.7355366586277028,-0.18355224364849837,0.2857142857142857,14,"[np.float64(0.0), np.float64(0.1799999999999999), np.float64(0.8200000000000001)]"
8,9240,19320,20640,0.31666666666666665,-0.09506973317334214,-1.862765929331185,-0.19121876449664313,0.4,15,"[np.float64(0.15000000000000002), np.float64(0.35000000000000003), np.float64(0.49999999999999994)]"
9,10560,20640,21960,0.20757575757575758,-0.12009989202565921,-3.4677197240660265,-0.14642472101281623,0.14285714285714285,7,"[np.float64(0.69), np.float64(0.1399999999999999), np.float64(0.17000000000000015)]"
10,11880,21960,23280,0.3704545454545455,0.027191052819841754,0.7268622990411475,-0.11051569499658256,0.46153846153846156,13,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
11,13200,23280,24600,0.31893939393939397,0.08596951540888549,1.7667356176951796,-0.10527387158757688,0.5,10,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
12,14520,24600,25920,0.30833333333333335,-0.16567132358181097,-3.716934150769039,-0.1782334349012577,0.16666666666666666,12,"[np.float64(0.00999999999999994), np.float64(0.73), np.float64(0.2600000000000001)]"
13,15840,25920,27240,0.3090909090909091,-0.15853094746134266,-2.1126240053578447,-0.22035515600956823,0.2916666666666667,24,"[np.float64(0.14999999999999997), np.float64(0.85), np.float64(1.1102230246251565e-16)]"
14,17160,27240,28560,0.31742424242424244,-0.04622195895173536,-0.9578699644147378,-0.14452472443369788,0.3333333333333333,9,"[np.float64(0.41999999999999993), np.float64(0.0), np.float64(0.5800000000000001)]"
15,18480,28560,29880,0.3196969696969697,-0.25886107324126917,-5.701240939786304,-0.28024701551043263,0.2,15,"[np.float64(0.2599999999999998), np.float64(0.01999999999999985), np.float64(0.7200000000000004)]"
16,19800,29880,31200,0.38106060606060604,0.05271477154099393,1.5230486528155585,-0.09325218982620838,0.6,5,"[np.float64(0.98), np.float64(0.019999999999999934), np.float64(8.326672684688674e-17)]"
17,21120,31200,32520,0.3393939393939394,0.021032711890978863,1.0292248781213462,-0.05564145541335867,0.5,2,"[np.float64(0.8500000000000001), np.float64(0.07999999999999996), np.float64(0.06999999999999995)]"
18,22440,32520,33840,0.35,-0.20170488114778173,-3.3644063983245465,-0.2237418345334801,0.23529411764705882,17,"[np.float64(0.18999999999999995), np.float64(0.05999999999999994), np.float64(0.7500000000000001)]"
19,23760,33840,35160,0.3984848484848485,-0.1468364945368676,-4.107128024682292,-0.17054914512971897,0.0,5,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]"
20,25080,35160,36480,0.3446969696969697,-0.07276269716176376,-1.0582818924589328,-0.13627426057478367,0.3076923076923077,13,"[np.float64(0.0), np.float64(0.12999999999999998), np.float64(0.87)]"
21,26400,36480,37800,0.36287878787878786,-0.0603738072901886,-0.711481644235814,-0.21753615642228738,0.34615384615384615,26,"[np.float64(0.19999999999999996), np.float64(0.48), np.float64(0.32000000000000006)]"
22,27720,37800,39120,0.32651515151515154,-0.16600008916471343,-3.3366428527610346,-0.20037136781535242,0.18181818181818182,11,"[np.float64(0.61), np.float64(0.31999999999999995), np.float64(0.07000000000000006)]"
23,29040,39120,40440,0.31287878787878787,0.16107553354992615,2.352103422952897,-0.13442230199670283,0.5,16,"[np.float64(0.4), np.float64(0.0), np.float64(0.6)]"
24,30360,40440,41760,0.35833333333333334,0.0,0.0,0.0,0.0,0,"[np.float64(0.9499999999999998), np.float64(0.009999999999999912), np.float64(0.040000000000000244)]"
25,31680,41760,43080,0.29924242424242425,0.0,0.0,0.0,0.0,0,"[np.float64(0.8699999999999999), np.float64(0.08999999999999979), np.float64(0.04000000000000033)]"
