fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,2520,2850,0.44242424242424244,0.0,0.0,0.0,0.0,0,"[np.float64(0.8799999999999999), np.float64(0.009999999999999912), np.float64(0.1100000000000002)]"
2,330,2850,3180,0.4303030303030303,-0.3747538577314802,-10.415967906244138,-0.44662312493324524,0.1724137931034483,29,"[np.float64(0.25), np.float64(0.75), np.float64(0.0)]"
3,660,3180,3510,0.45151515151515154,0.041672638181246294,1.5685123713730214,-0.16241873958377526,0.4166666666666667,12,"[np.float64(0.06999999999999995), np.float64(0.7599999999999999), np.float64(0.17000000000000015)]"
4,990,3510,3840,0.396969696969697,0.12245375734869612,4.960829194299484,-0.07824600427355835,0.5714285714285714,7,"[np.float64(0.0), np.float64(0.5), np.float64(0.5)]"
5,1320,3840,4170,0.5272727272727272,0.00991719472952027,0.754684721385657,-0.11067547674910819,0.4,5,"[np.float64(0.25), np.float64(0.4), np.float64(0.35)]"
6,1650,4170,4500,0.4696969696969697,-0.2531492769367411,-2.351309386028944,-0.3746837962989088,0.29545454545454547,44,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
7,1980,4500,4830,0.35454545454545455,-0.2084483440890568,-7.125726572020187,-0.2511760722893963,0.1,10,"[np.float64(0.2799999999999999), np.float64(0.029999999999999846), np.float64(0.6900000000000003)]"
8,2310,4830,5160,0.46060606060606063,-0.15891324664932982,-3.9298337766640836,-0.2180591172252881,0.3,20,"[np.float64(0.00999999999999994), np.float64(0.71), np.float64(0.28000000000000014)]"
9,2640,5160,5490,0.3696969696969697,-0.09115833490456443,-7.633766531815649,-0.13001809353755225,0.0,3,"[np.float64(0.23999999999999996), np.float64(0.21999999999999997), np.float64(0.5400000000000001)]"
10,2970,5490,5820,0.3515151515151515,-0.14823171136490274,-6.054763890819326,-0.26841868575258304,0.23076923076923078,13,"[np.float64(0.10999999999999995), np.float64(0.41), np.float64(0.48000000000000004)]"
11,3300,5820,6150,0.36666666666666664,-0.20101674909958783,-6.018241549218245,-0.27219230389552307,0.2,15,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]"
12,3630,6150,6480,0.44242424242424244,0.0,0.0,0.0,0.0,0,"[np.float64(0.96), np.float64(0.0), np.float64(0.040000000000000036)]"
13,3960,6480,6810,0.3484848484848485,-0.3110079701669744,-5.660455737400188,-0.3846183103249586,0.2,25,"[np.float64(0.0), np.float64(0.9500000000000001), np.float64(0.04999999999999993)]"
14,4290,6810,7140,0.5242424242424243,0.17012550059022524,5.585414970942476,-0.0997768927843626,0.5454545454545454,11,"[np.float64(0.00999999999999994), np.float64(0.23999999999999994), np.float64(0.7500000000000002)]"
15,4620,7140,7470,0.35454545454545455,-0.18415438321367192,-6.451420840800577,-0.2261461001818706,0.23529411764705882,17,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
16,4950,7470,7800,0.46060606060606063,0.04250779875144617,2.4787756906147496,-0.07019479852994182,0.5,4,"[np.float64(0.76), np.float64(0.08999999999999989), np.float64(0.1500000000000001)]"
17,5280,7800,8130,0.5393939393939394,0.10867267376743348,3.0917697182096746,-0.18341878552432173,0.4666666666666667,15,"[np.float64(0.10999999999999992), np.float64(0.8200000000000001), np.float64(0.07000000000000006)]"
18,5610,8130,8460,0.5303030303030303,-0.02353551026540681,0.1955534612671121,-0.1675073377115656,0.36363636363636365,22,"[np.float64(0.06999999999999992), np.float64(0.4099999999999999), np.float64(0.5200000000000001)]"
19,5940,8460,8790,0.36363636363636365,-0.09189532339404904,-2.0333832502959828,-0.2106725161146277,0.2727272727272727,11,"[np.float64(0.17999999999999997), np.float64(0.57), np.float64(0.2500000000000001)]"
20,6270,8790,9120,0.5,-0.26568536600763193,-6.671238053011645,-0.27001720042099053,0.21739130434782608,23,"[np.float64(0.05999999999999997), np.float64(0.2699999999999999), np.float64(0.6700000000000002)]"
21,6600,9120,9450,0.4090909090909091,0.0,0.0,0.0,0.0,0,"[np.float64(0.7799999999999999), np.float64(0.0), np.float64(0.22000000000000008)]"
22,6930,9450,9780,0.47878787878787876,-0.013070538978197328,0.1902701756496918,-0.17998896651041263,0.35294117647058826,17,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
23,7260,9780,10110,0.3515151515151515,-0.08631753117323042,-2.9082221790745906,-0.19783981398162934,0.3333333333333333,12,"[np.float64(0.0), np.float64(0.05), np.float64(0.95)]"
24,7590,10110,10440,0.5303030303030303,-0.06279793131441165,-1.1798322022789185,-0.2220340980228296,0.3,10,"[np.float64(0.16999999999999998), np.float64(0.83), np.float64(1.1102230246251565e-16)]"
