fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,5040,5700,0.4348484848484849,-0.3251770122602048,-6.462568843285009,-0.34693528845164967,0.17391304347826086,23,"[np.float64(0.0), np.float64(0.4), np.float64(0.6)]"
2,660,5700,6360,0.4318181818181818,-0.19314647997320017,-2.924055851516032,-0.2543262398532938,0.2857142857142857,28,"[np.float64(0.0), np.float64(0.9099999999999999), np.float64(0.09000000000000008)]"
3,1320,6360,7020,0.5136363636363637,0.0,0.0,0.0,0.0,0,"[np.float64(0.47), np.float64(0.29), np.float64(0.24000000000000005)]"
4,1980,7020,7680,0.37575757575757573,-0.19189335510040564,-6.293934563219924,-0.22039702589151675,0.16666666666666666,12,"[np.float64(0.019999999999999962), np.float64(0.0), np.float64(0.98)]"
5,2640,7680,8340,0.3515151515151515,-0.021428189989620476,-0.748196718191341,-0.09028634285584097,0.3333333333333333,6,"[np.float64(0.05), np.float64(0.0), np.float64(0.95)]"
6,3300,8340,9000,0.4727272727272727,-0.1909533388113815,-4.452086039815454,-0.20367975762649776,0.25,16,"[np.float64(0.05), np.float64(0.65), np.float64(0.29999999999999993)]"
7,3960,9000,9660,0.3575757575757576,-0.09223355373784362,-2.7423252736360033,-0.1705193566284419,0.2727272727272727,11,"[np.float64(0.13999999999999999), np.float64(0.48), np.float64(0.38)]"
8,4620,9660,10320,0.41363636363636364,-0.12283517558244567,-2.990991887332677,-0.20241822722940353,0.26666666666666666,15,"[np.float64(0.0), np.float64(0.64), np.float64(0.36)]"
9,5280,10320,10980,0.36363636363636365,-0.01175837906834622,-0.14789595402544073,-0.1352942773575514,0.36363636363636365,11,"[np.float64(0.85), np.float64(0.1299999999999999), np.float64(0.02000000000000013)]"
10,5940,10980,11640,0.31363636363636366,-0.213894280906516,-8.608791462398022,-0.213894280906516,0.0,8,"[np.float64(0.2699999999999998), np.float64(0.7299999999999998), np.float64(4.440892098500626e-16)]"
11,6600,11640,12300,0.44242424242424244,-0.20266541385848158,-3.1754637613184573,-0.2771432594188667,0.2903225806451613,31,"[np.float64(0.9299999999999997), np.float64(0.06999999999999977), np.float64(5.134781488891349e-16)]"
12,7260,12300,12960,0.4393939393939394,0.06365691024022144,1.6351724828298468,-0.14110062552272915,0.42857142857142855,14,"[np.float64(0.019999999999999962), np.float64(0.38), np.float64(0.6)]"
13,7920,12960,13620,0.41363636363636364,-0.14784584248401042,-2.364468075958197,-0.21958734063535773,0.23076923076923078,13,"[np.float64(0.2699999999999999), np.float64(0.33999999999999997), np.float64(0.3900000000000001)]"
14,8580,13620,14280,0.37727272727272726,-0.0109214494375914,-0.1689095698940995,-0.08256968828234446,0.3333333333333333,3,"[np.float64(0.7599999999999999), np.float64(0.04999999999999995), np.float64(0.19000000000000017)]"
15,9240,14280,14940,0.4196969696969697,-0.14632871991780286,-3.6562385467743876,-0.1652233243513807,0.29411764705882354,17,"[np.float64(0.16999999999999993), np.float64(0.4499999999999999), np.float64(0.38000000000000017)]"
16,9900,14940,15600,0.41515151515151516,-0.11123798871312647,-2.2745228455659046,-0.18798059264243533,0.35714285714285715,14,"[np.float64(0.15000000000000002), np.float64(0.0), np.float64(0.85)]"
17,10560,15600,16260,0.4212121212121212,-0.21751065610112263,-7.309351332315935,-0.2807561450930683,0.15384615384615385,13,"[np.float64(0.30000000000000004), np.float64(0.65), np.float64(0.04999999999999993)]"
18,11220,16260,16920,0.43333333333333335,0.06260686375089262,1.334243330424196,-0.1337048437877706,0.4090909090909091,22,"[np.float64(0.6699999999999999), np.float64(0.10999999999999999), np.float64(0.22000000000000008)]"
19,11880,16920,17580,0.45151515151515154,-0.22877244037981181,-5.714414710074163,-0.26495237884229517,0.1875,16,"[np.float64(0.09999999999999987), np.float64(0.029999999999999874), np.float64(0.8700000000000002)]"
20,12540,17580,18240,0.4287878787878788,0.0,0.0,0.0,0.0,0,"[np.float64(0.96), np.float64(0.03999999999999987), np.float64(1.6653345369377348e-16)]"
21,13200,18240,18900,0.4348484848484849,-0.2095955945661547,-4.779453077861963,-0.3098545435452576,0.2222222222222222,18,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
22,13860,18900,19560,0.4,-0.2497213788391372,-6.081632210611523,-0.3037394978865412,0.2222222222222222,18,"[np.float64(0.0), np.float64(0.08999999999999996), np.float64(0.91)]"
23,14520,19560,20220,0.42424242424242425,-0.19290636553013993,-3.4567979276253653,-0.2683436104572141,0.25,20,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
24,15180,20220,20880,0.403030303030303,0.06250836870201984,1.8996367024861978,-0.10007912038000644,0.5,10,"[np.float64(0.2899999999999998), np.float64(0.07999999999999985), np.float64(0.6300000000000003)]"
25,15840,20880,21540,0.39090909090909093,0.0,0.0,0.0,0.0,0,"[np.float64(0.9099999999999996), np.float64(0.059999999999999734), np.float64(0.03000000000000068)]"
