fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,5040,5700,0.4484848484848485,0.12013926551354252,2.2840003364287993,-0.11345400854110611,0.4666666666666667,15,"[np.float64(0.75), np.float64(0.0), np.float64(0.25)]"
2,660,5700,6360,0.453030303030303,-0.251873263165892,-3.429270340252264,-0.34042043398284616,0.25,28,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
3,1320,6360,7020,0.41363636363636364,-0.10121990477827676,-3.5215524986536817,-0.11421211804195279,0.16666666666666666,6,"[np.float64(0.00999999999999994), np.float64(0.9899999999999999), np.float64(2.220446049250313e-16)]"
4,1980,7020,7680,0.47575757575757577,0.0003254527622120804,0.34408997935788577,-0.14469223967102193,0.35714285714285715,14,"[np.float64(0.2699999999999998), np.float64(0.54), np.float64(0.19000000000000017)]"
5,2640,7680,8340,0.35,-0.0922335537378438,-2.394789705167171,-0.18514151366876774,0.2727272727272727,11,"[np.float64(0.55), np.float64(0.4), np.float64(0.04999999999999993)]"
6,3300,8340,9000,0.48333333333333334,0.0870356286804572,3.0864395609156325,-0.09976719050107641,0.5,8,"[np.float64(0.7000000000000001), np.float64(0.0), np.float64(0.29999999999999993)]"
7,3960,9000,9660,0.4348484848484849,-0.010886543625886225,-0.48430030247134925,-0.07025754635002933,0.3333333333333333,3,"[np.float64(0.73), np.float64(0.019999999999999962), np.float64(0.25000000000000006)]"
8,4620,9660,10320,0.4075757575757576,0.030322315733393588,0.9284041145199006,-0.13519834321783447,0.4,15,"[np.float64(0.10999999999999986), np.float64(0.6699999999999999), np.float64(0.2200000000000002)]"
9,5280,10320,10980,0.30757575757575756,-0.1825055098296145,-5.826603267883997,-0.1884039964522346,0.1111111111111111,9,"[np.float64(0.34999999999999987), np.float64(0.26999999999999985), np.float64(0.3800000000000003)]"
10,5940,10980,11640,0.3484848484848485,-0.1365860116951322,-4.731217947698384,-0.18905979369007123,0.23076923076923078,13,"[np.float64(0.0), np.float64(0.88), np.float64(0.12)]"
11,6600,11640,12300,0.4484848484848485,-0.13279608478692917,-2.9326937433940925,-0.22224656431132578,0.2777777777777778,18,"[np.float64(0.049999999999999906), np.float64(0.62), np.float64(0.33000000000000007)]"
12,7260,12300,12960,0.4590909090909091,0.010303397394213789,0.7391756237187015,-0.06770497142898825,0.4,5,"[np.float64(0.18999999999999992), np.float64(0.6), np.float64(0.21000000000000008)]"
13,7920,12960,13620,0.3893939393939394,-0.03126173642150006,-2.255311623641235,-0.056589975504805975,0.0,1,"[np.float64(0.9899999999999999), np.float64(0.0), np.float64(0.01000000000000012)]"
14,8580,13620,14280,0.3212121212121212,0.0,0.0,0.0,0.0,0,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]"
15,9240,14280,14940,0.4303030303030303,-0.046412139912539896,-1.0565090127227714,-0.13832010596663147,0.36363636363636365,11,"[np.float64(0.6900000000000001), np.float64(0.29999999999999993), np.float64(0.010000000000000009)]"
