fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,1260,1425,0.2606060606060606,-0.04629397039256164,-3.3442070730558764,-0.09077164683463836,0.3333333333333333,6,"[np.float64(0.9500000000000001), np.float64(0.0), np.float64(0.04999999999999993)]"
2,165,1425,1590,0.49696969696969695,0.07076070318691437,3.632685758845584,-0.12655319027649614,0.4444444444444444,9,"[np.float64(0.4), np.float64(0.25), np.float64(0.35)]"
3,330,1590,1755,0.3393939393939394,-0.20581381317758787,-13.855526553063406,-0.2578379044246308,0.21428571428571427,14,"[np.float64(0.0), np.float64(0.4), np.float64(0.6)]"
4,495,1755,1920,0.4909090909090909,-0.01398124598811446,0.8381549959553024,-0.20893744959135424,0.37037037037037035,27,"[np.float64(0.3500000000000001), np.float64(0.05000000000000001), np.float64(0.6)]"
5,660,1920,2085,0.47878787878787876,0.0,0.0,0.0,0.0,0,"[np.float64(0.7999999999999998), np.float64(0.19999999999999984), np.float64(3.3306690738754696e-16)]"
6,825,2085,2250,0.4484848484848485,0.021150834002001285,3.1501431653886676,-0.031407978499999656,0.5,2,"[np.float64(0.8), np.float64(0.0), np.float64(0.19999999999999996)]"
7,990,2250,2415,0.3515151515151515,-0.11049888644682142,-6.895419257051786,-0.15802159788287323,0.2222222222222222,9,"[np.float64(0.9500000000000001), np.float64(0.0), np.float64(0.04999999999999993)]"
8,1155,2415,2580,0.3696969696969697,-0.12021352788317327,-2.781197543185215,-0.19239316413152374,0.25,12,"[np.float64(0.0), np.float64(0.55), np.float64(0.44999999999999996)]"
9,1320,2580,2745,0.49696969696969695,0.021032711890978318,1.7039195720017941,-0.09436606154245415,0.5,2,"[np.float64(0.25999999999999984), np.float64(0.6699999999999999), np.float64(0.07000000000000028)]"
10,1485,2745,2910,0.4727272727272727,-0.07733139478428239,-1.133279064971911,-0.15664698267288188,0.34615384615384615,26,"[np.float64(0.0), np.float64(0.8500000000000001), np.float64(0.1499999999999999)]"
11,1650,2910,3075,0.40606060606060607,-0.2819474853491705,-7.926511722197405,-0.3509563176224367,0.19047619047619047,21,"[np.float64(0.15000000000000002), np.float64(0.5), np.float64(0.35)]"
12,1815,3075,3240,0.3393939393939394,-0.25860400830811975,-6.674311473302355,-0.2812580714645909,0.2,20,"[np.float64(0.0), np.float64(0.25999999999999995), np.float64(0.74)]"
13,1980,3240,3405,0.45454545454545453,-0.12031529760403682,-6.135022745537661,-0.18660236091377264,0.25,12,"[np.float64(0.05), np.float64(0.4), np.float64(0.5499999999999999)]"
14,2145,3405,3570,0.5212121212121212,-0.12944877068522856,-1.3939278347420485,-0.2318670022273502,0.14285714285714285,7,"[np.float64(0.2), np.float64(0.6000000000000001), np.float64(0.19999999999999996)]"
15,2310,3570,3735,0.4121212121212121,0.07499076978389439,3.3903400269922868,-0.16408998699454216,0.45454545454545453,11,"[np.float64(0.2), np.float64(0.5), np.float64(0.30000000000000004)]"
