fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,2520,2850,0.5393939393939394,-0.1313332655960565,-1.617091494380114,-0.2933575421667651,0.3225806451612903,31,"[np.float64(0.29999999999999993), np.float64(0.61), np.float64(0.09000000000000008)]"
2,330,2850,3180,0.40606060606060607,-0.07176269516737757,-3.5196424757626144,-0.13593027723852266,0.2,5,"[np.float64(0.33999999999999986), np.float64(0.17999999999999994), np.float64(0.4800000000000002)]"
3,660,3180,3510,0.4909090909090909,-0.05244930430179011,-2.927934564517805,-0.10121990477827658,0.2857142857142857,7,"[np.float64(0.1), np.float64(0.30000000000000004), np.float64(0.6)]"
4,990,3510,3840,0.40606060606060607,-0.08125360206321311,-1.1794290148982995,-0.18945324616982306,0.3333333333333333,18,"[np.float64(0.0), np.float64(0.6799999999999999), np.float64(0.32000000000000006)]"
5,1320,3840,4170,0.41515151515151516,-0.03237366929750933,-0.918535043788645,-0.10448945949314066,0.3333333333333333,9,"[np.float64(0.62), np.float64(0.08999999999999989), np.float64(0.29000000000000015)]"
6,1650,4170,4500,0.3878787878787879,-0.02273345591630732,-0.1261424716000807,-0.1635837353807784,0.35714285714285715,14,"[np.float64(0.0), np.float64(0.00999999999999994), np.float64(0.9900000000000001)]"
7,1980,4500,4830,0.3515151515151515,-0.018501736386489394,-0.668053706411837,-0.1432414074717707,0.375,8,"[np.float64(0.2), np.float64(0.0), np.float64(0.8)]"
8,2310,4830,5160,0.42424242424242425,0.13497923102930526,7.432876494538433,-0.03682287852824556,0.75,4,"[np.float64(0.45), np.float64(0.05), np.float64(0.5)]"
9,2640,5160,5490,0.44242424242424244,-0.03333471676716199,-0.5665759606921578,-0.16574330061458184,0.375,16,"[np.float64(0.0), np.float64(0.30000000000000004), np.float64(0.7)]"
10,2970,5490,5820,0.37575757575757573,-0.17399718927032082,-7.060155991115298,-0.22248760879031518,0.2,10,"[np.float64(0.25), np.float64(0.25), np.float64(0.5)]"
11,3300,5820,6150,0.2878787878787879,-0.03126173642150006,-7.082303898131834,-0.03126173642150006,0.0,1,"[np.float64(0.89), np.float64(0.019999999999999934), np.float64(0.09000000000000005)]"
12,3630,6150,6480,0.32727272727272727,-0.04348558060921041,-0.579445667575652,-0.16248366215287433,0.3333333333333333,12,"[np.float64(0.3599999999999999), np.float64(0.049999999999999906), np.float64(0.5900000000000002)]"
13,3960,6480,6810,0.4727272727272727,-0.04337400603365695,0.5561587341334103,-0.20840382248282116,0.36363636363636365,44,"[np.float64(0.0), np.float64(0.75), np.float64(0.25)]"
14,4290,6810,7140,0.3606060606060606,-0.0720429300080943,-4.803890204149115,-0.10116971887528987,0.2,5,"[np.float64(0.2), np.float64(0.8), np.float64(0.0)]"
15,4620,7140,7470,0.3212121212121212,-0.06182949588654319,-11.205014143584625,-0.06752313739830529,0.0,2,"[np.float64(0.3799999999999999), np.float64(0.22999999999999993), np.float64(0.3900000000000002)]"
16,4950,7470,7800,0.40606060606060607,-0.16754621808776574,-3.099333322618758,-0.2878854206408455,0.3235294117647059,34,"[np.float64(0.1), np.float64(0.9), np.float64(0.0)]"
17,5280,7800,8130,0.5212121212121212,0.09811614367617022,2.9461674248527654,-0.1424145372278644,0.4375,16,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
18,5610,8130,8460,0.49393939393939396,-0.1031250581457025,-1.1551722085969374,-0.3408145674611788,0.3333333333333333,30,"[np.float64(0.00999999999999994), np.float64(0.98), np.float64(0.01000000000000012)]"
19,5940,8460,8790,0.4212121212121212,-0.34934576981690163,-5.94983600094573,-0.4173830850990886,0.24390243902439024,41,"[np.float64(0.0), np.float64(0.4), np.float64(0.6)]"
20,6270,8790,9120,0.4575757575757576,-0.0630001473341561,-1.2019330943219069,-0.21249207922442157,0.36363636363636365,22,"[np.float64(0.0), np.float64(0.8500000000000001), np.float64(0.1499999999999999)]"
21,6600,9120,9450,0.42424242424242425,-0.03126173642150006,-4.20761451604355,-0.04574295216733877,0.0,1,"[np.float64(0.4099999999999998), np.float64(0.5699999999999998), np.float64(0.02000000000000035)]"
22,6930,9450,9780,0.3696969696969697,-0.1107046614778832,-3.8615513031059265,-0.14317166968471567,0.2222222222222222,9,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
23,7260,9780,10110,0.42727272727272725,-0.1946067092878371,-5.566636024938145,-0.2651582084424746,0.30434782608695654,23,"[np.float64(0.25), np.float64(0.05), np.float64(0.7)]"
24,7590,10110,10440,0.3090909090909091,0.0,0.0,0.0,0.0,0,"[np.float64(0.8299999999999997), np.float64(0.07999999999999977), np.float64(0.0900000000000005)]"
