fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,1260,1425,0.42424242424242425,0.044108160262245476,2.1378677245161475,-0.16209440966429045,0.3783783783783784,37,"[np.float64(0.0), np.float64(0.96), np.float64(0.040000000000000036)]"
2,165,1425,1590,0.41818181818181815,-0.1750503531067794,-6.636589550647076,-0.2192712177348375,0.21428571428571427,14,"[np.float64(0.0), np.float64(0.9), np.float64(0.09999999999999998)]"
3,330,1590,1755,0.3575757575757576,-0.08220995617993994,-1.5932459621953592,-0.16201564392461984,0.25,8,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
4,495,1755,1920,0.296969696969697,-0.04198640728846585,-4.163609937206093,-0.07189432166817353,0.25,4,"[np.float64(0.5000000000000001), np.float64(0.2899999999999999), np.float64(0.20999999999999996)]"
5,660,1920,2085,0.5151515151515151,-0.20974280427577788,-4.39928246295569,-0.2717021132680962,0.2222222222222222,18,"[np.float64(0.0), np.float64(0.9), np.float64(0.09999999999999998)]"
6,825,2085,2250,0.509090909090909,-0.1783366361364804,-7.1305008008305535,-0.2990392912483289,0.23529411764705882,17,"[np.float64(0.25), np.float64(0.0), np.float64(0.75)]"
7,990,2250,2415,0.3575757575757576,-0.13005407767973193,-3.090735067897758,-0.22505972270119845,0.26666666666666666,15,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
8,1155,2415,2580,0.3333333333333333,0.06496480590451666,4.694919186297191,-0.06537537685210751,0.5,6,"[np.float64(0.32999999999999996), np.float64(0.019999999999999962), np.float64(0.6500000000000001)]"
9,1320,2580,2745,0.22424242424242424,-0.1474802738954959,-8.831819338891629,-0.16935958815352767,0.0,5,"[np.float64(0.3499999999999999), np.float64(0.6399999999999999), np.float64(0.010000000000000231)]"
10,1485,2745,2910,0.2606060606060606,-0.23377223939339664,-16.260362800254157,-0.27321011660270206,0.09090909090909091,11,"[np.float64(0.5299999999999999), np.float64(0.47), np.float64(1.1102230246251565e-16)]"
11,1650,2910,3075,0.30303030303030304,0.0,0.0,0.0,0.0,0,"[np.float64(0.45), np.float64(0.5), np.float64(0.050000000000000044)]"
12,1815,3075,3240,0.43636363636363634,-0.08384515635292865,-1.1316596400821248,-0.1863321545729557,0.32,25,"[np.float64(0.0), np.float64(0.65), np.float64(0.35)]"
13,1980,3240,3405,0.3939393939393939,-0.02186747802779246,-0.3977806249985853,-0.1301198485699802,0.38461538461538464,13,"[np.float64(0.0), np.float64(0.8500000000000001), np.float64(0.1499999999999999)]"
14,2145,3405,3570,0.32727272727272727,-0.022733455916306777,-0.2665292155459136,-0.1648858988552807,0.35714285714285715,14,"[np.float64(0.25), np.float64(0.65), np.float64(0.09999999999999998)]"
15,2310,3570,3735,0.40606060606060607,-0.08186799108161286,-5.4253853411945085,-0.10836655667117993,0.25,8,"[np.float64(0.55), np.float64(0.25), np.float64(0.19999999999999996)]"
16,2475,3735,3900,0.41818181818181815,0.05265046307228695,3.0718439861284152,-0.1667970760367239,0.4444444444444444,9,"[np.float64(0.30000000000000004), np.float64(0.6000000000000001), np.float64(0.09999999999999987)]"
17,2640,3900,4065,0.5333333333333333,0.12471606403937695,4.86699562825261,-0.1262907440218016,0.4444444444444444,18,"[np.float64(0.30000000000000004), np.float64(0.15000000000000002), np.float64(0.5499999999999999)]"
18,2805,4065,4230,0.4909090909090909,-0.0873477301235971,-1.4309981752799064,-0.27450775567718233,0.36,25,"[np.float64(0.22999999999999995), np.float64(0.16999999999999996), np.float64(0.6000000000000001)]"
19,2970,4230,4395,0.47878787878787876,-0.1922763088457702,-6.250805777268113,-0.2812386984987756,0.25,20,"[np.float64(0.25), np.float64(0.1), np.float64(0.65)]"
20,3135,4395,4560,0.40606060606060607,-0.22552679656516858,-13.283926088864884,-0.320432553723134,0.1875,16,"[np.float64(0.0), np.float64(0.1), np.float64(0.9)]"
21,3300,4560,4725,0.48484848484848486,-0.24151991700292028,-11.157482621175607,-0.3296352109278993,0.23529411764705882,17,"[np.float64(0.36), np.float64(0.61), np.float64(0.030000000000000027)]"
22,3465,4725,4890,0.42424242424242425,-0.2010167490995892,-7.6490241664871395,-0.24214055713854102,0.2,15,"[np.float64(0.0), np.float64(0.8500000000000001), np.float64(0.1499999999999999)]"
23,3630,4890,5055,0.34545454545454546,0.03139709302294486,2.398045757115022,-0.06182949588654374,0.42857142857142855,7,"[np.float64(0.4), np.float64(0.2), np.float64(0.39999999999999997)]"
24,3795,5055,5220,0.38181818181818183,0.0,0.0,0.0,0.0,0,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]"
