iter	Passed	Remaining
0	25	12891
1	49	12281
2	69	11496
3	91	11330
4	112	11106
5	132	10905
6	153	10786
7	175	10821
8	197	10786
9	218	10699
10	239	10666
11	262	10670
12	284	10654
13	305	10593
14	327	10590
15	349	10574
16	372	10574
17	394	10559
18	416	10542
19	438	10524
20	460	10513
21	482	10487
22	504	10466
23	526	10444
24	547	10409
25	569	10376
26	590	10336
27	610	10294
28	631	10254
29	651	10212
30	671	10162
31	694	10164
32	715	10131
33	737	10102
34	758	10076
35	782	10089
36	804	10061
37	824	10023
38	845	9990
39	868	9983
40	893	10000
41	913	9961
42	934	9936
43	956	9911
