fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights,horizon_bars,threshold
1,0,10080,11400,0.43863636363636366,0.01744616815402169,2.612343933508027,-0.00742968833942888,1.0,1,"[np.float64(0.4499999999999999), np.float64(0.06999999999999988), np.float64(0.48000000000000015)]",12,0.025
2,1320,11400,12720,0.5280303030303031,-0.0065510242848806225,-2.210038078157271,-0.008931068351847551,0.0,1,"[np.float64(0.0), np.float64(0.00999999999999994), np.float64(0.9900000000000001)]",12,0.025
3,2640,12720,14040,0.7886363636363637,0.0,0.0,0.0,0.0,0,"[np.float64(0.86), np.float64(0.0), np.float64(0.14)]",12,0.025
4,3960,14040,15360,0.7462121212121212,0.00139553058477577,0.6679375788762862,-0.006029773133343042,0.5,4,"[np.float64(0.10999999999999989), np.float64(0.88), np.float64(0.01000000000000012)]",12,0.025
5,5280,15360,16680,0.6106060606060606,0.008389787253981377,1.7512193127804263,-0.007892216484518497,0.75,4,"[np.float64(0.1), np.float64(0.4), np.float64(0.5)]",12,0.025
6,6600,16680,18000,0.7856060606060606,0.0,0.0,0.0,0.0,0,"[np.float64(0.6299999999999999), np.float64(0.37), np.float64(1.1102230246251565e-16)]",12,0.025
7,7920,18000,19320,0.865909090909091,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.8), np.float64(0.19999999999999996)]",12,0.025
8,9240,19320,20640,0.8613636363636363,0.0,0.0,0.0,0.0,0,"[np.float64(0.0999999999999999), np.float64(0.23999999999999988), np.float64(0.6600000000000003)]",12,0.025
9,10560,20640,21960,0.9401515151515152,0.0,0.0,0.0,0.0,0,"[np.float64(0.2199999999999999), np.float64(0.4599999999999999), np.float64(0.32000000000000023)]",12,0.025
10,11880,21960,23280,0.7954545454545454,-0.0047125218053322895,-4.025275047913827,-0.004983124697712265,0.0,1,"[np.float64(0.0), np.float64(0.2), np.float64(0.8)]",12,0.025
11,13200,23280,24600,0.5393939393939394,0.01644044340548862,0.9679902556286546,-0.03630019948158497,0.4,15,"[np.float64(0.5800000000000001), np.float64(0.28), np.float64(0.1399999999999999)]",12,0.025
12,14520,24600,25920,0.5901515151515152,-0.008792476224529855,-0.9612276867602338,-0.030833294495560014,0.35294117647058826,17,"[np.float64(0.31999999999999995), np.float64(0.1499999999999999), np.float64(0.5300000000000001)]",12,0.025
13,15840,25920,27240,0.30227272727272725,-0.05680992627575633,-2.875056607430037,-0.0710299406005692,0.22580645161290322,31,"[np.float64(0.049999999999999906), np.float64(0.4799999999999998), np.float64(0.47000000000000025)]",12,0.025
14,17160,27240,28560,0.8348484848484848,0.0,0.0,0.0,0.0,0,"[np.float64(0.91), np.float64(0.019999999999999934), np.float64(0.07000000000000003)]",12,0.025
15,18480,28560,29880,0.759090909090909,0.0,0.0,0.0,0.0,0,"[np.float64(0.57), np.float64(0.10999999999999982), np.float64(0.32000000000000023)]",12,0.025
16,19800,29880,31200,0.8636363636363636,0.0,0.0,0.0,0.0,0,"[np.float64(0.6699999999999999), np.float64(0.08999999999999996), np.float64(0.2400000000000001)]",12,0.025
17,21120,31200,32520,0.32727272727272727,-0.13472477140720893,-3.3636514141038996,-0.16754634358305764,0.2542372881355932,59,"[np.float64(0.25), np.float64(0.5), np.float64(0.25)]",12,0.025
18,22440,32520,33840,0.49318181818181817,-0.025430726799524926,-0.7150133435920918,-0.07158201352759588,0.26666666666666666,15,"[np.float64(0.7399999999999999), np.float64(0.17999999999999988), np.float64(0.08000000000000024)]",12,0.025
19,23760,33840,35160,0.6454545454545455,0.0,0.0,0.0,0.0,0,"[np.float64(0.33999999999999986), np.float64(0.6199999999999998), np.float64(0.04000000000000037)]",12,0.025
20,25080,35160,36480,0.6704545454545454,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.5), np.float64(0.5)]",12,0.025
21,26400,36480,37800,0.7219696969696969,0.0,0.0,0.0,0.0,0,"[np.float64(0.6799999999999999), np.float64(0.27), np.float64(0.050000000000000044)]",12,0.025
22,27720,37800,39120,0.5871212121212122,-0.017826730131536534,-1.959094231509641,-0.027363360974132854,0.25,8,"[np.float64(0.7), np.float64(0.25999999999999995), np.float64(0.04000000000000009)]",12,0.025
23,29040,39120,40440,0.3787878787878788,-0.03361370692939636,-1.8312219873770688,-0.057106248050826425,0.0,2,"[np.float64(0.9), np.float64(0.0), np.float64(0.09999999999999998)]",12,0.025
24,30360,40440,41760,0.34545454545454546,0.0,0.0,0.0,0.0,0,"[np.float64(0.7000000000000001), np.float64(0.0), np.float64(0.29999999999999993)]",12,0.025
