fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights,horizon_bars,threshold
1,0,10080,11400,0.8613636363636363,0.03694945653644954,4.2015718310412,-0.015728622910295448,0.6,5,"[np.float64(0.8500000000000001), np.float64(0.0), np.float64(0.1499999999999999)]",8,0.025
2,1320,11400,12720,0.8113636363636364,0.014527025574711479,0.9927654618581864,-0.04829758563290179,0.4,5,"[np.float64(0.30000000000000004), np.float64(0.2), np.float64(0.49999999999999994)]",8,0.025
3,2640,12720,14040,0.8553030303030303,-0.016184893873231885,-4.167058091682958,-0.016184893873231885,0.0,2,"[np.float64(0.45), np.float64(0.0), np.float64(0.55)]",8,0.025
4,3960,14040,15360,0.5931818181818181,-0.12227266128280825,-3.913721897301497,-0.14089191588733455,0.24324324324324326,37,"[np.float64(0.25), np.float64(0.4), np.float64(0.35)]",8,0.025
5,5280,15360,16680,0.6962121212121212,-0.01743527756792919,-0.5848345803611104,-0.07745276274048907,0.3235294117647059,34,"[np.float64(0.21999999999999992), np.float64(0.72), np.float64(0.06000000000000005)]",8,0.025
6,6600,16680,18000,0.7227272727272728,-0.03913142025653542,-1.7574924671548309,-0.06659296147436844,0.2222222222222222,18,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]",8,0.025
7,7920,18000,19320,0.6924242424242424,-0.02207869738386471,-1.2917913815962072,-0.0422370420107165,0.35,20,"[np.float64(0.75), np.float64(0.1), np.float64(0.15)]",8,0.025
8,9240,19320,20640,0.7,-0.07969835298206818,-4.183525448697211,-0.08388393568920524,0.23529411764705882,34,"[np.float64(0.45999999999999996), np.float64(0.06999999999999994), np.float64(0.4700000000000001)]",8,0.025
9,10560,20640,21960,0.7128787878787879,-0.09829105904438966,-5.146500206244713,-0.11464427079144088,0.2702702702702703,37,"[np.float64(0.75), np.float64(0.09), np.float64(0.16)]",8,0.025
10,11880,21960,23280,0.6598484848484848,-0.14114785365697843,-5.069126969316074,-0.1825235333268451,0.21153846153846154,52,"[np.float64(0.4999999999999999), np.float64(0.029999999999999874), np.float64(0.47000000000000025)]",8,0.025
11,13200,23280,24600,0.8242424242424242,-0.005399789553037408,-3.98190835595692,-0.005898712203071515,0.0,1,"[np.float64(0.8500000000000001), np.float64(0.0), np.float64(0.1499999999999999)]",8,0.025
