fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,1260,1425,0.4727272727272727,0.0,0.0,0.0,0.0,0,"[np.float64(0.8299999999999998), np.float64(0.04999999999999989), np.float64(0.12000000000000026)]"
2,165,1425,1590,0.4,0.0,0.0,0.0,0.0,0,"[np.float64(0.7600000000000001), np.float64(0.049999999999999906), np.float64(0.18999999999999997)]"
3,330,1590,1755,0.41818181818181815,0.0732097957987029,5.490044856492916,-0.08834531402866254,0.38461538461538464,13,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
4,495,1755,1920,0.3878787878787879,0.0,0.0,0.0,0.0,0,"[np.float64(0.7699999999999999), np.float64(0.0), np.float64(0.2300000000000001)]"
5,660,1920,2085,0.45454545454545453,-0.05674784736674173,-4.775170970280821,-0.11967922484935885,0.25,16,"[np.float64(0.0), np.float64(0.8), np.float64(0.19999999999999996)]"
6,825,2085,2250,0.3939393939393939,0.057883180751635885,5.8430906798652975,-0.04617935115728618,0.5,12,"[np.float64(0.8899999999999999), np.float64(0.029999999999999888), np.float64(0.08000000000000021)]"
7,990,2250,2415,0.3878787878787879,-0.06511441186093925,-5.655737337879945,-0.08948148091939215,0.125,8,"[np.float64(0.5), np.float64(0.35000000000000003), np.float64(0.14999999999999997)]"
8,1155,2415,2580,0.4,0.02600639517745931,2.8788490131303797,-0.0686567145998155,0.4,10,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
9,1320,2580,2745,0.3696969696969697,0.0,0.0,0.0,0.0,0,"[np.float64(0.93), np.float64(0.00999999999999994), np.float64(0.06000000000000001)]"
10,1485,2745,2910,0.48484848484848486,0.02406503556358075,4.433513561075306,-0.048583008981381404,0.5,6,"[np.float64(0.08999999999999996), np.float64(0.06999999999999994), np.float64(0.8400000000000001)]"
