fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,420,475,0.9454545454545454,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
2,55,475,530,0.9636363636363636,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
3,110,530,585,0.9818181818181818,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
4,165,585,640,0.8727272727272727,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
5,220,640,695,0.9272727272727272,-0.021945289308252906,-4.0321331335810235,-0.021945289308252906,0.0,1,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
6,275,695,750,0.8727272727272727,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
7,330,750,805,0.8909090909090909,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
8,385,805,860,0.9636363636363636,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
9,440,860,915,0.8545454545454545,0.041734460309582576,2.238093718941928,-0.023588548051245564,1.0,1,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
10,495,915,970,0.8363636363636363,0.04920440988843165,1.782925797991455,-0.02812744533691535,1.0,1,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
11,550,970,1025,0.9454545454545454,0.036434543505118926,3.2233368902576487,-0.0075045910116671236,1.0,1,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
12,605,1025,1080,0.9090909090909091,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
