fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights,horizon_bars,threshold
1,0,10080,11400,0.26515151515151514,-0.1654545009177704,-5.190934331729175,-0.1933708906418941,0.30357142857142855,112,"[np.float64(0.0), np.float64(0.9500000000000001), np.float64(0.04999999999999993)]",4,0.008
2,1320,11400,12720,0.1946969696969697,-0.14275413373402498,-5.117193420253512,-0.15244695342251183,0.3442622950819672,122,"[np.float64(0.73), np.float64(0.05999999999999994), np.float64(0.21000000000000008)]",4,0.008
3,2640,12720,14040,0.15833333333333333,-0.08134571927733068,-4.36009791281766,-0.10633689634916474,0.3617021276595745,94,"[np.float64(0.21999999999999997), np.float64(0.7799999999999999), np.float64(1.1102230246251565e-16)]",4,0.008
4,3960,14040,15360,0.4856060606060606,-0.0497456853878346,-3.9386370015963035,-0.05778646437909359,0.30952380952380953,42,"[np.float64(0.0), np.float64(0.9899999999999999), np.float64(0.01000000000000012)]",4,0.008
5,5280,15360,16680,0.47575757575757577,-0.05568252735412534,-3.886924832315804,-0.06982049002436143,0.3157894736842105,57,"[np.float64(0.42999999999999994), np.float64(0.5699999999999998), np.float64(2.220446049250313e-16)]",4,0.008
6,6600,16680,18000,0.6590909090909091,0.03163072072217601,2.815579269489039,-0.017278568476881768,0.5333333333333333,30,"[np.float64(0.00999999999999994), np.float64(0.8399999999999999), np.float64(0.15000000000000024)]",4,0.008
7,7920,18000,19320,0.8212121212121212,-0.0029012936689399795,-1.130552333331793,-0.009302058232697894,0.3333333333333333,3,"[np.float64(0.35999999999999993), np.float64(0.61), np.float64(0.030000000000000138)]",4,0.008
8,9240,19320,20640,0.2916666666666667,-0.03729901355142865,-0.5952074275826131,-0.11982911699671601,0.35,100,"[np.float64(0.0), np.float64(0.8), np.float64(0.19999999999999996)]",4,0.008
9,10560,20640,21960,0.703030303030303,0.0,0.0,0.0,0.0,0,"[np.float64(0.8199999999999998), np.float64(0.03999999999999984), np.float64(0.14000000000000032)]",4,0.008
10,11880,21960,23280,0.6166666666666667,-0.02264627234574982,-1.7974972037531813,-0.04121515425911657,0.375,24,"[np.float64(0.42999999999999994), np.float64(0.5599999999999999), np.float64(0.01000000000000012)]",4,0.008
11,13200,23280,24600,0.6484848484848484,0.0,0.0,0.0,0.0,0,"[np.float64(0.9299999999999998), np.float64(0.03999999999999987), np.float64(0.030000000000000304)]",4,0.008
12,14520,24600,25920,0.5340909090909091,-0.043826943635321004,-1.1482189985884361,-0.08686867387031734,0.3492063492063492,63,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]",4,0.008
13,15840,25920,27240,0.4621212121212121,-0.07203115069925807,-2.954786251598331,-0.09879900599299599,0.27906976744186046,43,"[np.float64(0.8500000000000001), np.float64(0.0), np.float64(0.1499999999999999)]",4,0.008
14,17160,27240,28560,0.4022727272727273,-0.021208143756252504,-1.1551858912630688,-0.0459695381330306,0.3404255319148936,47,"[np.float64(0.8599999999999998), np.float64(0.11999999999999983), np.float64(0.020000000000000406)]",4,0.008
15,18480,28560,29880,0.571969696969697,-0.05996513874368338,-3.7365849986613178,-0.07293354687446785,0.23529411764705882,17,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]",4,0.008
16,19800,29880,31200,0.546969696969697,0.015838941190724654,1.2693774288079043,-0.019766003600855692,0.4166666666666667,24,"[np.float64(0.47999999999999987), np.float64(0.0), np.float64(0.5200000000000001)]",4,0.008
17,21120,31200,32520,0.3886363636363636,0.0014066091951395719,0.14591911648811853,-0.04978453431354385,0.375,8,"[np.float64(0.9199999999999999), np.float64(0.06999999999999991), np.float64(0.010000000000000162)]",4,0.008
18,22440,32520,33840,0.2590909090909091,-0.10471338290345339,-3.7561759682741624,-0.16360421167040004,0.2980769230769231,104,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]",4,0.008
19,23760,33840,35160,0.5363636363636364,-0.03300201695022988,-1.276980794478811,-0.06510643235066767,0.26666666666666666,30,"[np.float64(0.7199999999999996), np.float64(0.04999999999999975), np.float64(0.2300000000000006)]",4,0.008
20,25080,35160,36480,0.35454545454545455,-0.058927022878947535,-2.5709866101229957,-0.08349533551669647,0.39325842696629215,89,"[np.float64(0.15000000000000002), np.float64(0.5), np.float64(0.35)]",4,0.008
21,26400,36480,37800,0.4734848484848485,-0.047860254980579706,-3.529322879962326,-0.05422590172168105,0.32432432432432434,37,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]",4,0.008
22,27720,37800,39120,0.6,-0.04556879366919748,-3.8901783432993366,-0.06353919898225058,0.19047619047619047,21,"[np.float64(0.6599999999999998), np.float64(0.2599999999999999), np.float64(0.0800000000000003)]",4,0.008
23,29040,39120,40440,0.6128787878787879,-0.010894541265656517,-0.7952311123811493,-0.04851854490084117,0.4,20,"[np.float64(0.0), np.float64(0.8500000000000001), np.float64(0.1499999999999999)]",4,0.008
24,30360,40440,41760,0.37424242424242427,-0.05873164519994807,-2.55729526561105,-0.07254308927464688,0.31746031746031744,63,"[np.float64(0.5099999999999999), np.float64(0.26999999999999996), np.float64(0.22000000000000014)]",4,0.008
