fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,5040,5700,0.5621212121212121,0.011263566823645852,0.8426966085200541,-0.06242988553306605,0.4,10,"[np.float64(0.97), np.float64(0.0), np.float64(0.030000000000000027)]"
2,660,5700,6360,0.3696969696969697,0.022592801446862723,1.9232950193314582,-0.024426311208526293,0.5384615384615384,13,"[np.float64(0.65), np.float64(0.0), np.float64(0.35)]"
3,1320,6360,7020,0.7666666666666667,0.008681575410357254,2.9524487691732375,-0.004320748438861575,1.0,1,"[np.float64(0.9500000000000001), np.float64(0.0), np.float64(0.04999999999999993)]"
4,1980,7020,7680,0.8242424242424242,-0.009620258905723676,-2.0037145791326663,-0.009620258905723676,0.2,5,"[np.float64(0.98), np.float64(0.019999999999999934), np.float64(8.326672684688674e-17)]"
5,2640,7680,8340,0.8696969696969697,-0.023341621429506812,-4.598348076226065,-0.03433213404567928,0.26666666666666666,15,"[np.float64(0.8), np.float64(0.0), np.float64(0.19999999999999996)]"
6,3300,8340,9000,0.6090909090909091,-0.017163915806392833,-1.1480341091914923,-0.03421896771138935,0.3076923076923077,13,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]"
7,3960,9000,9660,0.843939393939394,0.0007420333496775129,0.20807403893234702,-0.005054937526233661,0.5,2,"[np.float64(0.0), np.float64(0.8500000000000001), np.float64(0.1499999999999999)]"
8,4620,9660,10320,0.85,-0.0012514718935199198,-0.4368351573820466,-0.004214104023485698,0.3333333333333333,3,"[np.float64(0.0), np.float64(0.8), np.float64(0.19999999999999996)]"
9,5280,10320,10980,0.9196969696969697,-0.0023934416829333714,-4.17177466922824,-0.0023934416829333714,0.0,1,"[np.float64(0.5), np.float64(0.15000000000000002), np.float64(0.35)]"
10,5940,10980,11640,0.8196969696969697,-0.0060969843121896706,-2.091509193443898,-0.010228292625553565,0.0,1,"[np.float64(0.00999999999999994), np.float64(0.55), np.float64(0.44000000000000006)]"
11,6600,11640,12300,0.796969696969697,-0.009657920861185994,-1.568362932001466,-0.01888438851650173,0.375,8,"[np.float64(0.0), np.float64(0.15000000000000002), np.float64(0.85)]"
12,7260,12300,12960,0.7303030303030303,0.015444170520637271,2.0735585652339394,-0.013728895177197125,0.6,10,"[np.float64(0.2899999999999999), np.float64(0.009999999999999884), np.float64(0.7000000000000002)]"
13,7920,12960,13620,0.6909090909090909,0.0025435815809109045,0.36945004360755834,-0.021811186169598658,0.4,5,"[np.float64(0.59), np.float64(0.06999999999999997), np.float64(0.3400000000000001)]"
14,8580,13620,14280,0.8212121212121212,0.006661762757218094,1.1307914202588374,-0.011871840745793089,0.5,2,"[np.float64(0.41999999999999993), np.float64(0.5399999999999999), np.float64(0.04000000000000015)]"
15,9240,14280,14940,0.6651515151515152,0.0007496903106984973,0.2048252846030753,-0.008189443547290858,0.4,5,"[np.float64(0.30000000000000004), np.float64(0.6000000000000001), np.float64(0.09999999999999987)]"
16,9900,14940,15600,0.7803030303030303,-0.003534658949793629,-0.5529714253828693,-0.018218489719318522,0.3333333333333333,6,"[np.float64(0.6000000000000001), np.float64(0.0), np.float64(0.3999999999999999)]"
17,10560,15600,16260,0.5727272727272728,0.02540993402075619,4.181531722904946,-0.01045640994620971,0.7777777777777778,9,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]"
18,11220,16260,16920,0.5287878787878788,-0.03464717266904427,-3.7500246718745074,-0.05333964267602827,0.21428571428571427,14,"[np.float64(0.15000000000000002), np.float64(0.2), np.float64(0.6499999999999999)]"
19,11880,16920,17580,0.7303030303030303,-0.0020503358909161763,-0.5688211190890559,-0.008871526351504934,0.3333333333333333,3,"[np.float64(0.62), np.float64(0.0), np.float64(0.38)]"
20,12540,17580,18240,0.8196969696969697,-0.02444451618349849,-4.142936725347523,-0.027162872259095392,0.0,5,"[np.float64(0.75), np.float64(0.0), np.float64(0.25)]"
21,13200,18240,18900,0.8727272727272727,0.003775408288490871,1.7904444869274065,-0.0031499509253017843,0.5,2,"[np.float64(0.7999999999999999), np.float64(0.01999999999999988), np.float64(0.1800000000000002)]"
22,13860,18900,19560,0.6060606060606061,-0.01105639189989797,-2.587157211575856,-0.014779333218131317,0.3333333333333333,12,"[np.float64(0.25), np.float64(0.55), np.float64(0.19999999999999996)]"
23,14520,19560,20220,0.6818181818181818,-0.012078747075226784,-3.5957118396724663,-0.015421322499626647,0.3333333333333333,9,"[np.float64(0.1), np.float64(0.5), np.float64(0.4)]"
24,15180,20220,20880,0.503030303030303,-0.001843071436428363,-0.1805811739282449,-0.033687604505553435,0.3333333333333333,12,"[np.float64(0.6699999999999999), np.float64(0.31999999999999984), np.float64(0.010000000000000231)]"
25,15840,20880,21540,0.7863636363636364,-0.023843863631475323,-1.8467733877676864,-0.03823011327055109,0.14285714285714285,7,"[np.float64(0.94), np.float64(0.059999999999999915), np.float64(1.3877787807814457e-16)]"
