fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,420,475,0.8363636363636363,-0.04342648444632268,-4.490632364907498,-0.04342648444632268,0.0,2,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
2,55,475,530,0.9272727272727272,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
3,110,530,585,0.9454545454545454,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
4,165,585,640,0.8545454545454545,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
5,220,640,695,0.8909090909090909,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
6,275,695,750,0.9090909090909091,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
7,330,750,805,0.9090909090909091,-0.023023581565465974,-2.0531243561260104,-0.03626388879309743,0.0,1,"[np.float64(0.0), np.float64(0.2), np.float64(0.8)]"
8,385,805,860,0.8909090909090909,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.45), np.float64(0.55)]"
9,440,860,915,0.8909090909090909,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
10,495,915,970,0.9272727272727272,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
11,550,970,1025,0.7090909090909091,0.011378138648308413,0.7677212353930792,-0.02892119852143478,0.5,2,"[np.float64(0.0), np.float64(0.15000000000000002), np.float64(0.85)]"
12,605,1025,1080,0.7090909090909091,-0.013359837601727122,-0.9549093010150848,-0.02409421917828365,0.5,2,"[np.float64(0.0), np.float64(0.25), np.float64(0.75)]"
