fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,10080,11400,0.3431818181818182,-0.07047436516719809,-0.7716789007700717,-0.21182224851373063,0.35294117647058826,17,"[np.float64(0.57), np.float64(0.3299999999999999), np.float64(0.10000000000000014)]"
2,1320,11400,12720,0.37424242424242427,-0.1258463184953889,-1.5426551969530236,-0.20608411576135502,0.3181818181818182,22,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]"
3,2640,12720,14040,0.35,-0.14237240575212018,-3.315684696433739,-0.21447684010053658,0.2857142857142857,14,"[np.float64(0.55), np.float64(0.41), np.float64(0.03999999999999998)]"
4,3960,14040,15360,0.4022727272727273,-0.15939956189588084,-1.0093147846184218,-0.29845545121476313,0.3125,32,"[np.float64(0.5499999999999999), np.float64(0.44999999999999984), np.float64(2.220446049250313e-16)]"
5,5280,15360,16680,0.36742424242424243,0.021032711890979227,1.27042303605457,-0.038158097619312055,0.5,2,"[np.float64(0.6799999999999999), np.float64(0.0), np.float64(0.32000000000000006)]"
6,6600,16680,18000,0.36818181818181817,0.016987972520742915,0.4740221942253609,-0.21357911313622224,0.3684210526315789,19,"[np.float64(0.2899999999999998), np.float64(0.46999999999999986), np.float64(0.24000000000000032)]"
7,7920,18000,19320,0.35833333333333334,-0.16689096879201243,-1.0364242268071704,-0.287521293646381,0.1875,16,"[np.float64(0.8500000000000001), np.float64(0.05999999999999994), np.float64(0.08999999999999997)]"
8,9240,19320,20640,0.3181818181818182,-0.10102348502414733,-1.7483828589032964,-0.14741328890076083,0.4444444444444444,18,"[np.float64(0.00999999999999994), np.float64(0.0), np.float64(0.9900000000000001)]"
9,10560,20640,21960,0.3477272727272727,-0.214098278944694,-3.204314874972958,-0.270055077378306,0.24,25,"[np.float64(0.8799999999999998), np.float64(0.0999999999999998), np.float64(0.02000000000000042)]"
10,11880,21960,23280,0.30454545454545456,0.05577131637828261,1.4239364188173806,-0.05463978481723997,0.5,10,"[np.float64(0.67), np.float64(0.21999999999999995), np.float64(0.11000000000000001)]"
11,13200,23280,24600,0.3704545454545455,-0.16600008916471343,-3.508868433253002,-0.18565360241684842,0.18181818181818182,11,"[np.float64(0.8099999999999999), np.float64(0.0), np.float64(0.19000000000000006)]"
12,14520,24600,25920,0.35984848484848486,0.1108780984685247,3.9775730355470764,-0.0339261636892512,1.0,2,"[np.float64(0.9500000000000001), np.float64(0.0), np.float64(0.04999999999999993)]"
13,15840,25920,27240,0.3984848484848485,-0.01079319417652623,0.24697196463007287,-0.1926672533683644,0.3888888888888889,36,"[np.float64(0.0), np.float64(0.9099999999999999), np.float64(0.09000000000000008)]"
14,17160,27240,28560,0.3924242424242424,0.18348299542705482,3.069706975640937,-0.06604821283053205,0.5555555555555556,9,"[np.float64(0.66), np.float64(0.31999999999999995), np.float64(0.020000000000000018)]"
15,18480,28560,29880,0.396969696969697,-0.14888405833667512,-2.9547549197977663,-0.21246547359493198,0.3076923076923077,13,"[np.float64(0.4399999999999999), np.float64(0.11999999999999988), np.float64(0.44000000000000017)]"
16,19800,29880,31200,0.4068181818181818,0.20640915780083652,3.602207056912758,-0.11356292042739723,0.5263157894736842,19,"[np.float64(0.3199999999999999), np.float64(0.4899999999999999), np.float64(0.19000000000000028)]"
17,21120,31200,32520,0.4287878787878788,-0.0015296408619491558,0.13132741697819234,-0.10968314892228709,0.375,8,"[np.float64(0.6900000000000001), np.float64(0.3099999999999999), np.float64(5.551115123125783e-17)]"
18,22440,32520,33840,0.36515151515151517,-0.0160158498042927,0.22209382337329892,-0.19284064834038797,0.37209302325581395,43,"[np.float64(0.1599999999999999), np.float64(0.32999999999999985), np.float64(0.5100000000000002)]"
19,23760,33840,35160,0.38181818181818183,-0.0732584264093126,-0.3872738316731787,-0.18403955965261073,0.3333333333333333,21,"[np.float64(0.8999999999999999), np.float64(0.009999999999999898), np.float64(0.09000000000000019)]"
20,25080,35160,36480,0.41515151515151516,-0.07335518097794139,-0.8618390872340607,-0.1370012322819141,0.3076923076923077,13,"[np.float64(0.029999999999999943), np.float64(0.5999999999999999), np.float64(0.3700000000000002)]"
21,26400,36480,37800,0.42272727272727273,-0.05968826703955183,-0.5416754669956216,-0.25218789658357743,0.3333333333333333,21,"[np.float64(0.35000000000000003), np.float64(0.2), np.float64(0.4499999999999999)]"
22,27720,37800,39120,0.396969696969697,0.0,0.0,0.0,0.0,0,"[np.float64(0.8599999999999999), np.float64(0.0799999999999999), np.float64(0.06000000000000022)]"
23,29040,39120,40440,0.39090909090909093,0.013613977586449437,0.4627166077265174,-0.10760722181738903,0.42857142857142855,7,"[np.float64(0.69), np.float64(0.0), np.float64(0.31000000000000005)]"
24,30360,40440,41760,0.34924242424242424,0.02198624592670858,0.5945581633222395,-0.1477084225664298,0.45454545454545453,11,"[np.float64(0.6199999999999999), np.float64(0.019999999999999934), np.float64(0.3600000000000002)]"
25,31680,41760,43080,0.37272727272727274,0.0,0.0,0.0,0.0,0,"[np.float64(0.8500000000000001), np.float64(0.05), np.float64(0.09999999999999991)]"
