fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights,horizon_bars,threshold
1,0,10080,11400,0.278030303030303,-0.020982592100976763,-1.810181926399109,-0.030658149626776564,0.2777777777777778,18,"[np.float64(0.4799999999999998), np.float64(0.15999999999999986), np.float64(0.3600000000000004)]",12,0.012
2,1320,11400,12720,0.2734848484848485,-0.0023661934120420484,-0.39909854558857594,-0.011834281074278545,0.3333333333333333,3,"[np.float64(0.7899999999999998), np.float64(0.049999999999999864), np.float64(0.1600000000000003)]",12,0.012
3,2640,12720,14040,0.23106060606060605,-0.09885767300743373,-5.845007398464855,-0.12536192979169256,0.2911392405063291,79,"[np.float64(0.019999999999999934), np.float64(0.5099999999999999), np.float64(0.4700000000000002)]",12,0.012
4,3960,14040,15360,0.18787878787878787,-0.15347170914292402,-9.134187761874545,-0.16701273193652078,0.2748091603053435,131,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]",12,0.012
5,5280,15360,16680,0.2909090909090909,-0.07235641918558504,-2.5858977810451145,-0.08029872056469262,0.30097087378640774,103,"[np.float64(0.0), np.float64(0.3799999999999999), np.float64(0.6200000000000001)]",12,0.012
6,6600,16680,18000,0.24166666666666667,-0.010572787200546553,-0.5133465534345352,-0.04106465014283013,0.38,50,"[np.float64(0.6599999999999998), np.float64(0.019999999999999907), np.float64(0.3200000000000003)]",12,0.012
7,7920,18000,19320,0.47575757575757577,-0.10875073570596815,-6.897369603942655,-0.12144891557487375,0.2761904761904762,105,"[np.float64(0.029999999999999874), np.float64(0.2799999999999999), np.float64(0.6900000000000002)]",12,0.012
8,9240,19320,20640,0.6484848484848484,-0.10007307278714725,-6.350596765763511,-0.11638259385951054,0.28421052631578947,95,"[np.float64(0.9099999999999999), np.float64(0.0), np.float64(0.09000000000000008)]",12,0.012
9,10560,20640,21960,0.5159090909090909,-0.038870220831026196,-6.770830900238872,-0.04132784373164147,0.21875,32,"[np.float64(0.8500000000000001), np.float64(0.03999999999999995), np.float64(0.10999999999999996)]",12,0.012
10,11880,21960,23280,0.3522727272727273,-0.09353482315794936,-3.915420262496327,-0.1019968916166592,0.328125,128,"[np.float64(0.16999999999999985), np.float64(0.83), np.float64(2.220446049250313e-16)]",12,0.012
11,13200,23280,24600,0.40075757575757576,0.08781462984404807,2.877164083694553,-0.03686574455396815,0.47126436781609193,87,"[np.float64(0.15999999999999998), np.float64(0.23999999999999994), np.float64(0.6000000000000001)]",12,0.012
12,14520,24600,25920,0.24924242424242424,-0.0927168795382926,-3.080643022167393,-0.11957968809595296,0.31,100,"[np.float64(0.44999999999999984), np.float64(0.009999999999999884), np.float64(0.5400000000000003)]",12,0.012
13,15840,25920,27240,0.24696969696969698,-0.0956571866370281,-2.981437026173488,-0.12827895872591008,0.3142857142857143,105,"[np.float64(0.00999999999999994), np.float64(0.99), np.float64(1.1102230246251565e-16)]",12,0.012
14,17160,27240,28560,0.3704545454545455,0.02537440292379397,3.390606745766789,-0.009691359437387838,0.75,8,"[np.float64(0.96), np.float64(0.0), np.float64(0.040000000000000036)]",12,0.012
15,18480,28560,29880,0.27121212121212124,-0.204518171374334,-8.81944641876283,-0.20817290085771237,0.21551724137931033,116,"[np.float64(0.2799999999999998), np.float64(0.7199999999999998), np.float64(4.440892098500626e-16)]",12,0.012
16,19800,29880,31200,0.3924242424242424,-0.20388223835963598,-12.674811368130351,-0.2049456523028311,0.22302158273381295,139,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",12,0.012
17,21120,31200,32520,0.3765151515151515,-0.06063174460890004,-1.2331675252334813,-0.10062615583078727,0.35454545454545455,110,"[np.float64(0.35000000000000003), np.float64(0.0), np.float64(0.6499999999999999)]",12,0.012
18,22440,32520,33840,0.31136363636363634,-0.008466917406885842,-0.5969454336233669,-0.035414411612425284,0.3125,16,"[np.float64(0.9799999999999999), np.float64(0.00999999999999994), np.float64(0.01000000000000019)]",12,0.012
19,23760,33840,35160,0.3068181818181818,-0.06643148316268507,-2.2234721311490926,-0.09125564206425939,0.4068965517241379,145,"[np.float64(0.9699999999999999), np.float64(0.0), np.float64(0.030000000000000138)]",12,0.012
20,25080,35160,36480,0.26590909090909093,-0.06469657794611722,-2.3687699032211493,-0.1006767182563853,0.3564356435643564,101,"[np.float64(0.7999999999999997), np.float64(0.1699999999999998), np.float64(0.0300000000000005)]",12,0.012
21,26400,36480,37800,0.2590909090909091,-0.08906849403951182,-3.9267305054381647,-0.09950027696986435,0.30851063829787234,94,"[np.float64(0.4), np.float64(0.30000000000000004), np.float64(0.29999999999999993)]",12,0.012
22,27720,37800,39120,0.3181818181818182,0.007999800202962069,0.6947186870243794,-0.03151931337562604,0.4,15,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]",12,0.012
23,29040,39120,40440,0.3371212121212121,-0.02219346365224628,-0.4303503959371891,-0.09173623068015799,0.3492063492063492,63,"[np.float64(0.6599999999999999), np.float64(0.3399999999999998), np.float64(2.7755575615628914e-16)]",12,0.012
24,30360,40440,41760,0.23863636363636365,-0.11631785224495325,-4.449746914319187,-0.16867569051268475,0.3333333333333333,102,"[np.float64(0.7199999999999999), np.float64(0.2599999999999999), np.float64(0.02000000000000024)]",12,0.012
