fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,2520,2850,0.8545454545454545,-0.008781601838921597,-1.4486065364657363,-0.020414063434455555,0.3333333333333333,3,"[np.float64(0.8), np.float64(0.0), np.float64(0.19999999999999996)]"
2,330,2850,3180,0.36666666666666664,0.028896453108742934,2.9967584956988382,-0.014523941695652139,0.5555555555555556,9,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
3,660,3180,3510,0.7727272727272727,-0.022582724938168756,-1.96173703946639,-0.043434812114821496,0.2857142857142857,7,"[np.float64(0.82), np.float64(0.08), np.float64(0.10000000000000005)]"
4,990,3510,3840,0.7121212121212122,0.028233468465389523,3.8265351907179403,-0.008888765709087011,0.75,4,"[np.float64(0.73), np.float64(0.059999999999999915), np.float64(0.2100000000000001)]"
5,1320,3840,4170,0.8878787878787879,0.0037434556866463025,0.6347940831230996,-0.009877601393380401,0.5,2,"[np.float64(0.25), np.float64(0.75), np.float64(0.0)]"
6,1650,4170,4500,0.803030303030303,0.014988744226748531,2.5953680599078086,-0.009285856276074379,0.6666666666666666,3,"[np.float64(0.0), np.float64(0.55), np.float64(0.44999999999999996)]"
7,1980,4500,4830,0.9575757575757575,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
8,2310,4830,5160,0.8303030303030303,-0.01023671457750661,-0.8669307769305511,-0.03149924075463963,0.25,4,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
9,2640,5160,5490,0.6484848484848484,0.01573400035321065,1.243015035999769,-0.03004500998640149,0.5,4,"[np.float64(0.45), np.float64(0.0), np.float64(0.55)]"
10,2970,5490,5820,0.6545454545454545,-0.014510271725282109,-1.3918431906064312,-0.02710079808624591,0.2857142857142857,7,"[np.float64(0.63), np.float64(0.11999999999999994), np.float64(0.25000000000000006)]"
11,3300,5820,6150,0.6060606060606061,-0.027566964606429975,-1.4881772942993534,-0.05123054816912972,0.25,4,"[np.float64(0.77), np.float64(0.0), np.float64(0.22999999999999998)]"
12,3630,6150,6480,0.8151515151515152,-0.014871639917495304,-2.904033023311763,-0.01608079816352146,0.0,2,"[np.float64(0.75), np.float64(0.0), np.float64(0.25)]"
13,3960,6480,6810,0.7727272727272727,-0.012444761316164477,-3.867833722396777,-0.012562734252829978,0.0,2,"[np.float64(0.4), np.float64(0.30000000000000004), np.float64(0.29999999999999993)]"
14,4290,6810,7140,0.8575757575757575,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
15,4620,7140,7470,0.6333333333333333,-0.013132069710290671,-0.6848494175796745,-0.046598076967862105,0.42857142857142855,7,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
16,4950,7470,7800,0.47878787878787876,0.009388128143228095,0.5000340357635273,-0.052099978146381,0.5,8,"[np.float64(0.89), np.float64(0.05999999999999997), np.float64(0.05000000000000002)]"
17,5280,7800,8130,0.6878787878787879,0.09211406852241853,6.5395241945129685,-0.008474660370146709,1.0,3,"[np.float64(0.75), np.float64(0.2), np.float64(0.04999999999999999)]"
18,5610,8130,8460,0.7515151515151515,0.004093444544462909,0.4548642891748095,-0.022620480939955123,0.5,2,"[np.float64(0.75), np.float64(0.0), np.float64(0.25)]"
19,5940,8460,8790,0.6909090909090909,-0.000912149327381303,-0.05664032003809402,-0.04376652934549186,0.2857142857142857,7,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
20,6270,8790,9120,0.5969696969696969,0.011912353125861773,0.9566081934482267,-0.025087839098188125,0.5,6,"[np.float64(0.0), np.float64(0.55), np.float64(0.44999999999999996)]"
21,6600,9120,9450,0.7878787878787878,-0.013119279289378392,-1.5631925131735849,-0.026037586088779624,0.2,5,"[np.float64(0.86), np.float64(0.10999999999999989), np.float64(0.030000000000000124)]"
22,6930,9450,9780,0.5545454545454546,-0.028223694848975356,-2.993844585064742,-0.038948561729813085,0.0,3,"[np.float64(0.64), np.float64(0.33999999999999986), np.float64(0.02000000000000013)]"
23,7260,9780,10110,0.7363636363636363,0.054551573550039575,3.6345726450003593,-0.01991600258341199,0.625,8,"[np.float64(0.8500000000000001), np.float64(0.0), np.float64(0.1499999999999999)]"
