fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights,horizon_bars,threshold
1,0,10080,11400,0.3939393939393939,-0.047907993847089526,-0.962425074201911,-0.1302654739651114,0.3877551020408163,147,"[np.float64(0.43999999999999995), np.float64(0.0), np.float64(0.56)]",12,0.025
2,1320,11400,12720,0.5840909090909091,-0.10642824404253988,-4.690053645018207,-0.13282524250220265,0.15789473684210525,19,"[np.float64(0.9799999999999999), np.float64(0.0), np.float64(0.02000000000000013)]",12,0.025
3,2640,12720,14040,0.47424242424242424,-0.08944975550118488,-3.193090485382984,-0.10478745965416711,0.3103448275862069,87,"[np.float64(0.8099999999999998), np.float64(0.019999999999999934), np.float64(0.17000000000000023)]",12,0.025
4,3960,14040,15360,0.46060606060606063,-0.03711309721712842,-1.588709688032434,-0.08767730866575456,0.36363636363636365,99,"[np.float64(0.22999999999999995), np.float64(0.21999999999999995), np.float64(0.55)]",12,0.025
5,5280,15360,16680,0.6386363636363637,-0.12203628212539497,-5.086637531849233,-0.1507346897121564,0.2727272727272727,88,"[np.float64(0.36), np.float64(0.41999999999999993), np.float64(0.22000000000000008)]",12,0.025
6,6600,16680,18000,0.7833333333333333,0.018876074636902922,1.101151497782636,-0.0272243501558439,0.4838709677419355,31,"[np.float64(0.4099999999999999), np.float64(0.059999999999999915), np.float64(0.5300000000000001)]",12,0.025
7,7920,18000,19320,0.9030303030303031,0.004709660956542575,0.5732912799385976,-0.015799619914708712,0.375,8,"[np.float64(0.05), np.float64(0.7000000000000001), np.float64(0.2499999999999999)]",12,0.025
8,9240,19320,20640,0.8681818181818182,0.014015497633209998,1.1784701516930567,-0.023026414208458156,0.5,8,"[np.float64(0.3), np.float64(0.029999999999999957), np.float64(0.67)]",12,0.025
9,10560,20640,21960,0.9242424242424242,0.0,0.0,0.0,0.0,0,"[np.float64(0.8), np.float64(0.05999999999999994), np.float64(0.14)]",12,0.025
10,11880,21960,23280,0.8621212121212121,-0.005383959769079411,-0.5127304522203422,-0.02973572872133036,0.36363636363636365,11,"[np.float64(0.0), np.float64(0.45), np.float64(0.55)]",12,0.025
11,13200,23280,24600,0.615909090909091,-0.08129303436189912,-2.916558389618937,-0.1361981540626796,0.30303030303030304,66,"[np.float64(0.2), np.float64(0.25), np.float64(0.55)]",12,0.025
12,14520,24600,25920,0.7681818181818182,-0.027491932746847306,-3.8735522096049966,-0.031131571445803433,0.125,8,"[np.float64(0.7999999999999999), np.float64(0.029999999999999874), np.float64(0.1700000000000002)]",12,0.025
13,15840,25920,27240,0.4734848484848485,-0.16978165105145634,-6.518665198210086,-0.19622957267376684,0.2717391304347826,92,"[np.float64(0.7000000000000001), np.float64(0.15000000000000002), np.float64(0.1499999999999999)]",12,0.025
14,17160,27240,28560,0.7931818181818182,0.004910589266944044,0.42434647604042813,-0.035043213399564795,0.4117647058823529,17,"[np.float64(0.5900000000000001), np.float64(0.0), np.float64(0.4099999999999999)]",12,0.025
15,18480,28560,29880,0.8166666666666667,-0.006183162463542976,-0.3682326335800812,-0.04686497041832681,0.3125,16,"[np.float64(0.75), np.float64(0.0), np.float64(0.25)]",12,0.025
16,19800,29880,31200,0.9340909090909091,0.0,0.0,0.0,0.0,0,"[np.float64(0.94), np.float64(0.029999999999999874), np.float64(0.03000000000000018)]",12,0.025
17,21120,31200,32520,0.5196969696969697,0.08718130937834066,2.4681420613903757,-0.03940384763434927,0.42424242424242425,99,"[np.float64(0.1), np.float64(0.35000000000000003), np.float64(0.55)]",12,0.025
18,22440,32520,33840,0.5628787878787879,-0.09949672577307919,-3.5923842733568816,-0.13531765644233187,0.35294117647058826,119,"[np.float64(0.0), np.float64(0.0399999999999999), np.float64(0.9600000000000001)]",12,0.025
19,23760,33840,35160,0.7303030303030303,-0.026967935459721776,-1.2586213928782959,-0.037225288554332416,0.3170731707317073,41,"[np.float64(0.37), np.float64(0.55), np.float64(0.07999999999999996)]",12,0.025
20,25080,35160,36480,0.740909090909091,-0.05588916336072616,-5.434247612338203,-0.07064353693178818,0.2692307692307692,26,"[np.float64(0.61), np.float64(0.12999999999999998), np.float64(0.26)]",12,0.025
21,26400,36480,37800,0.7522727272727273,-0.0376827668710881,-1.9126504440720808,-0.0502263830979815,0.36363636363636365,33,"[np.float64(0.43999999999999995), np.float64(0.44999999999999996), np.float64(0.1100000000000001)]",12,0.025
22,27720,37800,39120,0.5431818181818182,-0.0035186384127737255,-0.06903328257907432,-0.06314089680259953,0.39473684210526316,76,"[np.float64(0.75), np.float64(0.25), np.float64(0.0)]",12,0.025
23,29040,39120,40440,0.6742424242424242,-0.014853845056540922,-0.2955540681398678,-0.07833280968373409,0.2857142857142857,14,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]",12,0.025
24,30360,40440,41760,0.7022727272727273,-0.04783623501350193,-3.107379186832541,-0.07072548781249377,0.2727272727272727,44,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]",12,0.025
