fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,2520,2850,0.3696969696969697,-0.05646549764652937,-2.171097404789285,-0.05890484151015124,0.125,8,"[np.float64(0.05), np.float64(0.8500000000000001), np.float64(0.09999999999999987)]"
2,330,2850,3180,0.7272727272727273,-0.019984688398140316,-4.497398824473061,-0.019984688398140316,0.0,3,"[np.float64(0.75), np.float64(0.15000000000000002), np.float64(0.09999999999999998)]"
3,660,3180,3510,0.5363636363636364,-0.05126905020205486,-4.271301454663925,-0.06690776548429364,0.14285714285714285,7,"[np.float64(0.0), np.float64(0.05), np.float64(0.95)]"
4,990,3510,3840,0.5848484848484848,-0.026312184985881684,-1.7864751348892849,-0.043420406337037316,0.2727272727272727,11,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]"
5,1320,3840,4170,0.9393939393939394,-0.0036512372187808067,-1.7901198734797066,-0.00619056142751725,0.0,1,"[np.float64(0.58), np.float64(0.15999999999999998), np.float64(0.26000000000000006)]"
6,1650,4170,4500,0.7666666666666667,-0.0011573766611263636,-0.16578503184246957,-0.017410384198530554,0.5,2,"[np.float64(0.0), np.float64(0.05), np.float64(0.95)]"
7,1980,4500,4830,0.9424242424242424,0.0,0.0,0.0,0.0,0,"[np.float64(0.65), np.float64(0.15000000000000002), np.float64(0.19999999999999996)]"
8,2310,4830,5160,0.8545454545454545,-0.022270800580611465,-2.309866018473758,-0.024622171486213405,0.0,3,"[np.float64(0.0), np.float64(0.45), np.float64(0.55)]"
9,2640,5160,5490,0.8121212121212121,0.005037580366724978,0.5117354110267263,-0.021226461241830245,0.4,5,"[np.float64(0.4), np.float64(0.35000000000000003), np.float64(0.24999999999999994)]"
10,2970,5490,5820,0.7575757575757576,-0.03640827363946355,-2.2477097126546113,-0.03985732686609499,0.0,3,"[np.float64(0.38999999999999996), np.float64(0.06000000000000001), np.float64(0.55)]"
11,3300,5820,6150,0.5636363636363636,-0.01665343219523402,-1.2888337096296112,-0.033256225235080275,0.3333333333333333,3,"[np.float64(0.01999999999999999), np.float64(0.43999999999999995), np.float64(0.54)]"
12,3630,6150,6480,0.6181818181818182,0.0012662444972367667,0.17296905411513905,-0.014744448991649332,0.3333333333333333,3,"[np.float64(0.0), np.float64(0.96), np.float64(0.040000000000000036)]"
13,3960,6480,6810,0.8121212121212121,-0.006470325558176774,-3.733432702411624,-0.007028446166588219,0.0,1,"[np.float64(0.65), np.float64(0.3299999999999999), np.float64(0.020000000000000073)]"
14,4290,6810,7140,0.9121212121212121,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.6000000000000001), np.float64(0.3999999999999999)]"
15,4620,7140,7470,0.5787878787878787,0.015523483356194084,0.9488408125045001,-0.039604840719047636,0.4,5,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
16,4950,7470,7800,0.6696969696969697,-0.010946700560512545,-0.8578284501709738,-0.02808124678514978,0.2857142857142857,7,"[np.float64(0.0), np.float64(0.64), np.float64(0.36)]"
17,5280,7800,8130,0.6787878787878788,0.010089761981533047,1.854225427307019,-0.007420568144954449,0.5,2,"[np.float64(0.17999999999999994), np.float64(0.5299999999999999), np.float64(0.29000000000000015)]"
18,5610,8130,8460,0.8272727272727273,0.0,0.0,0.0,0.0,0,"[np.float64(0.7000000000000001), np.float64(0.25), np.float64(0.04999999999999993)]"
19,5940,8460,8790,0.7848484848484848,0.018880118898319052,5.004234892002173,-0.0017618215484471876,1.0,1,"[np.float64(0.4), np.float64(0.05), np.float64(0.5499999999999999)]"
20,6270,8790,9120,0.6848484848484848,0.015584829684637043,0.9682860853912333,-0.02500100812952391,0.5,6,"[np.float64(0.55), np.float64(0.2), np.float64(0.24999999999999994)]"
21,6600,9120,9450,0.7636363636363637,0.024015682959935294,1.5044293231538246,-0.04260584596109676,1.0,1,"[np.float64(0.7599999999999999), np.float64(0.009999999999999884), np.float64(0.2300000000000002)]"
22,6930,9450,9780,0.49696969696969695,-0.04299683805522563,-4.636496622848922,-0.054013465809997635,0.0,5,"[np.float64(0.30000000000000004), np.float64(0.35000000000000003), np.float64(0.3499999999999999)]"
23,7260,9780,10110,0.803030303030303,-0.019452001093935904,-3.2533192141297365,-0.020116828101932615,0.0,2,"[np.float64(0.55), np.float64(0.0), np.float64(0.44999999999999996)]"
