fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,5040,5700,0.2696969696969697,0.0034507681422628594,0.2182723890591278,-0.05996941648216117,0.375,8,"[np.float64(0.20999999999999994), np.float64(0.79), np.float64(1.1102230246251568e-16)]"
2,660,5700,6360,0.37575757575757573,-0.02021645525214626,-1.036047712360472,-0.06761334911188899,0.375,24,"[np.float64(0.0), np.float64(0.06999999999999994), np.float64(0.93)]"
3,1320,6360,7020,0.25303030303030305,0.02824721418849149,1.32043649146723,-0.03561840380717613,0.5,16,"[np.float64(0.0), np.float64(0.10999999999999995), np.float64(0.89)]"
4,1980,7020,7680,0.28484848484848485,-0.026262997029738836,-2.5185364359542364,-0.035583327867153375,0.21428571428571427,14,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
5,2640,7680,8340,0.5227272727272727,-0.02370707568392081,-2.902623780447718,-0.03240479286351294,0.25,12,"[np.float64(0.96), np.float64(0.0), np.float64(0.040000000000000036)]"
6,3300,8340,9000,0.5818181818181818,-0.015271991510368389,-1.6016847746295537,-0.031263555915871655,0.2,5,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
7,3960,9000,9660,0.753030303030303,0.0028798886305317867,0.704847085798303,-0.0073860031517548694,0.4444444444444444,9,"[np.float64(0.16999999999999998), np.float64(0.06999999999999994), np.float64(0.7600000000000001)]"
8,4620,9660,10320,0.7787878787878788,-0.025925333249126378,-6.390197939211846,-0.027601667762248386,0.0,7,"[np.float64(0.8200000000000001), np.float64(0.00999999999999994), np.float64(0.16999999999999998)]"
9,5280,10320,10980,0.8909090909090909,0.0035565089731446277,1.3296856804499955,-0.0062769421880632895,0.5,2,"[np.float64(0.7899999999999999), np.float64(0.19999999999999996), np.float64(0.01000000000000012)]"
10,5940,10980,11640,0.796969696969697,-0.004812975769460718,-0.9211839352415719,-0.01289637371431527,0.25,4,"[np.float64(0.15000000000000002), np.float64(0.15000000000000002), np.float64(0.7)]"
11,6600,11640,12300,0.5742424242424242,-0.002334578500578573,-0.3838267085718211,-0.009652387846654908,0.3333333333333333,6,"[np.float64(0.6499999999999999), np.float64(0.2299999999999999), np.float64(0.12000000000000019)]"
12,7260,12300,12960,0.6757575757575758,0.005778954996794892,0.6384626321554056,-0.02071102128816281,0.4444444444444444,9,"[np.float64(0.0), np.float64(0.38999999999999996), np.float64(0.6100000000000001)]"
13,7920,12960,13620,0.4,-0.02269653738103334,-2.382670720780176,-0.02939494002550431,0.23076923076923078,13,"[np.float64(0.9299999999999997), np.float64(0.03999999999999984), np.float64(0.030000000000000443)]"
14,8580,13620,14280,0.7803030303030303,-0.009659014245363686,-5.235025706048542,-0.00980409766191527,0.0,3,"[np.float64(0.9), np.float64(0.0), np.float64(0.09999999999999998)]"
15,9240,14280,14940,0.6984848484848485,0.0,0.0,0.0,0.0,0,"[np.float64(0.8), np.float64(0.0), np.float64(0.19999999999999996)]"
16,9900,14940,15600,0.753030303030303,0.0,0.0,0.0,0.0,0,"[np.float64(0.41999999999999993), np.float64(0.00999999999999994), np.float64(0.5700000000000002)]"
17,10560,15600,16260,0.6015151515151516,-0.009565651897046154,-1.7204844257788188,-0.014545300137848922,0.2,5,"[np.float64(0.75), np.float64(0.05), np.float64(0.2)]"
18,11220,16260,16920,0.6803030303030303,-0.014204852509109878,-1.2831081626657508,-0.0320094494048642,0.25,12,"[np.float64(0.8), np.float64(0.0), np.float64(0.19999999999999996)]"
19,11880,16920,17580,0.6181818181818182,0.01266545566181776,1.3753385823891195,-0.020945657700365806,0.3333333333333333,6,"[np.float64(0.9499999999999997), np.float64(0.04999999999999978), np.float64(4.85722573273506e-16)]"
20,12540,17580,18240,0.5393939393939394,0.033658467737946014,1.9284374611133392,-0.04233428149373893,0.43478260869565216,23,"[np.float64(0.0), np.float64(0.019999999999999934), np.float64(0.9800000000000001)]"
21,13200,18240,18900,0.5227272727272727,-0.04924571147283768,-5.601564212173326,-0.05188967397282445,0.1,10,"[np.float64(0.88), np.float64(0.0), np.float64(0.12)]"
22,13860,18900,19560,0.6151515151515151,-0.01574018270651977,-1.8066099175247705,-0.02053311545063229,0.2,5,"[np.float64(0.8600000000000001), np.float64(0.019999999999999934), np.float64(0.11999999999999997)]"
23,14520,19560,20220,0.5712121212121212,0.013752389725048851,1.1467451931707742,-0.023160153431286322,0.5714285714285714,14,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
24,15180,20220,20880,0.6424242424242425,0.009046912160934152,1.320389029651738,-0.018267297792548504,0.5,2,"[np.float64(0.9500000000000001), np.float64(0.0), np.float64(0.04999999999999993)]"
25,15840,20880,21540,0.6060606060606061,-0.020982590131798862,-1.192341663265041,-0.05072842258297302,0.2916666666666667,24,"[np.float64(0.8), np.float64(0.08999999999999996), np.float64(0.11)]"
