fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights,horizon_bars,threshold
1,0,10080,11400,0.49242424242424243,0.0,0.0,0.0,0.0,0,"[np.float64(0.019999999999999934), np.float64(0.3599999999999998), np.float64(0.6200000000000003)]",4,0.012
2,1320,11400,12720,0.6265151515151515,0.015670076368538684,1.2791718803863752,-0.035701476661561767,0.5,2,"[np.float64(0.15999999999999992), np.float64(0.82), np.float64(0.02000000000000013)]",4,0.012
3,2640,12720,14040,0.7295454545454545,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.22999999999999993), np.float64(0.77)]",4,0.012
4,3960,14040,15360,0.7833333333333333,0.0,0.0,0.0,0.0,0,"[np.float64(0.05999999999999994), np.float64(0.43999999999999995), np.float64(0.5000000000000001)]",4,0.012
5,5280,15360,16680,0.5037878787878788,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.8), np.float64(0.19999999999999996)]",4,0.012
6,6600,16680,18000,0.4946969696969697,0.0,0.0,0.0,0.0,0,"[np.float64(0.7599999999999999), np.float64(0.0), np.float64(0.2400000000000001)]",4,0.012
7,7920,18000,19320,0.8295454545454546,0.0,0.0,0.0,0.0,0,"[np.float64(0.24999999999999994), np.float64(0.74), np.float64(0.010000000000000009)]",4,0.012
8,9240,19320,20640,0.7984848484848485,0.0,0.0,0.0,0.0,0,"[np.float64(0.1), np.float64(0.5), np.float64(0.4)]",4,0.012
9,10560,20640,21960,0.9083333333333333,0.0,0.0,0.0,0.0,0,"[np.float64(0.2699999999999999), np.float64(0.6799999999999999), np.float64(0.050000000000000155)]",4,0.012
10,11880,21960,23280,0.7151515151515152,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.45), np.float64(0.55)]",4,0.012
11,13200,23280,24600,0.36515151515151517,-0.0214734373618252,-1.285121693000746,-0.050583381939836546,0.3333333333333333,15,"[np.float64(0.2699999999999998), np.float64(0.55), np.float64(0.18000000000000016)]",4,0.012
12,14520,24600,25920,0.5045454545454545,0.02050889247580926,3.4924161822483404,-0.005264143903032709,1.0,1,"[np.float64(0.20999999999999996), np.float64(0.0), np.float64(0.79)]",4,0.012
13,15840,25920,27240,0.43636363636363634,0.0,0.0,0.0,0.0,0,"[np.float64(0.7299999999999999), np.float64(0.2699999999999999), np.float64(2.220446049250313e-16)]",4,0.012
14,17160,27240,28560,0.7159090909090909,0.0,0.0,0.0,0.0,0,"[np.float64(0.10999999999999995), np.float64(0.75), np.float64(0.14)]",4,0.012
15,18480,28560,29880,0.6909090909090909,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.30000000000000004), np.float64(0.7)]",4,0.012
16,19800,29880,31200,0.8136363636363636,0.0,0.0,0.0,0.0,0,"[np.float64(0.8199999999999998), np.float64(0.019999999999999907), np.float64(0.16000000000000025)]",4,0.012
17,21120,31200,32520,0.3424242424242424,0.0,0.0,0.0,0.0,0,"[np.float64(0.8399999999999999), np.float64(0.13999999999999999), np.float64(0.020000000000000157)]",4,0.012
18,22440,32520,33840,0.43712121212121213,0.022524909896550524,1.1596558952095002,-0.03386112951312268,0.6666666666666666,3,"[np.float64(0.0), np.float64(0.00999999999999994), np.float64(0.9900000000000001)]",4,0.012
19,23760,33840,35160,0.6530303030303031,0.0,0.0,0.0,0.0,0,"[np.float64(0.9199999999999996), np.float64(0.05999999999999969), np.float64(0.02000000000000071)]",4,0.012
20,25080,35160,36480,0.5106060606060606,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.25999999999999995), np.float64(0.74)]",4,0.012
21,26400,36480,37800,0.6916666666666667,0.0,0.0,0.0,0.0,0,"[np.float64(0.04999999999999989), np.float64(0.58), np.float64(0.3700000000000001)]",4,0.012
22,27720,37800,39120,0.7333333333333333,0.0,0.0,0.0,0.0,0,"[np.float64(0.8), np.float64(0.0), np.float64(0.19999999999999996)]",4,0.012
23,29040,39120,40440,0.5924242424242424,-0.15614912915938803,-4.24962849286611,-0.18871632875602526,0.2,10,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]",4,0.012
24,30360,40440,41760,0.578030303030303,0.0,0.0,0.0,0.0,0,"[np.float64(0.89), np.float64(0.0), np.float64(0.10999999999999999)]",4,0.012
