fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,2520,2850,0.42727272727272725,0.06982907637674125,7.093853242529333,-0.007967586739433557,0.8571428571428571,7,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
2,330,2850,3180,0.6060606060606061,-0.05924558000416255,-4.007882092022285,-0.06129836699986773,0.0,7,"[np.float64(0.5299999999999999), np.float64(0.44999999999999984), np.float64(0.02000000000000024)]"
3,660,3180,3510,0.5636363636363636,-0.042307511079075266,-2.0776991455617586,-0.053734142607992884,0.25,8,"[np.float64(0.47), np.float64(0.09), np.float64(0.44000000000000006)]"
4,990,3510,3840,0.37575757575757573,0.14992832006288062,4.028338404939281,-0.033566353838482915,0.6666666666666666,12,"[np.float64(0.6100000000000001), np.float64(0.029999999999999943), np.float64(0.36)]"
5,1320,3840,4170,0.8424242424242424,0.0,0.0,0.0,0.0,0,"[np.float64(0.7899999999999999), np.float64(0.029999999999999943), np.float64(0.18000000000000013)]"
6,1650,4170,4500,0.803030303030303,0.004007535037850539,0.24229929415519566,-0.05513164893113895,0.4,10,"[np.float64(0.7699999999999998), np.float64(0.1399999999999999), np.float64(0.0900000000000003)]"
7,1980,4500,4830,0.8454545454545455,-0.007797238173639198,-0.8214095837760959,-0.018698404580030675,0.25,4,"[np.float64(0.25), np.float64(0.7000000000000001), np.float64(0.04999999999999993)]"
8,2310,4830,5160,0.8333333333333334,-0.009538867050130647,-1.3701509609483837,-0.015181694262299041,0.0,1,"[np.float64(0.5), np.float64(0.2), np.float64(0.3)]"
9,2640,5160,5490,0.4818181818181818,0.028463851227210762,1.4584710180011906,-0.05889584892077251,0.5,6,"[np.float64(0.6), np.float64(0.29), np.float64(0.11000000000000004)]"
10,2970,5490,5820,0.3242424242424242,0.043192727449855736,2.1601245885401186,-0.025040891931762226,0.5,10,"[np.float64(0.30000000000000004), np.float64(0.4), np.float64(0.29999999999999993)]"
11,3300,5820,6150,0.5909090909090909,-0.021208649595489987,-0.9909544798810928,-0.0356534205004049,0.2,5,"[np.float64(0.99), np.float64(0.00999999999999994), np.float64(6.938893903907228e-17)]"
12,3630,6150,6480,0.6757575757575758,-0.001417990436162836,-0.11811756592987475,-0.025808769172464236,0.3333333333333333,3,"[np.float64(0.55), np.float64(0.019999999999999934), np.float64(0.43000000000000005)]"
13,3960,6480,6810,0.6787878787878788,0.0,0.0,0.0,0.0,0,"[np.float64(0.5), np.float64(0.2), np.float64(0.3)]"
14,4290,6810,7140,0.7848484848484848,0.012654674491236619,3.6525621589457606,-0.0017444578756642584,1.0,1,"[np.float64(0.0), np.float64(0.65), np.float64(0.35)]"
15,4620,7140,7470,0.503030303030303,-0.04608709237184794,-3.6827488850376855,-0.06228785221525634,0.125,8,"[np.float64(0.45), np.float64(0.05), np.float64(0.5)]"
16,4950,7470,7800,0.25757575757575757,-0.026720299723924472,-1.5812244308102994,-0.04828428149043446,0.375,8,"[np.float64(0.55), np.float64(0.05), np.float64(0.39999999999999997)]"
17,5280,7800,8130,0.6272727272727273,0.05558014037357425,1.9129516910455266,-0.046062128414282436,0.6666666666666666,3,"[np.float64(0.73), np.float64(0.20999999999999996), np.float64(0.06000000000000005)]"
18,5610,8130,8460,0.7424242424242424,-0.04917906332638486,-3.511022690219431,-0.05216564398219541,0.18181818181818182,11,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]"
19,5940,8460,8790,0.7333333333333333,-0.01554385894201314,-1.0647174387329026,-0.05630725748580831,0.3,10,"[np.float64(0.92), np.float64(0.05999999999999986), np.float64(0.0200000000000001)]"
20,6270,8790,9120,0.41818181818181815,-0.017075545324476842,-1.3075354790408094,-0.033320429225224574,0.2727272727272727,11,"[np.float64(0.8499999999999999), np.float64(0.1499999999999999), np.float64(2.220446049250313e-16)]"
21,6600,9120,9450,0.6242424242424243,-0.02421292189704327,-1.935578236382367,-0.0358848952406982,0.25,12,"[np.float64(0.94), np.float64(0.059999999999999915), np.float64(1.3877787807814457e-16)]"
22,6930,9450,9780,0.6727272727272727,0.0,0.0,0.0,0.0,0,"[np.float64(0.75), np.float64(0.25), np.float64(0.0)]"
23,7260,9780,10110,0.6666666666666666,-0.020108351683117507,-1.7183245348804774,-0.03400788611469438,0.25,4,"[np.float64(0.45), np.float64(0.30000000000000004), np.float64(0.25)]"
