fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,420,475,0.2909090909090909,0.0,0.0,0.0,0.0,0,"[np.float64(0.9500000000000001), np.float64(0.0), np.float64(0.04999999999999993)]"
2,55,475,530,0.34545454545454546,-0.05235809912576915,-10.028946840697325,-0.06444105534528534,0.0,2,"[np.float64(0.75), np.float64(0.05), np.float64(0.2)]"
3,110,530,585,0.16363636363636364,0.0,0.0,0.0,0.0,0,"[np.float64(0.9), np.float64(0.05), np.float64(0.049999999999999975)]"
4,165,585,640,0.4,-0.029774725962304727,-4.924601037265713,-0.07939532502723974,0.0,1,"[np.float64(0.7000000000000001), np.float64(0.0), np.float64(0.29999999999999993)]"
5,220,640,695,0.38181818181818183,-0.020097573387247394,-3.771148052211372,-0.07597391156551342,0.16666666666666666,6,"[np.float64(0.0), np.float64(0.75), np.float64(0.25)]"
6,275,695,750,0.4,0.00019265588679190842,0.33090399855146224,-0.034944091927613524,0.5,2,"[np.float64(0.0), np.float64(0.7000000000000001), np.float64(0.29999999999999993)]"
7,330,750,805,0.2545454545454545,-0.07217366036216517,-8.347989526150373,-0.10919352537144696,0.2222222222222222,9,"[np.float64(0.0), np.float64(0.9), np.float64(0.09999999999999998)]"
8,385,805,860,0.38181818181818183,0.0,0.0,0.0,0.0,0,"[np.float64(0.7000000000000001), np.float64(0.05), np.float64(0.24999999999999994)]"
9,440,860,915,0.32727272727272727,0.01020517174661618,1.9059067777314647,-0.09763573637562302,0.42857142857142855,7,"[np.float64(0.0), np.float64(0.9), np.float64(0.09999999999999998)]"
10,495,915,970,0.43636363636363634,0.015891853251837347,3.016733311636895,-0.09990800075880205,0.5714285714285714,7,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
11,550,970,1025,0.6727272727272727,0.09456151804660366,18.729762260860067,-0.04880268727668035,0.6,5,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
12,605,1025,1080,0.36363636363636365,-0.03933909512290302,-4.996562617437605,-0.07476724259376752,0.3333333333333333,6,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
13,660,1080,1135,0.2727272727272727,-0.09287097722593571,-26.83285073879349,-0.09287097722593571,0.0,4,"[np.float64(0.2699999999999999), np.float64(0.73), np.float64(1.1102230246251565e-16)]"
14,715,1135,1190,0.38181818181818183,-0.013549336595046224,-0.9677652196979665,-0.10200984766542995,0.2857142857142857,7,"[np.float64(0.0), np.float64(0.2), np.float64(0.8)]"
15,770,1190,1245,0.45454545454545453,-0.0392994590602475,-4.876945634675807,-0.11222536293574574,0.42857142857142855,7,"[np.float64(0.4), np.float64(0.55), np.float64(0.04999999999999993)]"
16,825,1245,1300,0.23636363636363636,0.0,0.0,0.0,0.0,0,"[np.float64(0.55), np.float64(0.25), np.float64(0.19999999999999996)]"
17,880,1300,1355,0.3090909090909091,-0.0428517901251751,-9.245275864355298,-0.05211048592071784,0.0,2,"[np.float64(0.32999999999999996), np.float64(0.64), np.float64(0.030000000000000027)]"
18,935,1355,1410,0.41818181818181815,0.0,0.0,0.0,0.0,0,"[np.float64(0.9799999999999998), np.float64(0.0), np.float64(0.02000000000000024)]"
19,990,1410,1465,0.5636363636363636,0.0,0.0,0.0,0.0,0,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]"
20,1045,1465,1520,0.2909090909090909,0.03465035378756893,4.933030570074214,-0.051091589436712936,0.8,5,"[np.float64(0.0), np.float64(0.05), np.float64(0.95)]"
21,1100,1520,1575,0.5818181818181818,0.0,0.0,0.0,0.0,0,"[np.float64(0.75), np.float64(0.15000000000000002), np.float64(0.09999999999999998)]"
