fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights,horizon_bars,threshold
1,0,10080,11400,0.6863636363636364,0.02274251593939807,1.0629474670736583,-0.036980534594312844,0.4,5,"[np.float64(0.57), np.float64(0.3599999999999998), np.float64(0.07000000000000023)]",4,0.018
2,1320,11400,12720,0.7340909090909091,0.043842013523973586,1.7888497041836149,-0.043454449865297305,0.5,4,"[np.float64(0.25), np.float64(0.0), np.float64(0.75)]",4,0.018
3,2640,12720,14040,0.6886363636363636,-0.038046977357007926,-1.9096433259036414,-0.08201610749105938,0.16666666666666666,6,"[np.float64(0.6000000000000001), np.float64(0.30000000000000004), np.float64(0.09999999999999987)]",4,0.018
4,3960,14040,15360,0.8136363636363636,0.01785749289972482,1.5622846114908615,-0.030388087303276152,0.5,4,"[np.float64(0.2), np.float64(0.65), np.float64(0.15000000000000002)]",4,0.018
5,5280,15360,16680,0.6083333333333333,-0.11100672400943148,-3.9183401773311286,-0.11458536778191689,0.0,10,"[np.float64(0.35000000000000003), np.float64(0.55), np.float64(0.09999999999999987)]",4,0.018
6,6600,16680,18000,0.5772727272727273,-0.09853181655275038,-3.604377420749057,-0.12266335970512074,0.23076923076923078,26,"[np.float64(0.19999999999999996), np.float64(0.10999999999999995), np.float64(0.6900000000000001)]",4,0.018
7,7920,18000,19320,0.7340909090909091,0.0,0.0,0.0,0.0,0,"[np.float64(0.9099999999999999), np.float64(0.0), np.float64(0.09000000000000008)]",4,0.018
8,9240,19320,20640,0.8295454545454546,0.0,0.0,0.0,0.0,0,"[np.float64(0.2), np.float64(0.35000000000000003), np.float64(0.45)]",4,0.018
9,10560,20640,21960,0.9083333333333333,-0.0026114178366056875,-1.0888693700282932,-0.007564442441848665,0.3333333333333333,3,"[np.float64(0.13999999999999996), np.float64(0.2599999999999999), np.float64(0.6000000000000002)]",4,0.018
10,11880,21960,23280,0.7515151515151515,-0.057147300487201576,-3.2452926789758827,-0.07665797951260574,0.125,8,"[np.float64(0.0), np.float64(0.30000000000000004), np.float64(0.7)]",4,0.018
11,13200,23280,24600,0.6628787878787878,0.0,0.0,0.0,0.0,0,"[np.float64(0.62), np.float64(0.05999999999999994), np.float64(0.32000000000000006)]",4,0.018
12,14520,24600,25920,0.2340909090909091,-0.05529295797285831,-2.0687620304786156,-0.0819453024001064,0.2727272727272727,33,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]",4,0.018
13,15840,25920,27240,0.7568181818181818,0.0,0.0,0.0,0.0,0,"[np.float64(0.75), np.float64(0.15000000000000002), np.float64(0.09999999999999998)]",4,0.018
14,17160,27240,28560,0.7053030303030303,-0.007892903224468683,-2.79601959748374,-0.009867193246314127,0.0,1,"[np.float64(0.13999999999999987), np.float64(0.7899999999999998), np.float64(0.07000000000000028)]",4,0.018
15,18480,28560,29880,0.7318181818181818,0.0,0.0,0.0,0.0,0,"[np.float64(0.55), np.float64(0.4), np.float64(0.04999999999999993)]",4,0.018
16,19800,29880,31200,0.8090909090909091,0.0,0.0,0.0,0.0,0,"[np.float64(0.8), np.float64(0.0), np.float64(0.19999999999999996)]",4,0.018
17,21120,31200,32520,0.4825757575757576,0.04788533691057801,1.6838072516262308,-0.0623342752204651,0.4583333333333333,48,"[np.float64(0.0), np.float64(0.71), np.float64(0.29000000000000004)]",4,0.018
18,22440,32520,33840,0.7022727272727273,0.039707606889462295,2.205764570254498,-0.032888317910238093,0.5,4,"[np.float64(0.9299999999999998), np.float64(0.059999999999999803), np.float64(0.01000000000000037)]",4,0.018
19,23760,33840,35160,0.7386363636363636,0.0,0.0,0.0,0.0,0,"[np.float64(0.75), np.float64(0.15000000000000002), np.float64(0.09999999999999998)]",4,0.018
20,25080,35160,36480,0.7507575757575757,0.0069451009348707885,1.5197611374792843,-0.006297169677520604,1.0,1,"[np.float64(0.6000000000000001), np.float64(0.15000000000000002), np.float64(0.2499999999999999)]",4,0.018
21,26400,36480,37800,0.7712121212121212,-0.0004478695983721991,-0.05556576938372974,-0.012610413188728032,0.4,5,"[np.float64(0.0), np.float64(0.65), np.float64(0.35)]",4,0.018
22,27720,37800,39120,0.7734848484848484,-0.007797929546487467,-2.757486927107618,-0.011693025987765261,0.0,1,"[np.float64(0.48), np.float64(0.45999999999999996), np.float64(0.06000000000000005)]",4,0.018
23,29040,39120,40440,0.7151515151515152,-0.07587480254848633,-1.6335020497768442,-0.10951969551901321,0.0,6,"[np.float64(0.7), np.float64(0.00999999999999994), np.float64(0.2900000000000001)]",4,0.018
24,30360,40440,41760,0.7833333333333333,0.0,0.0,0.0,0.0,0,"[np.float64(0.8999999999999999), np.float64(0.03999999999999987), np.float64(0.06000000000000022)]",4,0.018
