fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,2520,2850,0.42424242424242425,0.004652220744153601,0.4988297841554573,-0.0506866677431962,0.5,2,"[np.float64(0.6299999999999999), np.float64(0.32999999999999985), np.float64(0.04000000000000026)]"
2,330,2850,3180,0.41818181818181815,0.0,0.0,0.0,0.0,0,"[np.float64(0.9099999999999999), np.float64(0.05999999999999989), np.float64(0.030000000000000193)]"
3,660,3180,3510,0.509090909090909,-0.03813822114490467,-5.0554213945772135,-0.051265901110802044,0.0,2,"[np.float64(0.7299999999999999), np.float64(0.019999999999999893), np.float64(0.2500000000000002)]"
4,990,3510,3840,0.3090909090909091,0.02204684089393231,6.948977299141036,-0.0041217500131799254,1.0,1,"[np.float64(0.30000000000000004), np.float64(0.2), np.float64(0.49999999999999994)]"
5,1320,3840,4170,0.5212121212121212,0.11647129587953169,8.21972838702986,-0.035045715770675404,0.5714285714285714,14,"[np.float64(0.0), np.float64(0.97), np.float64(0.030000000000000027)]"
6,1650,4170,4500,0.45454545454545453,0.050039604378504916,2.870547041998022,-0.0683597501525078,0.42105263157894735,19,"[np.float64(0.0), np.float64(0.6000000000000001), np.float64(0.3999999999999999)]"
7,1980,4500,4830,0.3939393939393939,-0.06909492266106208,-5.930672406954444,-0.09665275192609807,0.125,8,"[np.float64(0.29999999999999993), np.float64(0.1799999999999999), np.float64(0.5200000000000001)]"
8,2310,4830,5160,0.403030303030303,0.0,0.0,0.0,0.0,0,"[np.float64(0.75), np.float64(0.0), np.float64(0.25)]"
9,2640,5160,5490,0.38181818181818183,0.0,0.0,0.0,0.0,0,"[np.float64(0.1), np.float64(0.25), np.float64(0.65)]"
10,2970,5490,5820,0.3424242424242424,-0.0056984455966890895,-0.6180361646224325,-0.047731262891328244,0.3333333333333333,9,"[np.float64(0.0), np.float64(0.8500000000000001), np.float64(0.1499999999999999)]"
11,3300,5820,6150,0.4484848484848485,0.0,0.0,0.0,0.0,0,"[np.float64(0.7699999999999999), np.float64(0.21999999999999995), np.float64(0.010000000000000148)]"
12,3630,6150,6480,0.48484848484848486,-0.0105225520727623,-1.2029196193475933,-0.0662980123090246,0.16666666666666666,6,"[np.float64(0.22999999999999993), np.float64(0.039999999999999925), np.float64(0.7300000000000001)]"
13,3960,6480,6810,0.5242424242424243,0.06443634279194685,3.9067622745293087,-0.03847188514404507,0.5555555555555556,9,"[np.float64(0.1), np.float64(0.15000000000000002), np.float64(0.75)]"
14,4290,6810,7140,0.4090909090909091,0.0,0.0,0.0,0.0,0,"[np.float64(0.6099999999999999), np.float64(0.2099999999999999), np.float64(0.18000000000000022)]"
15,4620,7140,7470,0.503030303030303,0.006110925448287162,0.9926219840703946,-0.03148130182101271,0.5,4,"[np.float64(0.75), np.float64(0.2399999999999999), np.float64(0.010000000000000092)]"
16,4950,7470,7800,0.3696969696969697,0.0,0.0,0.0,0.0,0,"[np.float64(0.9), np.float64(0.0), np.float64(0.09999999999999998)]"
17,5280,7800,8130,0.3878787878787879,0.033788062767455086,6.445999018419725,-0.019383387167743783,0.6666666666666666,3,"[np.float64(0.0), np.float64(0.9), np.float64(0.09999999999999998)]"
18,5610,8130,8460,0.4909090909090909,0.02505968280713041,1.7052606015608691,-0.08070817373490918,0.45454545454545453,11,"[np.float64(0.3499999999999999), np.float64(0.4799999999999999), np.float64(0.1700000000000002)]"
19,5940,8460,8790,0.3333333333333333,-0.022561493710333707,-4.411604107574086,-0.033880693440400955,0.0,2,"[np.float64(0.3), np.float64(0.43999999999999995), np.float64(0.26)]"
20,6270,8790,9120,0.43333333333333335,0.0,0.0,0.0,0.0,0,"[np.float64(0.7299999999999999), np.float64(0.2199999999999999), np.float64(0.05000000000000024)]"
21,6600,9120,9450,0.3787878787878788,0.0,0.0,0.0,0.0,0,"[np.float64(0.8500000000000001), np.float64(0.1), np.float64(0.049999999999999906)]"
22,6930,9450,9780,0.4696969696969697,-0.019465377172482475,-4.495607335973962,-0.03120824477465251,0.0,2,"[np.float64(0.30000000000000004), np.float64(0.0), np.float64(0.7)]"
23,7260,9780,10110,0.3393939393939394,-0.08330606535439547,-8.980659890188303,-0.08419111943406209,0.14285714285714285,7,"[np.float64(0.30000000000000004), np.float64(0.5), np.float64(0.19999999999999996)]"
24,7590,10110,10440,0.45151515151515154,0.0,0.0,0.0,0.0,0,"[np.float64(0.9500000000000001), np.float64(0.0), np.float64(0.04999999999999993)]"
