fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,420,475,0.6545454545454545,0.0517587209063513,20.687287872372277,-0.010606883953280802,1.0,2,"[np.float64(0.25), np.float64(0.0), np.float64(0.75)]"
2,55,475,530,0.4,-0.0790581031290847,-16.0027794580417,-0.10055959393666407,0.14285714285714285,7,"[np.float64(0.1), np.float64(0.8), np.float64(0.09999999999999998)]"
3,110,530,585,0.4,0.0,0.0,0.0,0.0,0,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]"
4,165,585,640,0.2727272727272727,-0.044020213393365884,-26.998718606397702,-0.04894256983118558,0.0,4,"[np.float64(0.4), np.float64(0.35000000000000003), np.float64(0.24999999999999994)]"
5,220,640,695,0.36363636363636365,0.0,0.0,0.0,0.0,0,"[np.float64(0.89), np.float64(0.019999999999999934), np.float64(0.09000000000000005)]"
6,275,695,750,0.5454545454545454,0.0,0.0,0.0,0.0,0,"[np.float64(0.9399999999999998), np.float64(0.04999999999999981), np.float64(0.010000000000000356)]"
7,330,750,805,0.4909090909090909,0.0,0.0,0.0,0.0,0,"[np.float64(0.7799999999999999), np.float64(0.0899999999999999), np.float64(0.13000000000000017)]"
8,385,805,860,0.38181818181818183,-0.015590254912440286,-2.709538955421215,-0.0666884018679938,0.25,4,"[np.float64(0.65), np.float64(0.2), np.float64(0.14999999999999997)]"
9,440,860,915,0.38181818181818183,0.0,0.0,0.0,0.0,0,"[np.float64(0.9500000000000001), np.float64(0.0), np.float64(0.04999999999999993)]"
10,495,915,970,0.38181818181818183,-0.058407074569305585,-13.025517797308988,-0.058407074569305585,0.0,3,"[np.float64(0.45), np.float64(0.0), np.float64(0.55)]"
11,550,970,1025,0.3090909090909091,-0.08767768230288675,-22.83969801574611,-0.11259720746337697,0.25,8,"[np.float64(0.0), np.float64(0.5), np.float64(0.5)]"
12,605,1025,1080,0.509090909090909,0.0,0.0,0.0,0.0,0,"[np.float64(0.75), np.float64(0.25), np.float64(0.0)]"
13,660,1080,1135,0.36363636363636365,0.0,0.0,0.0,0.0,0,"[np.float64(0.7699999999999999), np.float64(0.0), np.float64(0.2300000000000001)]"
14,715,1135,1190,0.2545454545454545,0.04282678419588265,4.425276092123883,-0.14370488712390928,0.42857142857142855,7,"[np.float64(0.0), np.float64(0.4), np.float64(0.6)]"
15,770,1190,1245,0.36363636363636365,-0.04954062798946088,-7.555582906362643,-0.08532667333929336,0.4,5,"[np.float64(0.1), np.float64(0.75), np.float64(0.15000000000000002)]"
16,825,1245,1300,0.5272727272727272,-0.01796084692761178,-4.718213920851635,-0.054180151648021896,0.3333333333333333,3,"[np.float64(0.1), np.float64(0.4), np.float64(0.5)]"
17,880,1300,1355,0.2727272727272727,-0.0762711955425686,-14.803493226077528,-0.08318774246315407,0.2,5,"[np.float64(0.0), np.float64(0.8), np.float64(0.19999999999999996)]"
18,935,1355,1410,0.4,-0.05630683544485073,-22.56577002311407,-0.05630683544485073,0.0,4,"[np.float64(0.15000000000000002), np.float64(0.2), np.float64(0.6499999999999999)]"
19,990,1410,1465,0.7636363636363637,0.09476454754386396,17.760594173844627,-0.02468538044189643,1.0,3,"[np.float64(0.25), np.float64(0.0), np.float64(0.75)]"
20,1045,1465,1520,0.38181818181818183,0.08939317342322865,14.653764824120422,-0.037313007533999,1.0,3,"[np.float64(0.05), np.float64(0.25), np.float64(0.7)]"
21,1100,1520,1575,0.34545454545454546,-0.03658866419950209,-8.976433902264878,-0.07061795307695146,0.3333333333333333,3,"[np.float64(0.45), np.float64(0.0), np.float64(0.55)]"
