fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights,horizon_bars,threshold
1,0,10080,11400,0.33106060606060606,-0.16076237318488912,-5.511723984341957,-0.17641642900425228,0.23333333333333334,60,"[np.float64(0.06999999999999987), np.float64(0.4699999999999999), np.float64(0.46000000000000024)]",4,0.005
2,1320,11400,12720,0.3143939393939394,-0.039263594951878075,-2.9217537385205476,-0.044624156077992,0.2,15,"[np.float64(0.7399999999999999), np.float64(0.07999999999999992), np.float64(0.18000000000000022)]",4,0.005
3,2640,12720,14040,0.2765151515151515,-0.11448840695356739,-3.98829489553781,-0.12940671728083328,0.4152046783625731,171,"[np.float64(0.10999999999999982), np.float64(0.06999999999999984), np.float64(0.8200000000000003)]",4,0.005
4,3960,14040,15360,0.22954545454545455,-0.05139644358385722,-2.295959623019165,-0.10610287181178488,0.3931034482758621,145,"[np.float64(0.00999999999999994), np.float64(0.0), np.float64(0.9900000000000001)]",4,0.005
5,5280,15360,16680,0.325,-0.04899944959141576,-1.697127596915679,-0.08731585361997508,0.3793103448275862,116,"[np.float64(0.00999999999999994), np.float64(0.9799999999999999), np.float64(0.010000000000000231)]",4,0.005
6,6600,16680,18000,0.2590909090909091,-0.00838183933599248,-0.36092922187217913,-0.035693836055521504,0.37777777777777777,45,"[np.float64(0.33999999999999986), np.float64(0.6199999999999999), np.float64(0.04000000000000026)]",4,0.005
7,7920,18000,19320,0.21818181818181817,-0.043971460378614394,-1.9527427565989988,-0.08609789903683333,0.41379310344827586,116,"[np.float64(0.47999999999999987), np.float64(0.01999999999999981), np.float64(0.5000000000000003)]",4,0.005
8,9240,19320,20640,0.25757575757575757,-0.1496806000548486,-6.681195985120758,-0.16021052714455225,0.3262411347517731,141,"[np.float64(0.019999999999999934), np.float64(0.98), np.float64(1.1102230246251565e-16)]",4,0.005
9,10560,20640,21960,0.3643939393939394,-0.1411797314596057,-7.42319198442861,-0.1575850522433469,0.296551724137931,145,"[np.float64(0.00999999999999994), np.float64(0.4499999999999999), np.float64(0.5400000000000003)]",4,0.005
10,11880,21960,23280,0.35378787878787876,-0.08200793352629553,-2.9971930120095256,-0.08890440289253851,0.3888888888888889,180,"[np.float64(0.83), np.float64(0.06999999999999987), np.float64(0.10000000000000017)]",4,0.005
11,13200,23280,24600,0.3068181818181818,-0.04592872651481175,-1.5061167269744111,-0.09729348040174356,0.44242424242424244,165,"[np.float64(0.26999999999999996), np.float64(0.0), np.float64(0.73)]",4,0.005
12,14520,24600,25920,0.27045454545454545,0.0033251533763905172,0.22321374703706215,-0.0616395018274562,0.4,90,"[np.float64(0.5), np.float64(0.0), np.float64(0.5)]",4,0.005
13,15840,25920,27240,0.28939393939393937,-0.12431056861366414,-4.100827735808356,-0.13086613512870282,0.3484848484848485,132,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]",4,0.005
14,17160,27240,28560,0.2409090909090909,-0.15916737885678686,-9.38420247759901,-0.18501058007524426,0.24193548387096775,124,"[np.float64(0.25), np.float64(0.55), np.float64(0.19999999999999996)]",4,0.005
15,18480,28560,29880,0.3325757575757576,-0.19173784001204003,-8.14450194570833,-0.19882172125085662,0.31645569620253167,158,"[np.float64(0.0), np.float64(0.039999999999999925), np.float64(0.9600000000000001)]",4,0.005
