fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,420,475,0.9090909090909091,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
2,55,475,530,0.9454545454545454,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
3,110,530,585,0.9454545454545454,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
4,165,585,640,0.8545454545454545,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
5,220,640,695,0.9454545454545454,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.6000000000000001), np.float64(0.3999999999999999)]"
6,275,695,750,0.8727272727272727,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
7,330,750,805,0.8545454545454545,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.30000000000000004), np.float64(0.7)]"
8,385,805,860,0.8,-0.021525804994246573,-4.4547290994033855,-0.021525804994246573,0.0,1,"[np.float64(0.0), np.float64(0.75), np.float64(0.25)]"
9,440,860,915,0.9272727272727272,0.0,0.0,0.0,0.0,0,"[np.float64(0.75), np.float64(0.0), np.float64(0.25)]"
10,495,915,970,0.9090909090909091,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
11,550,970,1025,0.5636363636363636,0.053443564086812695,3.1047193892845115,-0.025055784479033588,1.0,1,"[np.float64(0.0), np.float64(0.2), np.float64(0.8)]"
12,605,1025,1080,0.7818181818181819,-0.028168982165363014,-1.65821005052671,-0.05793258105623542,0.0,1,"[np.float64(0.0), np.float64(0.5), np.float64(0.5)]"
