fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights,horizon_bars,threshold
1,0,10080,11400,0.29545454545454547,-0.006513278925542,-0.7056912550322262,-0.02785993609923183,0.4375,16,"[np.float64(0.65), np.float64(0.15000000000000002), np.float64(0.19999999999999996)]",8,0.005
2,1320,11400,12720,0.3378787878787879,0.0,0.0,0.0,0.0,0,"[np.float64(0.7000000000000001), np.float64(0.0), np.float64(0.29999999999999993)]",8,0.005
3,2640,12720,14040,0.3787878787878788,0.040726860594995376,2.0910167953200465,-0.047769561936356585,0.4444444444444444,9,"[np.float64(0.10999999999999989), np.float64(0.29999999999999993), np.float64(0.5900000000000002)]",8,0.005
4,3960,14040,15360,0.32196969696969696,0.0020058971363090677,0.1796218760696515,-0.07298715748716714,0.37209302325581395,86,"[np.float64(0.34999999999999987), np.float64(0.4899999999999999), np.float64(0.16000000000000025)]",8,0.005
5,5280,15360,16680,0.36666666666666664,-0.07592967161681409,-2.2420781964421583,-0.0963342887541379,0.30985915492957744,71,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]",8,0.005
6,6600,16680,18000,0.3704545454545455,0.03674009030539091,1.6283109839602372,-0.034846783435680206,0.46296296296296297,54,"[np.float64(0.25), np.float64(0.75), np.float64(0.0)]",8,0.005
7,7920,18000,19320,0.3303030303030303,-0.07918899180660592,-3.5102133451391966,-0.08914845522646124,0.25,56,"[np.float64(0.0), np.float64(0.5099999999999999), np.float64(0.4900000000000001)]",8,0.005
8,9240,19320,20640,0.3234848484848485,-0.00949091648569738,-3.3030810730916027,-0.00949091648569738,0.0,2,"[np.float64(0.0), np.float64(0.5199999999999999), np.float64(0.4800000000000001)]",8,0.005
9,10560,20640,21960,0.35909090909090907,0.0,0.0,0.0,0.0,0,"[np.float64(0.7899999999999998), np.float64(0.17999999999999985), np.float64(0.030000000000000332)]",8,0.005
10,11880,21960,23280,0.3621212121212121,-0.02052197274627506,-0.8128177563723512,-0.06954605459552164,0.2962962962962963,27,"[np.float64(0.32999999999999985), np.float64(0.019999999999999768), np.float64(0.6500000000000004)]",8,0.005
11,13200,23280,24600,0.3242424242424242,0.0,0.0,0.0,0.0,0,"[np.float64(0.7099999999999997), np.float64(0.27999999999999975), np.float64(0.010000000000000508)]",8,0.005
12,14520,24600,25920,0.3568181818181818,0.04071623056740136,5.165667494815629,-0.005647440128056416,1.0,2,"[np.float64(0.31999999999999995), np.float64(0.6), np.float64(0.08000000000000007)]",8,0.005
13,15840,25920,27240,0.38106060606060604,-0.06976718656871017,-4.508078130927415,-0.0946767058843718,0.20689655172413793,29,"[np.float64(0.0), np.float64(0.9500000000000001), np.float64(0.04999999999999993)]",8,0.005
14,17160,27240,28560,0.3712121212121212,0.028099705387297398,1.4521678539365255,-0.03342596679547692,0.43243243243243246,37,"[np.float64(0.08999999999999996), np.float64(0.14999999999999997), np.float64(0.76)]",8,0.005
15,18480,28560,29880,0.36666666666666664,-0.02970369924138213,-1.1395235794677943,-0.0752481008311357,0.3333333333333333,3,"[np.float64(0.6799999999999999), np.float64(0.31999999999999995), np.float64(1.1102230246251565e-16)]",8,0.005
16,19800,29880,31200,0.3159090909090909,-0.03394919984163571,-1.9039066437361833,-0.058110374275993484,0.25,28,"[np.float64(0.63), np.float64(0.09999999999999988), np.float64(0.27000000000000013)]",8,0.005
17,21120,31200,32520,0.29015151515151516,-0.16385156606789406,-7.0032414221771075,-0.18157723236736953,0.18181818181818182,55,"[np.float64(0.7000000000000001), np.float64(0.0), np.float64(0.29999999999999993)]",8,0.005
