fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights,horizon_bars,threshold
1,0,10080,11400,0.3734848484848485,0.01300497927171018,1.0343428645626938,-0.039496032355500026,0.5,4,"[np.float64(0.97), np.float64(0.0), np.float64(0.030000000000000027)]",12,0.012
2,1320,11400,12720,0.2825757575757576,-0.009871338308040321,-0.6066956520290717,-0.029020151475747342,0.36363636363636365,22,"[np.float64(0.8199999999999998), np.float64(0.059999999999999915), np.float64(0.12000000000000025)]",12,0.012
3,2640,12720,14040,0.22272727272727272,-0.14379030400480933,-6.967568061541766,-0.15147645590602443,0.23469387755102042,98,"[np.float64(0.5799999999999998), np.float64(0.41999999999999993), np.float64(2.220446049250313e-16)]",12,0.012
4,3960,14040,15360,0.25681818181818183,-0.002959890295484729,-0.039300287321673795,-0.05221877080563996,0.39603960396039606,101,"[np.float64(0.6299999999999999), np.float64(0.22999999999999984), np.float64(0.14000000000000026)]",12,0.012
5,5280,15360,16680,0.30606060606060603,-0.11027431077693454,-4.524097490604792,-0.12618604080827162,0.3546099290780142,141,"[np.float64(0.6399999999999999), np.float64(0.3399999999999999), np.float64(0.020000000000000184)]",12,0.012
6,6600,16680,18000,0.31893939393939397,-0.04148224166913642,-1.4811403058767265,-0.08834768861181191,0.3884297520661157,121,"[np.float64(0.09999999999999995), np.float64(0.6599999999999999), np.float64(0.2400000000000001)]",12,0.012
7,7920,18000,19320,0.2143939393939394,-0.1347378782849206,-6.28600571736671,-0.14994018695611808,0.28688524590163933,122,"[np.float64(0.7999999999999999), np.float64(0.029999999999999902), np.float64(0.17000000000000015)]",12,0.012
8,9240,19320,20640,0.19242424242424241,-0.10852409407243085,-6.7772953296547,-0.1300280770420131,0.297029702970297,101,"[np.float64(0.13999999999999993), np.float64(0.8499999999999999), np.float64(0.010000000000000231)]",12,0.012
9,10560,20640,21960,0.2787878787878788,-0.07332140690324886,-1.9384301796014463,-0.14051264194797575,0.37566137566137564,189,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",12,0.012
10,11880,21960,23280,0.24772727272727274,-0.2478046727927117,-6.831070360523782,-0.2658314645367358,0.275,160,"[np.float64(0.9799999999999999), np.float64(0.019999999999999865), np.float64(2.636779683484747e-16)]",12,0.012
11,13200,23280,24600,0.2772727272727273,-0.16476796767049018,-5.010532035462282,-0.1965680150316254,0.2857142857142857,126,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]",12,0.012
12,14520,24600,25920,0.2856060606060606,-0.006262893927263758,-0.09894294199320897,-0.08181096195549213,0.35443037974683544,79,"[np.float64(0.6499999999999998), np.float64(0.3199999999999999), np.float64(0.030000000000000304)]",12,0.012
13,15840,25920,27240,0.3765151515151515,0.06593174108174771,1.8750733422689225,-0.06857893636312612,0.4298245614035088,114,"[np.float64(0.45999999999999985), np.float64(0.3599999999999999), np.float64(0.18000000000000027)]",12,0.012
14,17160,27240,28560,0.2856060606060606,-0.17632912538850015,-6.724565293946534,-0.19000729005332462,0.3575757575757576,165,"[np.float64(0.2), np.float64(0.30000000000000004), np.float64(0.5)]",12,0.012
15,18480,28560,29880,0.31742424242424244,-0.11422738628111055,-3.2493499263561034,-0.14790916311707797,0.36875,160,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]",12,0.012
16,19800,29880,31200,0.27575757575757576,-0.1642378635052726,-5.178359344312683,-0.19681553960968912,0.3067484662576687,163,"[np.float64(0.82), np.float64(0.0399999999999999), np.float64(0.14000000000000015)]",12,0.012
17,21120,31200,32520,0.31666666666666665,-0.14231005212989858,-3.5735061348651236,-0.15513723460514972,0.39655172413793105,174,"[np.float64(0.07999999999999995), np.float64(0.1299999999999999), np.float64(0.7900000000000001)]",12,0.012
18,22440,32520,33840,0.3151515151515151,-0.258891145817401,-4.4680560828439875,-0.3122750874674754,0.26717557251908397,131,"[np.float64(0.6199999999999999), np.float64(0.1399999999999999), np.float64(0.2400000000000002)]",12,0.012
19,23760,33840,35160,0.26590909090909093,-0.16486040320135617,-4.210509924438266,-0.18687392810196643,0.2971014492753623,138,"[np.float64(0.0), np.float64(0.12999999999999998), np.float64(0.87)]",12,0.012
20,25080,35160,36480,0.3007575757575758,-0.15109513784907394,-5.61905515878336,-0.1599449867485989,0.2708333333333333,96,"[np.float64(0.72), np.float64(0.0), np.float64(0.28)]",12,0.012
21,26400,36480,37800,0.26212121212121214,-0.1269124243033144,-5.137344961011503,-0.14758931993886534,0.29245283018867924,106,"[np.float64(0.6599999999999998), np.float64(0.01999999999999985), np.float64(0.32000000000000034)]",12,0.012
22,27720,37800,39120,0.2871212121212121,-0.10002759813809607,-4.507823918732504,-0.11856631090128261,0.3181818181818182,110,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]",12,0.012
23,29040,39120,40440,0.26515151515151514,-0.1947399227950993,-7.015130389329223,-0.19768472256867217,0.2556390977443609,133,"[np.float64(0.18999999999999992), np.float64(0.5099999999999999), np.float64(0.30000000000000016)]",12,0.012
24,30360,40440,41760,0.23939393939393938,-0.17010506813823612,-8.368041196428358,-0.18211596297373434,0.2905405405405405,148,"[np.float64(0.56), np.float64(0.06999999999999995), np.float64(0.37)]",12,0.012
