fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights,horizon_bars,threshold
1,0,10080,11400,0.325,0.04172324085269793,2.7309516468020436,-0.022368388098830114,0.45454545454545453,11,"[np.float64(0.43999999999999995), np.float64(0.53), np.float64(0.030000000000000027)]",12,0.012
2,1320,11400,12720,0.2636363636363636,-0.11876379161922741,-4.831152373509088,-0.14277689945712535,0.26229508196721313,61,"[np.float64(0.24000000000000002), np.float64(0.31999999999999995), np.float64(0.44000000000000006)]",12,0.012
3,2640,12720,14040,0.23712121212121212,0.0,0.0,0.0,0.0,0,"[np.float64(0.9499999999999998), np.float64(0.02999999999999982), np.float64(0.020000000000000337)]",12,0.012
4,3960,14040,15360,0.2545454545454545,-0.08649242687522364,-2.0105581133195183,-0.14944927812048767,0.2926829268292683,82,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]",12,0.012
5,5280,15360,16680,0.2628787878787879,-0.10492299947468164,-2.7712421321609546,-0.14927062704108374,0.3181818181818182,110,"[np.float64(0.75), np.float64(0.23999999999999994), np.float64(0.010000000000000064)]",12,0.012
6,6600,16680,18000,0.26590909090909093,-0.07164871108157786,-3.128988818308477,-0.09538487856289286,0.34210526315789475,76,"[np.float64(0.9799999999999998), np.float64(0.009999999999999773), np.float64(0.010000000000000467)]",12,0.012
7,7920,18000,19320,0.24393939393939393,-0.09708575861607023,-4.467122150340651,-0.10720038530728015,0.3111111111111111,90,"[np.float64(0.029999999999999943), np.float64(0.29), np.float64(0.6800000000000002)]",12,0.012
8,9240,19320,20640,0.3106060606060606,-0.095956954307054,-4.974195102920882,-0.10166872285570754,0.2676056338028169,71,"[np.float64(0.8699999999999998), np.float64(0.10999999999999979), np.float64(0.020000000000000434)]",12,0.012
9,10560,20640,21960,0.3446969696969697,-0.1228863694061849,-6.027600220278549,-0.14713800430018226,0.2830188679245283,106,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]",12,0.012
10,11880,21960,23280,0.28484848484848485,-0.1344673240426444,-3.4403356156046425,-0.16615000909422312,0.3069306930693069,101,"[np.float64(0.0), np.float64(0.7599999999999999), np.float64(0.2400000000000001)]",12,0.012
11,13200,23280,24600,0.31363636363636366,-0.09710571384093092,-2.274605770903455,-0.1789671949257409,0.34146341463414637,123,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]",12,0.012
12,14520,24600,25920,0.353030303030303,0.01820364198969637,0.5902014901853009,-0.06489383947539684,0.371900826446281,121,"[np.float64(0.0), np.float64(0.98), np.float64(0.020000000000000018)]",12,0.012
13,15840,25920,27240,0.2856060606060606,-0.11439158753149349,-3.332923804622871,-0.11909630358996037,0.275,80,"[np.float64(0.6699999999999999), np.float64(0.019999999999999962), np.float64(0.3100000000000001)]",12,0.012
14,17160,27240,28560,0.27045454545454545,-0.08872580244484252,-4.088357084346765,-0.12931311588943517,0.3225806451612903,93,"[np.float64(0.0), np.float64(0.4099999999999999), np.float64(0.5900000000000001)]",12,0.012
15,18480,28560,29880,0.24621212121212122,-0.08360684417993762,-2.687958094971003,-0.14319638907730928,0.3711340206185567,97,"[np.float64(0.00999999999999994), np.float64(0.009999999999999884), np.float64(0.9800000000000002)]",12,0.012
16,19800,29880,31200,0.1946969696969697,-0.08502460345559702,-5.487585318956152,-0.10238686540126996,0.2916666666666667,72,"[np.float64(0.9500000000000001), np.float64(0.0), np.float64(0.04999999999999993)]",12,0.012
17,21120,31200,32520,0.3007575757575758,0.005430780573839911,0.281939690986099,-0.08298968007653916,0.3944954128440367,109,"[np.float64(0.12999999999999987), np.float64(0.81), np.float64(0.06000000000000017)]",12,0.012
18,22440,32520,33840,0.30227272727272725,-0.11953726306063145,-3.910068754480671,-0.1764800011307691,0.29508196721311475,61,"[np.float64(0.45999999999999996), np.float64(0.12999999999999984), np.float64(0.4100000000000002)]",12,0.012
19,23760,33840,35160,0.2606060606060606,-0.12415404054900318,-3.8839332918836122,-0.14328781229318457,0.2948717948717949,78,"[np.float64(0.01999999999999988), np.float64(0.0), np.float64(0.9800000000000001)]",12,0.012
20,25080,35160,36480,0.29318181818181815,-0.159036555577748,-5.954399461547787,-0.1720617603021681,0.2926829268292683,123,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]",12,0.012
21,26400,36480,37800,0.24621212121212122,-0.038629393187244024,-2.9627693518936855,-0.05566386360935526,0.3225806451612903,31,"[np.float64(0.56), np.float64(0.29000000000000004), np.float64(0.1499999999999999)]",12,0.012
22,27720,37800,39120,0.2871212121212121,-0.01991848065615959,-3.1939191040465413,-0.024708035373343956,0.2,5,"[np.float64(0.9), np.float64(0.00999999999999994), np.float64(0.09000000000000004)]",12,0.012
23,29040,39120,40440,0.25303030303030305,-0.03172315752779632,-2.3396153027520876,-0.04930308538596364,0.29411764705882354,17,"[np.float64(0.9099999999999999), np.float64(0.0), np.float64(0.09000000000000008)]",12,0.012
24,30360,40440,41760,0.2431818181818182,-0.014858562017953226,-0.8479270181442863,-0.0523233222557505,0.35294117647058826,34,"[np.float64(0.98), np.float64(0.0), np.float64(0.020000000000000018)]",12,0.012
