fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,10080,11400,0.24242424242424243,-0.08567780415558264,-2.7151456834738066,-0.11557694232218188,0.2962962962962963,81,"[np.float64(0.5), np.float64(0.0), np.float64(0.5)]"
2,1320,11400,12720,0.2037878787878788,-0.15369765497401458,-11.735921857771757,-0.15660524784060473,0.26666666666666666,135,"[np.float64(0.6799999999999998), np.float64(0.2799999999999998), np.float64(0.04000000000000037)]"
3,2640,12720,14040,0.5901515151515152,-0.027762003346057645,-2.8329616936343327,-0.04188280974389807,0.3541666666666667,48,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
4,3960,14040,15360,0.4257575757575758,-0.017682849935363447,-0.8082283599080945,-0.038614519624478996,0.36507936507936506,63,"[np.float64(0.00999999999999994), np.float64(0.74), np.float64(0.2500000000000001)]"
5,5280,15360,16680,0.19772727272727272,-0.09307052367396446,-6.319297728468944,-0.1068785369367923,0.2727272727272727,77,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]"
6,6600,16680,18000,0.39621212121212124,-0.09677415365339875,-4.020962810027979,-0.09954749233492455,0.2987012987012987,77,"[np.float64(0.019999999999999934), np.float64(0.98), np.float64(1.1102230246251565e-16)]"
7,7920,18000,19320,0.2916666666666667,-0.11586447600115025,-7.334087417044804,-0.1202168179155198,0.28688524590163933,122,"[np.float64(0.25999999999999995), np.float64(0.5900000000000001), np.float64(0.1499999999999999)]"
8,9240,19320,20640,0.13787878787878788,-0.09668213608352999,-7.612817627636339,-0.10019142672181713,0.3284671532846715,137,"[np.float64(0.7599999999999998), np.float64(0.0), np.float64(0.2400000000000002)]"
9,10560,20640,21960,0.8537878787878788,0.0,0.0,0.0,0.0,0,"[np.float64(0.7899999999999999), np.float64(0.07999999999999986), np.float64(0.13000000000000023)]"
10,11880,21960,23280,0.7053030303030303,0.002865439964445977,1.48763147197603,-0.00495700643517562,0.3333333333333333,3,"[np.float64(0.8), np.float64(0.05), np.float64(0.14999999999999997)]"
11,13200,23280,24600,0.7310606060606061,0.0,0.0,0.0,0.0,0,"[np.float64(0.45), np.float64(0.0), np.float64(0.55)]"
12,14520,24600,25920,0.10757575757575757,-0.12017764166959459,-13.764953725863675,-0.1227038701140247,0.2713178294573643,129,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]"
13,15840,25920,27240,0.7310606060606061,0.0,0.0,0.0,0.0,0,"[np.float64(0.92), np.float64(0.0), np.float64(0.07999999999999996)]"
14,17160,27240,28560,0.746969696969697,-0.022103610053184276,-8.999588328960378,-0.022103610053184276,0.13333333333333333,15,"[np.float64(0.38999999999999996), np.float64(0.0), np.float64(0.6100000000000001)]"
15,18480,28560,29880,0.6590909090909091,0.0,0.0,0.0,0.0,0,"[np.float64(0.7000000000000001), np.float64(0.0), np.float64(0.29999999999999993)]"
16,19800,29880,31200,0.875,0.0,0.0,0.0,0.0,0,"[np.float64(0.8), np.float64(0.0), np.float64(0.19999999999999996)]"
17,21120,31200,32520,0.5825757575757575,-0.007548976079930799,-0.190198028041125,-0.07426911627891966,0.3157894736842105,19,"[np.float64(0.55), np.float64(0.0), np.float64(0.44999999999999996)]"
18,22440,32520,33840,0.5189393939393939,0.023582974631662545,2.525680271131633,-0.015425231790420794,0.6666666666666666,3,"[np.float64(0.52), np.float64(0.25), np.float64(0.22999999999999998)]"
19,23760,33840,35160,0.22272727272727272,-0.11205495767858374,-6.856785154144607,-0.11930462890795968,0.3310344827586207,145,"[np.float64(0.6599999999999999), np.float64(0.31), np.float64(0.030000000000000082)]"
20,25080,35160,36480,0.15075757575757576,-0.12856290790929706,-10.29047603120002,-0.13960820987943834,0.2887323943661972,142,"[np.float64(0.0), np.float64(0.05), np.float64(0.95)]"
21,26400,36480,37800,0.09696969696969697,-0.06409323249112894,-5.9429762609979715,-0.07495463273076203,0.2875,80,"[np.float64(0.9), np.float64(0.0), np.float64(0.09999999999999998)]"
22,27720,37800,39120,0.7287878787878788,-0.018797121328952927,-4.857844687650377,-0.024217271249881604,0.3333333333333333,24,"[np.float64(0.15), np.float64(0.8499999999999999), np.float64(1.1102230246251565e-16)]"
23,29040,39120,40440,0.7151515151515152,-0.03656503707804823,-6.731159093985752,-0.037979212156985895,0.23076923076923078,26,"[np.float64(0.43999999999999995), np.float64(0.00999999999999994), np.float64(0.5500000000000002)]"
24,30360,40440,41760,0.8378787878787879,-0.011920919940925888,-4.526901775091121,-0.015533765638724129,0.4,20,"[np.float64(0.4399999999999999), np.float64(0.15999999999999992), np.float64(0.40000000000000013)]"
