fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,10080,11400,0.25227272727272726,-0.10679506533843741,-4.731386342697109,-0.11799094066171277,0.25396825396825395,63,"[np.float64(0.9500000000000001), np.float64(0.0), np.float64(0.04999999999999993)]"
2,1320,11400,12720,0.1946969696969697,-0.025724831652872853,-2.3254298978525942,-0.031592218143614265,0.3,20,"[np.float64(0.5599999999999999), np.float64(0.27999999999999997), np.float64(0.1600000000000001)]"
3,2640,12720,14040,0.31212121212121213,-0.00624889952094345,-0.1044731047774761,-0.08245433028887021,0.3783783783783784,74,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
4,3960,14040,15360,0.31742424242424244,-0.03275385043232018,-2.19317018911801,-0.06459460412701754,0.3953488372093023,43,"[np.float64(0.24999999999999986), np.float64(0.73), np.float64(0.02000000000000013)]"
5,5280,15360,16680,0.1765151515151515,-0.09574247972777321,-5.278092294409986,-0.10704128435131331,0.2823529411764706,85,"[np.float64(0.0), np.float64(0.019999999999999934), np.float64(0.9800000000000001)]"
6,6600,16680,18000,0.4696969696969697,-0.05153976035512423,-2.6658899865059937,-0.06615219996213742,0.3548387096774194,62,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
7,7920,18000,19320,0.425,-0.014106181194458804,-0.8158885144288366,-0.034427425215561254,0.3611111111111111,36,"[np.float64(0.0), np.float64(0.039999999999999925), np.float64(0.9600000000000001)]"
8,9240,19320,20640,0.3068181818181818,-0.09224522247356326,-4.202288011434959,-0.10647998558848518,0.2833333333333333,60,"[np.float64(0.019999999999999934), np.float64(0.9799999999999999), np.float64(2.220446049250313e-16)]"
9,10560,20640,21960,0.4022727272727273,-0.02269428157684888,-3.0367097752690486,-0.033183692777423675,0.25,20,"[np.float64(0.00999999999999994), np.float64(0.08999999999999996), np.float64(0.9000000000000001)]"
10,11880,21960,23280,0.37424242424242427,-0.03565185380512012,-2.4660801411253352,-0.05129098233037094,0.2857142857142857,28,"[np.float64(0.5499999999999998), np.float64(0.43999999999999984), np.float64(0.010000000000000342)]"
11,13200,23280,24600,0.3,-0.09620980961508994,-5.577740239824375,-0.10065792961562492,0.3,90,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
12,14520,24600,25920,0.31666666666666665,0.02402006163047936,3.473221548968895,-0.010972244903927505,0.6666666666666666,3,"[np.float64(0.7699999999999998), np.float64(0.00999999999999994), np.float64(0.22000000000000025)]"
13,15840,25920,27240,0.3151515151515151,-0.0004329731672851267,0.009168243615054812,-0.035385341674901455,0.2857142857142857,14,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
14,17160,27240,28560,0.42803030303030304,-0.009830750210160112,-1.1872701508802863,-0.027461928988607807,0.2777777777777778,18,"[np.float64(0.21999999999999997), np.float64(0.7599999999999999), np.float64(0.02000000000000013)]"
15,18480,28560,29880,0.5446969696969697,-0.044208635765770304,-2.4706520351691807,-0.05037250038096772,0.1111111111111111,9,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]"
16,19800,29880,31200,0.6583333333333333,0.0,0.0,0.0,0.0,0,"[np.float64(0.7599999999999999), np.float64(0.23999999999999994), np.float64(1.6653345369377348e-16)]"
17,21120,31200,32520,0.2825757575757576,-0.31083991664945126,-6.575391511459989,-0.3430426113004121,0.22727272727272727,88,"[np.float64(0.75), np.float64(0.05), np.float64(0.2)]"
18,22440,32520,33840,0.2878787878787879,-0.1810572400806659,-5.099912288049864,-0.19946259239715697,0.3119266055045872,109,"[np.float64(0.3999999999999999), np.float64(0.5099999999999999), np.float64(0.09000000000000019)]"
19,23760,33840,35160,0.3015151515151515,-0.06018793175268529,-2.0683823998033355,-0.09885233410615658,0.2857142857142857,56,"[np.float64(0.0), np.float64(0.32999999999999996), np.float64(0.67)]"
20,25080,35160,36480,0.17272727272727273,-0.03312445179537899,-3.3845887621994173,-0.045631673473436225,0.3,20,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]"
21,26400,36480,37800,0.2727272727272727,-0.09608000832900052,-5.48621385231232,-0.11687813287644995,0.24242424242424243,66,"[np.float64(0.00999999999999994), np.float64(0.05999999999999989), np.float64(0.9300000000000002)]"
22,27720,37800,39120,0.2515151515151515,-0.07976211839916104,-3.900141773375064,-0.11484760951489621,0.36082474226804123,97,"[np.float64(0.0), np.float64(0.9), np.float64(0.09999999999999998)]"
23,29040,39120,40440,0.25227272727272726,-0.0627600761155738,-3.5316192356410743,-0.08487876262524569,0.2619047619047619,42,"[np.float64(0.5199999999999999), np.float64(0.38999999999999996), np.float64(0.09000000000000014)]"
24,30360,40440,41760,0.25,-0.11017922318125166,-5.700282761310503,-0.11527198420332636,0.2978723404255319,94,"[np.float64(0.91), np.float64(0.049999999999999906), np.float64(0.04000000000000006)]"
