symbol,timeframe,horizon_hours,horizon_bars,threshold,label_style,n_features,n,neutral_pct,up_pct,down_pct,balance,score,edge,n_folds,n_active_folds,med_accuracy,med_return,med_sharpe,med_win_rate,med_trades,prof_folds,reason
DOT/USD,2h,12,6,0.018,ternary,105,21700,0.6496774193548387,0.17276497695852536,0.17755760368663595,0.9863193896733582,18.024605494582584,True,2.0,1.0,0.5835189309576837,0.07459938243676224,1.8042268754289073,0.8333333333333334,6.0,1.0,passes_all
INJ/USD,4h,24,6,0.05,ternary,105,10750,0.751906976744186,0.13069767441860466,0.1173953488372093,0.9463817025033358,17.443355485333708,True,1.0,1.0,0.6434634974533107,0.11111695263647453,1.4740855362674967,0.75,4.0,1.0,passes_all
ADA/USD,4h,12,3,0.025,ternary,105,10750,0.7865116279069767,0.10893023255813954,0.10455813953488372,0.979520697263683,17.337432348858034,True,2.0,1.0,0.6304470854555744,0.07393243221799475,1.6284906397465473,0.75,4.0,1.0,passes_all
MATIC/USD,8h,12,2,0.018,ternary,105,3667,0.6580310880829016,0.1682574311426234,0.17371148077447504,0.9840510367292543,16.99296165610023,True,1.0,1.0,0.47700170357751276,0.11241474309496843,2.9029275845499733,0.8333333333333334,6.0,1.0,passes_all
MATIC/USD,8h,12,2,0.012,ternary,105,3667,0.5590400872647941,0.21679847286610307,0.2241614398691028,0.9833024119117069,16.666524701873936,False,2.0,1.0,0.34582623509369675,0.0670460321252025,3.1707058414485205,1.0,3.0,1.0,acc=0.35<0.36
LINK/USD,1d,72,3,0.012,ternary,105,1625,0.3323076923076923,0.32984615384615384,0.33784615384615385,0.9880184331976682,16.656258897475826,True,2.0,1.0,0.3699186991869919,0.16679993121259176,2.3078849137359887,1.0,5.0,1.0,passes_all
ARB/USD,2h,8,4,0.018,ternary,105,12671,0.7186488832767738,0.13834740746586693,0.14300370925735933,0.9834502104375041,16.59800483236071,True,2.0,1.0,0.5074269286056541,0.08956700515050743,2.9494662602476285,0.75,8.0,1.0,passes_all
MATIC/USD,4h,12,3,0.025,ternary,105,7533,0.7504314350192487,0.12770476569759723,0.12186379928315412,0.97659574477463,16.591490110388158,True,2.0,1.0,0.685621445978879,0.024588729077973586,1.1290611908105768,0.6666666666666666,3.0,1.0,passes_all
BTC/USD,8h,12,2,0.012,ternary,105,5275,0.7080568720379147,0.14843601895734598,0.14350710900473934,0.9831168831747132,16.56853503521655,False,2.0,1.0,0.35906432748538014,0.062384802143844356,2.6372484855089477,1.0,3.0,1.0,acc=0.36<0.36
INJ/USD,1h,4,4,0.018,ternary,105,43582,0.7454683126061218,0.12920471754394017,0.12532696984993805,0.9847651672824271,16.138514805794042,True,1.0,1.0,0.6654234010222406,0.017799950226475993,1.0800467853492308,0.6666666666666666,3.0,1.0,passes_all
MATIC/USD,2h,4,2,0.008,ternary,105,15259,0.6411953601153417,0.176420473163379,0.18238416672127925,0.9833789954801132,15.511749301877382,True,1.0,1.0,0.6232631996824136,0.023340068524624804,1.0510307627745639,0.6363636363636364,11.0,1.0,passes_all
BCH/USD,4h,24,6,0.025,ternary,105,10750,0.6810232558139535,0.1586046511627907,0.1603720930232558,0.99445902597246,15.187816022979636,True,2.0,1.0,0.5410299943406904,0.0555579429513562,1.2672161361658272,0.75,4.0,1.0,passes_all
FIL/USD,2h,8,4,0.018,ternary,105,21700,0.7259907834101382,0.1328110599078341,0.14119815668202765,0.9693911874645494,14.787310184335773,True,2.0,1.0,0.6653674832962138,0.07906266755407124,1.7299605184114981,0.5,8.0,1.0,passes_all
ETC/USD,2h,24,12,0.035,ternary,105,21700,0.732626728110599,0.1325806451612903,0.1347926267281106,0.9917269907238063,14.722481367745457,True,1.0,1.0,0.6851336302895323,0.06664154969668962,1.0698087619548122,0.5,20.0,1.0,passes_all
LTC/USD,4h,12,3,0.005,ternary,105,10750,0.4153488372093023,0.297953488372093,0.28669767441860466,0.9807478122843216,14.422239478514703,True,2.0,1.0,0.44368986983588005,0.09485067967661344,1.5984420817971008,0.8,5.0,1.0,passes_all
ETC/USD,1h,12,12,0.025,ternary,105,43600,0.7485091743119267,0.1264678899082569,0.12502293577981652,0.9942544459872783,14.3857778877824,True,1.0,1.0,0.6929025131179233,0.08270803547257437,1.077727625423935,0.4666666666666667,45.0,1.0,passes_all
ETH/USD,2h,24,12,0.035,ternary,105,21691,0.766954036236227,0.12240099580471163,0.11064496795906135,0.9495548963588931,14.247853964664433,True,1.0,1.0,0.6663881927039822,0.05746170158964087,0.9700901105847878,0.5,16.0,1.0,passes_all
DOT/USD,4h,24,6,0.025,ternary,105,10750,0.6315348837209303,0.17572093023255814,0.19274418604651164,0.9537995456946868,14.229354374334363,True,2.0,1.0,0.5789473684210527,0.023081701655651522,0.9004070059133129,0.6666666666666666,3.0,1.0,passes_all
ETC/USD,1h,24,24,0.035,ternary,105,43600,0.7154357798165137,0.13958715596330276,0.1449770642201835,0.981059079618427,14.018075202527228,True,1.0,1.0,0.6792322562827948,0.05843967758398994,0.8405729340141909,0.47619047619047616,42.0,1.0,passes_all
ARB/USD,8h,24,3,0.035,ternary,105,3018,0.7557985420808483,0.11365142478462557,0.13055003313452618,0.9308005430242116,13.993528457526393,True,2.0,1.0,0.5636743215031316,0.024011481695747718,0.9700420274637629,0.6666666666666666,3.0,1.0,passes_all
AVAX/USD,2h,8,4,0.018,ternary,105,21691,0.6913466414642018,0.15407311788299294,0.15458024065280532,0.9983569828283254,13.714032379003083,True,1.0,1.0,0.530771372876636,0.031072406432022217,1.3486049214703637,0.6666666666666666,3.0,1.0,passes_all
ETC/USD,1h,8,8,0.018,ternary,105,43600,0.731788990825688,0.13424311926605503,0.1339678899082569,0.9989738327385618,13.610113696296219,True,1.0,1.0,0.7027064346865507,0.06294539229765142,0.9948738914540947,0.4074074074074074,27.0,1.0,passes_all
ETC/USD,1h,48,48,0.05,ternary,105,43600,0.7029587155963303,0.14610091743119266,0.15094036697247706,0.9837078218446714,13.608300793317076,True,2.0,1.0,0.6778514222590445,0.07580433324751175,0.9778957247595621,0.44155844155844154,77.0,1.0,passes_all
ADA/USD,4h,12,3,0.018,ternary,105,10750,0.7021395348837209,0.14772093023255814,0.15013953488372092,0.9918800749804152,13.560026872920588,True,2.0,1.0,0.5093378607809848,0.3374009095936943,2.445008787735677,0.5652173913043478,23.0,1.0,passes_all
ETC/USD,4h,48,12,0.05,ternary,105,10750,0.7379534883720931,0.1281860465116279,0.13386046511627908,0.9783457579811086,13.368179556868254,True,1.0,1.0,0.6955291454442558,0.04374806339298629,1.007596647983138,0.4,10.0,1.0,passes_all
UNI/USD,4h,8,2,0.018,ternary,105,543,0.5985267034990792,0.2007366482504604,0.2007366482504604,1.0,13.234848484848484,True,2.0,1.0,0.42424242424242425,0.016652693463915784,4.412049432576222,0.6666666666666666,3.0,1.0,passes_all
BCH/USD,1h,4,4,0.008,ternary,105,43600,0.6505733944954128,0.17337155963302753,0.17605504587155962,0.9923203150859754,13.194180197096586,True,1.0,1.0,0.475973487986744,0.1061980634653024,2.224710437361707,0.6,10.0,1.0,passes_all
ETC/USD,4h,24,6,0.018,ternary,105,10750,0.5546976744186046,0.21693023255813954,0.2283720930232558,0.9743054105444363,13.105014551246889,True,2.0,1.0,0.4702886247877759,0.16818662821670297,2.018472824722141,0.6153846153846154,13.0,1.0,passes_all
SOL/USD,4h,12,3,0.025,ternary,105,10750,0.7362790697674418,0.13962790697674418,0.12409302325581395,0.9410934746501747,12.988381977451867,True,2.0,1.0,0.645727221279004,0.02328450926238111,0.7238375518717882,0.5,4.0,1.0,passes_all
LINK/USD,1h,4,4,0.008,ternary,105,43582,0.5920792987930797,0.20476343444541326,0.20315726676150705,0.9960625492277873,12.869416907743618,False,2.0,1.0,0.30073214532393977,0.08483187358880805,2.3194169077436175,0.8,5.0,1.0,acc=0.30<0.36
ETC/USD,4h,12,3,0.012,ternary,105,10750,0.611906976744186,0.18976744186046512,0.19832558139534884,0.9779482263271948,12.650996664569263,True,2.0,1.0,0.47538200339558573,0.04207316029822996,1.3933565966575483,0.6666666666666666,3.0,1.0,passes_all
ADA/USD,4h,24,6,0.012,ternary,105,10750,0.4354418604651163,0.26688372093023255,0.29767441860465116,0.9454605372526445,12.508421598641139,True,2.0,1.0,0.36955291454442557,0.1453532840136224,2.1673633077526295,0.7,10.0,1.0,passes_all
UNI/USD,4h,12,3,0.025,ternary,105,543,0.6132596685082873,0.20441988950276244,0.18232044198895028,0.942857143004898,12.464285714285714,False,1.0,1.0,0.25757575757575757,0.04936925049942584,7.250076972994574,0.7142857142857143,7.0,1.0,acc=0.26<0.36
LINK/USD,8h,72,9,0.018,ternary,105,5275,0.3381990521327014,0.3237914691943128,0.3380094786729858,0.9785161845068252,12.456774168664923,True,2.0,1.0,0.36257309941520466,0.0728280329626159,2.105312180360829,0.75,4.0,1.0,passes_all
BCH/USD,2h,4,2,0.008,ternary,105,21700,0.7011520737327189,0.14788018433179723,0.15096774193548387,0.9896684657246252,12.189804000888945,True,2.0,1.0,0.5206013363028953,0.04635560876649797,0.8277772748310387,0.6,5.0,1.0,passes_all
LTC/USD,1h,8,8,0.018,ternary,105,43595,0.7485032687234775,0.125427227893107,0.12606950338341552,0.9974461875329563,12.147953665984796,True,2.0,2.0,0.6914790774754869,0.010555625160862381,0.23949012889742022,0.3752587991718426,33.5,2.0,passes_all
LINK/USD,1d,48,2,0.05,ternary,105,1625,0.7790769230769231,0.11261538461538462,0.10830769230769231,0.9805013928459199,12.14707708810634,True,1.0,1.0,0.5,0.10514924518039498,1.1970770881063393,0.6,5.0,1.0,passes_all
LINK/USD,4h,8,2,0.005,ternary,105,10750,0.4323720930232558,0.2875348837209302,0.280093023255814,0.9868895444347653,11.92465514070204,True,2.0,1.0,0.36955291454442557,0.06637595587811956,1.433596849813528,0.75,4.0,1.0,passes_all
ADA/USD,1h,12,12,0.025,ternary,105,43582,0.7357624707448029,0.1317286953329356,0.13250883392226148,0.997047585978523,11.918374872715761,True,2.0,2.0,0.6033982594280978,0.0910548274015152,1.0157942995384226,0.4256410256410257,35.5,2.0,passes_all
DOGE/USD,8h,48,6,0.05,ternary,105,5275,0.7414218009478672,0.1285308056872038,0.1300473933649289,0.994134897383386,11.875661719105494,True,2.0,2.0,0.4444444444444444,0.07997992112763586,1.4485375360989587,0.6058823529411765,11.0,2.0,passes_all
ETC/USD,2h,48,24,0.035,ternary,105,21700,0.5930414746543778,0.19534562211981568,0.21161290322580645,0.9600271770883717,11.862506613224411,True,2.0,1.0,0.561804008908686,0.09114141047676512,1.225206922855569,0.4634146341463415,41.0,1.0,passes_all
ETC/USD,4h,72,18,0.012,ternary,105,10750,0.27674418604651163,0.3332093023255814,0.390046511627907,0.9214147911054393,11.728047173312738,True,2.0,2.0,0.3737973967176005,0.07535077030455842,2.185432572294066,0.6444444444444444,9.5,2.0,passes_all
FIL/USD,1h,4,4,0.012,ternary,105,43595,0.7191421034522307,0.13808923041633214,0.1427686661314371,0.9833387782363889,11.61809540459323,True,2.0,1.0,0.5804446899599502,0.048442121003593096,0.7850080570071294,0.45161290322580644,31.0,1.0,passes_all
SOL/USD,8h,24,3,0.025,ternary,105,5275,0.6225592417061612,0.19488151658767772,0.18255924170616114,0.9673530889865457,11.587753301583948,False,2.0,1.0,0.3391812865497076,0.048320839610467195,1.9398418563040838,0.7142857142857143,7.0,1.0,acc=0.34<0.36
DOT/USD,2h,24,12,0.012,ternary,105,21700,0.37870967741935485,0.29870967741935484,0.3225806451612903,0.961578400892579,11.525813132778554,True,2.0,1.0,0.37778396436525613,0.034381345639195204,1.1058481311877184,0.7142857142857143,7.0,1.0,passes_all
DOT/USD,2h,72,36,0.05,ternary,105,21700,0.5877880184331797,0.1929032258064516,0.21930875576036865,0.9359418671201858,11.487538417053903,True,2.0,1.0,0.5439866369710468,0.09523074369724399,1.0989821482212039,0.47058823529411764,51.0,1.0,passes_all
AVAX/USD,4h,12,3,0.012,ternary,105,10750,0.5350697674418604,0.228,0.23693023255813953,0.9807923169680838,11.468610138592704,True,2.0,1.0,0.41992076966610076,0.0639837969129745,1.3201947452706886,0.6666666666666666,3.0,1.0,passes_all
BCH/USD,4h,8,2,0.018,ternary,105,10750,0.7955348837209303,0.10158139534883721,0.10288372093023256,0.9936305732795593,11.428664784933172,True,2.0,2.0,0.6301641199773628,0.010343076130626105,0.5253823853859189,0.41666666666666663,6.0,2.0,passes_all
OP/USD,1h,8,8,0.005,ternary,105,32616,0.3171142997301938,0.33272013735589895,0.35016556291390727,0.9744533740777277,11.378138143429888,True,2.0,1.0,0.36881005173688103,0.061443645661767916,1.909079965835124,0.6428571428571429,14.0,1.0,passes_all
UNI/USD,4h,12,3,0.008,ternary,105,543,0.3406998158379374,0.32044198895027626,0.3388581952117864,0.9720670391485128,11.35,False,2.0,1.0,0.3181818181818182,0.018079613919028632,4.573774040188262,0.6666666666666666,3.0,1.0,acc=0.32<0.36
DOGE/USD,8h,24,3,0.035,ternary,105,5275,0.7692890995260664,0.1162085308056872,0.11450236966824645,0.9926047658496384,11.324666921840931,True,2.0,1.0,0.46900584795321637,0.05286414071508516,0.9945499627766038,0.6,5.0,1.0,passes_all
OP/USD,1h,24,24,0.05,ternary,105,32616,0.7415378955114055,0.1272075055187638,0.13125459896983077,0.984341637071259,11.294147448159674,False,2.0,1.0,0.635809312638581,0.007736234305051767,0.16642273384959344,0.3974358974358974,78.0,1.0,sharpe=0.17<0.2
BTC/USD,8h,24,3,0.012,ternary,105,5275,0.6206635071090048,0.19222748815165877,0.1871090047393365,0.9865067466622573,11.271877260213344,True,2.0,1.0,0.4666666666666667,0.10339035752477048,1.9885439268800111,0.5,20.0,1.0,passes_all
SOL/USD,2h,8,4,0.025,ternary,105,21691,0.7817528007007515,0.11258125489834493,0.1056659444009036,0.9683143220716718,11.256477078599442,True,1.0,1.0,0.6477304372041214,0.02013844106741635,0.32555254504332903,0.3684210526315789,19.0,1.0,passes_all
