symbol,timeframe,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,n_bars
BTC/USD,1d,0.9727272727272727,0.0,0.0,-0.02692484720383094,0.0,0.0,1825
XRP/USD,1d,0.9545454545454546,0.0,0.0,-0.025561451162081684,0.0,0.0,1825
LINK/USD,1d,0.9454545454545454,0.0,0.0,-0.031006298852306945,0.0,0.0,1825
BTC/USD,8h,0.9454545454545454,0.0,0.0,-0.017532655165927096,0.0,0.0,5475
ETH/USD,1d,0.9454545454545454,0.0,0.0,-0.016305142548432922,0.0,0.0,1825
TRX/USD,4h,0.9424242424242424,0.0,0.0,-0.03156091464915445,0.0,1.0,10950
MATIC/USD,1d,0.9363636363636363,0.0,0.0,0.0,0.0,0.0,1286
ADA/USD,1d,0.9272727272727272,0.0,0.0,-0.04140334544153598,0.0,0.0,1825
SOL/USD,1d,0.9272727272727272,0.0,0.0,-0.03978982840960656,0.0,0.5,1825
AVAX/USD,1d,0.9181818181818182,0.0,0.0,-0.02812744533691535,0.0,0.0,1825
RUNE/USD,1d,0.9090909090909091,0.0,0.0,-0.06659375547791224,0.0,0.5,1825
ARB/USD,1d,0.8909090909090909,0.0,0.0,-0.07394271140115288,0.0,0.0,1077
ETH/USD,8h,0.8909090909090909,0.0,0.0,-0.01998254701581952,0.0,1.0,5475
OP/USD,1d,0.8909090909090909,0.0,0.0,-0.05793258105623542,0.0,0.0,1372
INJ/USD,1d,0.8909090909090909,0.0,0.0,-0.07374521558141747,0.0,0.0,1825
DOGE/USD,1d,0.8909090909090909,0.0,0.0,-0.04342648444632268,0.0,0.0,1825
XRP/USD,8h,0.8787878787878788,0.0,0.0,-0.06310767552651902,0.0,1.0,5475
BTC/USD,4h,0.8727272727272727,0.0,0.0,-0.040753655630140224,0.25,2.0,10950
MATIC/USD,8h,0.8484848484848485,0.0,0.0,-0.04558752491780661,0.0,1.0,3856
TRX/USD,2h,0.8363636363636363,-0.003852488190423719,-1.5594668982024569,-0.06332773088967852,0.25,5.0,21900
ADA/USD,8h,0.8363636363636363,0.0,0.0,-0.08227729205653596,0.0,1.0,5475
LINK/USD,8h,0.8242424242424242,0.0,0.0,-0.059335571896660076,0.3333333333333333,1.0,5475
DOGE/USD,8h,0.8181818181818182,-0.0009424528182255017,-0.07445369375925467,-0.05846891237184605,0.0,2.0,5475
LTC/USD,4h,0.8151515151515152,0.0,0.0,-0.05425291945910579,0.14285714285714285,3.0,10950
ARB/USD,8h,0.8,-0.011086587771651012,-1.5775819161028253,-0.08766282173668014,0.0,2.0,3228
AVAX/USD,8h,0.7878787878787878,0.0,0.0,-0.09798792934550292,0.3333333333333333,2.0,5475
XRP/USD,4h,0.7848484848484848,0.0,0.0,-0.14069649812107116,0.0,2.0,10950
SOL/USD,8h,0.7818181818181819,0.0,0.0,-0.08016529168028512,0.25,2.0,5475
ETH/USD,4h,0.7787878787878788,-0.0004420448779645085,-0.04043656638598207,-0.04868338206039194,0.3333333333333333,3.0,10950
OP/USD,8h,0.7727272727272727,-3.5357413689416714e-05,0.0,-0.06538657405382384,0.3333333333333333,2.5,4113
BCH/USD,4h,0.7666666666666667,0.0005874503790972085,0.21217028171997399,-0.0572292508000631,0.42857142857142855,3.0,10950
BTC/USD,2h,0.7666666666666667,-0.0020503358909161763,-0.5529714253828693,-0.06242988553306605,0.3333333333333333,6.0,21896
ETC/USD,4h,0.7575757575757576,-0.0036512372187808067,-0.8578284501709738,-0.06690776548429364,0.14285714285714285,3.0,10950
ADA/USD,4h,0.7515151515151515,-0.011359904832893881,-1.2335699651330856,-0.05792836901139336,0.3,3.0,10950
MATIC/USD,4h,0.7424242424242424,0.0,0.0,-0.05673489014207258,0.2,4.0,7713
DOT/USD,4h,0.7363636363636363,0.0,0.0,-0.052099978146381,0.3333333333333333,4.0,10950
RUNE/USD,8h,0.7333333333333333,0.0,0.0,-0.10469575041393665,0.3333333333333333,3.0,5475
DOGE/USD,4h,0.6848484848484848,0.0,0.0,-0.1283768579892822,0.26666666666666666,3.0,10950
INJ/USD,8h,0.6545454545454545,-0.010216956086487154,-0.8093752196907212,-0.12390626727919261,0.25,3.0,5475
SOL/USD,4h,0.6363636363636364,-0.008865035265128973,-0.6954074158949373,-0.09872073955377028,0.4,6.0,10950
FIL/USD,4h,0.6272727272727273,-0.007797238173639198,-0.8214095837760959,-0.06228785221525634,0.25,7.0,10950
LINK/USD,4h,0.6151515151515151,0.0,0.0,-0.08479563057962959,0.3333333333333333,4.0,10950
ETH/USD,2h,0.6060606060606061,-0.004812975769460718,-0.9211839352415719,-0.06761334911188899,0.25,8.0,21896
ARB/USD,4h,0.603030303030303,0.0,0.0,-0.07605425780749153,0.3333333333333333,8.0,6453
AVAX/USD,4h,0.593939393939394,0.0,0.02866557513397885,-0.06569003956154847,0.36363636363636365,4.0,10950
XRP/USD,2h,0.5727272727272728,-0.010462371457027256,-0.8493122036542403,-0.1100290361730111,0.3333333333333333,11.0,21896
LTC/USD,2h,0.5212121212121212,-0.009730146289584992,-1.2828620266319675,-0.07327525850964672,0.3333333333333333,11.0,21900
OP/USD,4h,0.5060606060606061,-0.008822484584571067,-0.504020134330154,-0.10506919778432212,0.3333333333333333,6.0,8224
RUNE/USD,4h,0.4484848484848485,0.010911683338646798,0.8726334524428107,-0.0826003215819196,0.42857142857142855,7.0,10950
ETC/USD,2h,0.4212121212121212,-0.0018086769550396638,-0.11767663363126225,-0.09829108814378623,0.3333333333333333,13.0,21900
BCH/USD,2h,0.4015151515151515,-0.006079550238040429,-0.38844818693620187,-0.1506347929109743,0.4,13.0,21900
ADA/USD,2h,0.3939393939393939,0.003354058313076166,0.31373305265976187,-0.09614710154120133,0.35714285714285715,13.0,21896
DOT/USD,2h,0.37272727272727274,-0.012542778650554828,-0.6840511922610134,-0.09029423667122514,0.29411764705882354,14.0,21900
INJ/USD,4h,0.36363636363636365,-0.02009038610839125,-1.0359670663674314,-0.18731896884218255,0.2857142857142857,8.0,10950
MATIC/USD,2h,0.3333333333333333,-0.015164983981076238,-1.239979789598443,-0.13373468468325458,0.3484848484848485,11.0,15424
AVAX/USD,2h,0.3196969696969697,-0.022260037429777002,-0.9886766405271734,-0.10573932088519855,0.3125,14.0,21896
INJ/USD,2h,0.29393939393939394,-0.015539672628852714,-0.5305714286867,-0.1778028281081535,0.3,17.0,21896
DOGE/USD,2h,0.2924242424242424,-0.014971321067136887,-0.9766217060014736,-0.14860544551031418,0.3333333333333333,14.0,21896
