iter	Accuracy	MultiClass
0	0.4781834841	1.085617169
1	0.4950764078	1.073191195
2	0.5027013934	1.061745264
3	0.5056081558	1.05144358
4	0.5074196164	1.041682105
5	0.50961022	1.032500723
6	0.5083042833	1.024121357
7	0.5073774894	1.016457203
8	0.5088098072	1.009302678
9	0.5092310771	1.002722108
10	0.5074617434	0.9967583026
11	0.5084306642	0.9908977934
12	0.5091046961	0.9855162303
13	0.5106212678	0.9802609763
14	0.5124327285	0.9753664542
15	0.5123906015	0.9712052676
16	0.5128961254	0.9670737696
17	0.5134859033	0.963304144
18	0.514960348	0.9597046168
19	0.5138650462	0.9564087151
20	0.5129803794	0.9534760634
21	0.5143705701	0.9508473606
22	0.5155501259	0.9482135261
23	0.514918221	0.9457863132
24	0.5144548241	0.9436882684
25	0.5157607608	0.9414472402
26	0.5153816179	0.9393835047
27	0.5158028878	0.9374575306
28	0.5154237449	0.9356891778
29	0.5163084117	0.9340212546
30	0.5177407294	0.9322645399
31	0.5174037135	0.9309412789
32	0.5185832693	0.9295391936
33	0.5195521901	0.9282066252
34	0.5195521901	0.9271547939
35	0.5195100631	0.9259767868
36	0.5203526029	0.924875605
37	0.5207317458	0.9238379481
38	0.5209002538	0.9228394136
39	0.5213636507	0.9220420407
40	0.5217006667	0.9211210875
41	0.5225853335	0.9203653491
42	0.5214479047	0.9194620799
43	0.5225432065	0.9186785755
44	0.5228802224	0.9181031681
45	0.5232172384	0.9174388197
46	0.5228380954	0.9168096763
47	0.5233436193	0.916284572
48	0.5228802224	0.9157273625
49	0.5242282862	0.9151358732
50	0.5243967941	0.9144954701
51	0.5247759371	0.9139873217
52	0.524860191	0.9135910643
53	0.5259133658	0.9131103159
54	0.52515508	0.9125656113
55	0.5253657149	0.9120705663
56	0.5257448579	0.9116819983
57	0.5263346358	0.9112599673
58	0.5272193026	0.9108996554
59	0.5278090805	0.9105163577
60	0.5279775884	0.9102195882
