iter	Passed	Remaining
0	138	69348
1	164	41031
2	188	31152
3	212	26360
4	233	23146
5	254	20930
6	276	19500
7	299	18444
8	323	17666
9	352	17259
10	372	16552
11	393	15985
12	414	15532
13	434	15085
14	456	14758
15	479	14510
16	503	14316
17	528	14140
18	550	13946
19	573	13754
20	596	13598
21	620	13474
22	644	13363
23	669	13275
24	691	13145
25	717	13073
26	742	13010
27	766	12919
28	787	12797
29	810	12704
30	834	12621
31	859	12570
32	879	12446
33	901	12351
34	923	12273
35	945	12185
36	966	12095
37	989	12032
38	1014	11988
39	1036	11922
40	1058	11853
