fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,1260,1425,0.3939393939393939,-0.051986588592468436,-1.1436731217377867,-0.13940772704557428,0.2857142857142857,7,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
2,165,1425,1590,0.47878787878787876,-0.09186327525102697,-4.845806575715169,-0.2050375150629985,0.25,12,"[np.float64(0.06000000000000001), np.float64(0.2799999999999999), np.float64(0.66)]"
3,330,1590,1755,0.5333333333333333,0.13114421330582082,3.95298743865621,-0.1825055098296143,0.42857142857142855,28,"[np.float64(0.0), np.float64(0.96), np.float64(0.040000000000000036)]"
4,495,1755,1920,0.5333333333333333,0.07947817610437433,3.2193898291531253,-0.1572855572875183,0.4583333333333333,24,"[np.float64(0.0), np.float64(0.029999999999999943), np.float64(0.9700000000000001)]"
5,660,1920,2085,0.3878787878787879,-0.11111736957282374,-3.6879755499917004,-0.23976271057613086,0.29411764705882354,17,"[np.float64(0.0), np.float64(0.65), np.float64(0.35)]"
6,825,2085,2250,0.42424242424242425,-0.12065156943785404,-4.2920306361190095,-0.17800290720703144,0.25,12,"[np.float64(0.0), np.float64(0.8), np.float64(0.19999999999999996)]"
7,990,2250,2415,0.3393939393939394,-0.06290634261186333,-0.514794395678561,-0.2216346763652372,0.2727272727272727,11,"[np.float64(0.25), np.float64(0.35000000000000003), np.float64(0.39999999999999997)]"
8,1155,2415,2580,0.32727272727272727,0.053982019992999994,6.078969123621667,-0.04383329701589373,1.0,1,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]"
9,1320,2580,2745,0.3878787878787879,-0.07165530845126196,-3.917662156310654,-0.15691891742196953,0.2,5,"[np.float64(0.0), np.float64(0.05), np.float64(0.95)]"
10,1485,2745,2910,0.4121212121212121,0.0873255307713589,5.225561206957458,-0.08806583647331281,0.5,8,"[np.float64(0.7000000000000001), np.float64(0.25), np.float64(0.04999999999999993)]"
