fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,5040,5700,0.5424242424242425,-0.1751085770218566,-3.1893353985400865,-0.21044813501780774,0.21428571428571427,14,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]"
2,660,5700,6360,0.44696969696969696,-0.09258056021270004,-1.7678164682205675,-0.16892072866668414,0.2727272727272727,11,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
3,1320,6360,7020,0.35,0.09903872454048068,4.184439209523065,-0.06750218447749234,0.6,5,"[np.float64(0.0), np.float64(0.1299999999999999), np.float64(0.8700000000000001)]"
4,1980,7020,7680,0.38181818181818183,0.0,0.0,0.0,0.0,0,"[np.float64(0.83), np.float64(0.1699999999999997), np.float64(3.3306690738754696e-16)]"
5,2640,7680,8340,0.37727272727272726,0.01708316254060028,0.7404532352280898,-0.24994531767568914,0.4,20,"[np.float64(0.0), np.float64(0.05), np.float64(0.95)]"
6,3300,8340,9000,0.47575757575757577,0.03136069502179689,1.0016310134553097,-0.15498200605435475,0.42857142857142855,7,"[np.float64(0.48999999999999994), np.float64(0.51), np.float64(0.0)]"
7,3960,9000,9660,0.4121212121212121,0.033790884882441787,1.1517759966763004,-0.10360699846038944,0.3888888888888889,18,"[np.float64(0.25), np.float64(0.75), np.float64(0.0)]"
8,4620,9660,10320,0.44393939393939397,0.0005728667930747179,0.3033324430530261,-0.1317155889575505,0.4375,16,"[np.float64(0.07999999999999996), np.float64(0.15999999999999998), np.float64(0.76)]"
9,5280,10320,10980,0.3333333333333333,0.010455937230874224,0.6235456388061972,-0.09904428441205011,0.4,5,"[np.float64(0.1399999999999999), np.float64(0.27), np.float64(0.5900000000000001)]"
10,5940,10980,11640,0.3575757575757576,-0.0008461710450386817,0.2079570496012047,-0.08297016473446467,0.375,8,"[np.float64(0.31), np.float64(0.0), np.float64(0.69)]"
11,6600,11640,12300,0.37272727272727274,0.017556783719768463,0.7363480566643755,-0.15242648682449375,0.37037037037037035,27,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]"
12,7260,12300,12960,0.3984848484848485,-0.006583883311560021,0.18407859128555387,-0.16265130942941192,0.38095238095238093,21,"[np.float64(0.0), np.float64(0.82), np.float64(0.18000000000000005)]"
13,7920,12960,13620,0.49696969696969695,0.23651667515977315,3.752532099009715,-0.12242105348317084,0.5,24,"[np.float64(0.0), np.float64(0.9), np.float64(0.09999999999999998)]"
14,8580,13620,14280,0.39545454545454545,0.09739471113358376,2.0738410745009475,-0.18438001068452367,0.42857142857142855,21,"[np.float64(0.31999999999999984), np.float64(0.21999999999999997), np.float64(0.4600000000000002)]"
15,9240,14280,14940,0.4803030303030303,0.12159413254482151,2.951847665921756,-0.09044697286781946,0.4666666666666667,15,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
16,9900,14940,15600,0.3803030303030303,0.022268036188267615,0.7802767072929092,-0.12191697482017202,0.42105263157894735,19,"[np.float64(0.29), np.float64(0.00999999999999994), np.float64(0.7000000000000001)]"
17,10560,15600,16260,0.4954545454545455,0.2389692121680231,3.587063246826727,-0.1584841551405332,0.46875,32,"[np.float64(0.2), np.float64(0.0), np.float64(0.8)]"
18,11220,16260,16920,0.45151515151515154,-0.18290452058023665,-4.5594572714584585,-0.24301999634620924,0.1111111111111111,9,"[np.float64(0.059999999999999845), np.float64(0.4899999999999999), np.float64(0.4500000000000003)]"
19,11880,16920,17580,0.4954545454545455,-0.27118626163050297,-5.092256099189526,-0.29947840995830255,0.125,16,"[np.float64(0.30000000000000004), np.float64(0.4), np.float64(0.29999999999999993)]"
20,12540,17580,18240,0.503030303030303,0.05071113132544506,1.2660300544946093,-0.17083932582129016,0.4,25,"[np.float64(0.1), np.float64(0.9), np.float64(0.0)]"
21,13200,18240,18900,0.47575757575757577,0.08653115240130556,1.9245003223245924,-0.18189230489223931,0.4375,16,"[np.float64(0.4499999999999999), np.float64(0.4699999999999999), np.float64(0.08000000000000013)]"
22,13860,18900,19560,0.4015151515151515,-0.16905803270547987,-4.44149364103092,-0.22104878147887158,0.2,10,"[np.float64(0.4), np.float64(0.30000000000000004), np.float64(0.29999999999999993)]"
23,14520,19560,20220,0.37272727272727274,-0.19266263037965417,-2.1467641182760637,-0.32074369393172764,0.25,20,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
24,15180,20220,20880,0.3515151515151515,0.0,0.0,0.0,0.0,0,"[np.float64(0.9699999999999998), np.float64(0.0), np.float64(0.03000000000000025)]"
25,15840,20880,21540,0.38333333333333336,0.0,0.0,0.0,0.0,0,"[np.float64(0.75), np.float64(0.25), np.float64(0.0)]"
