fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,2520,2850,0.3303030303030303,0.0,0.0,0.0,0.0,0,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]"
2,330,2850,3180,0.3333333333333333,0.0,0.0,0.0,0.0,0,"[np.float64(0.8999999999999999), np.float64(0.08999999999999994), np.float64(0.010000000000000148)]"
3,660,3180,3510,0.37272727272727274,-0.12063627958480211,-5.822333773229647,-0.18958236338529819,0.25,8,"[np.float64(0.15000000000000002), np.float64(0.35000000000000003), np.float64(0.49999999999999994)]"
4,990,3510,3840,0.2727272727272727,-0.06880551120193668,-2.355241065242157,-0.16277578746626134,0.3333333333333333,6,"[np.float64(0.10999999999999995), np.float64(0.0), np.float64(0.89)]"
5,1320,3840,4170,0.31212121212121213,-0.04198640728846622,-3.0155679786384013,-0.07431093906492219,0.25,4,"[np.float64(0.5899999999999997), np.float64(0.3899999999999999), np.float64(0.02000000000000035)]"
6,1650,4170,4500,0.3515151515151515,0.0,0.0,0.0,0.0,0,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]"
7,1980,4500,4830,0.38181818181818183,-0.013164612593439779,-1.0380872802194063,-0.06908108021925399,0.25,4,"[np.float64(0.00999999999999994), np.float64(0.9199999999999998), np.float64(0.07000000000000028)]"
8,2310,4830,5160,0.296969696969697,-0.0409464679937555,-2.6118986177695174,-0.07793904709692673,0.3333333333333333,3,"[np.float64(0.09999999999999991), np.float64(0.12999999999999998), np.float64(0.7700000000000001)]"
9,2640,5160,5490,0.31212121212121213,-0.04806258585905052,-2.279518542185138,-0.1414842662356671,0.3076923076923077,13,"[np.float64(0.019999999999999962), np.float64(0.08999999999999989), np.float64(0.8900000000000001)]"
10,2970,5490,5820,0.24242424242424243,-0.19785930209013713,-11.518603667772563,-0.21098971585978124,0.23076923076923078,13,"[np.float64(0.25), np.float64(0.65), np.float64(0.09999999999999998)]"
11,3300,5820,6150,0.2818181818181818,-0.11968229692097775,-5.86868578357649,-0.12944877068522873,0.25,8,"[np.float64(0.14999999999999983), np.float64(0.8399999999999999), np.float64(0.010000000000000342)]"
12,3630,6150,6480,0.5272727272727272,0.4227949291677054,10.945296085086188,-0.09525733902853672,0.7142857142857143,14,"[np.float64(0.0), np.float64(0.75), np.float64(0.25)]"
13,3960,6480,6810,0.3696969696969697,-0.10554817279998097,-4.016049312326815,-0.1986426844694749,0.2222222222222222,9,"[np.float64(0.00999999999999994), np.float64(0.0), np.float64(0.9900000000000001)]"
14,4290,6810,7140,0.36363636363636365,-0.0811359170433645,-3.155687772901213,-0.19334826094421376,0.3333333333333333,15,"[np.float64(0.05999999999999994), np.float64(0.04999999999999995), np.float64(0.8900000000000001)]"
15,4620,7140,7470,0.48484848484848486,-0.018811139142259344,-0.36914550344030866,-0.11495051943653838,0.36363636363636365,11,"[np.float64(0.0), np.float64(0.30000000000000004), np.float64(0.7)]"
16,4950,7470,7800,0.39090909090909093,0.032371699097328566,1.796478614646674,-0.09183878056737692,0.5,8,"[np.float64(0.0), np.float64(0.9500000000000001), np.float64(0.04999999999999993)]"
17,5280,7800,8130,0.3393939393939394,-0.11399360736129747,-3.9331554475651522,-0.16933251814848538,0.2,10,"[np.float64(0.45), np.float64(0.35000000000000003), np.float64(0.2)]"
18,5610,8130,8460,0.3151515151515151,0.0,0.0,0.0,0.0,0,"[np.float64(0.8500000000000001), np.float64(0.0), np.float64(0.1499999999999999)]"
19,5940,8460,8790,0.4212121212121212,-0.09428825755549679,-3.9295254783136064,-0.18692379264680603,0.2727272727272727,11,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
20,6270,8790,9120,0.2878787878787879,-0.009539375170393214,-0.3145756895918024,-0.0828824384451362,0.6,5,"[np.float64(0.38999999999999996), np.float64(0.49999999999999994), np.float64(0.11000000000000015)]"
21,6600,9120,9450,0.37272727272727274,0.0,0.0,0.0,0.0,0,"[np.float64(0.91), np.float64(0.059999999999999915), np.float64(0.030000000000000054)]"
22,6930,9450,9780,0.4212121212121212,-0.03334051890392366,-1.504491987566722,-0.12011065208146432,0.42857142857142855,7,"[np.float64(0.0), np.float64(0.55), np.float64(0.44999999999999996)]"
23,7260,9780,10110,0.3787878787878788,-0.043064524335134954,-2.130187535058125,-0.08755935554474661,0.42857142857142855,7,"[np.float64(0.29000000000000004), np.float64(0.13999999999999987), np.float64(0.5700000000000002)]"
24,7590,10110,10440,0.37575757575757573,0.0,0.0,0.0,0.0,0,"[np.float64(0.7899999999999999), np.float64(0.00999999999999994), np.float64(0.20000000000000012)]"
