fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,5040,5700,0.36363636363636365,-0.15784433597627032,-2.2346980038908613,-0.27330987931013884,0.2916666666666667,24,"[np.float64(0.9), np.float64(0.0), np.float64(0.09999999999999998)]"
2,660,5700,6360,0.37272727272727274,-0.2000703803035384,-8.474986857136361,-0.2114096453512122,0.0,7,"[np.float64(0.29999999999999993), np.float64(0.31999999999999995), np.float64(0.3800000000000001)]"
3,1320,6360,7020,0.3893939393939394,-0.07151514308313726,-2.9209056278548284,-0.09317396225115247,0.2,5,"[np.float64(0.0), np.float64(0.00999999999999994), np.float64(0.9900000000000001)]"
4,1980,7020,7680,0.4,-0.12754391523092964,-1.4927386555327775,-0.21009081393001383,0.30434782608695654,23,"[np.float64(0.18999999999999995), np.float64(0.0), np.float64(0.81)]"
5,2640,7680,8340,0.34545454545454546,-0.15328125815824534,-5.4047530419493155,-0.2242698156315958,0.2222222222222222,9,"[np.float64(0.3099999999999999), np.float64(0.6599999999999998), np.float64(0.03000000000000036)]"
6,3300,8340,9000,0.396969696969697,-0.08306028070752818,-1.4779356314365077,-0.14773122282101195,0.3125,16,"[np.float64(0.7099999999999999), np.float64(0.0), np.float64(0.29000000000000015)]"
7,3960,9000,9660,0.396969696969697,-0.000829348483540889,0.25541106362470933,-0.17662766997670915,0.47619047619047616,21,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
8,4620,9660,10320,0.44242424242424244,-0.1309706655280246,-1.9719879737377413,-0.22379251481178233,0.3333333333333333,18,"[np.float64(0.37), np.float64(0.07999999999999995), np.float64(0.55)]"
9,5280,10320,10980,0.35,-0.11644673287296063,-2.725088852358409,-0.1933596010865208,0.3333333333333333,18,"[np.float64(0.41), np.float64(0.18), np.float64(0.4100000000000001)]"
10,5940,10980,11640,0.353030303030303,0.07857226799476848,2.646035683211551,-0.07237787250449493,0.6,10,"[np.float64(0.22999999999999982), np.float64(0.43999999999999984), np.float64(0.3300000000000004)]"
11,6600,11640,12300,0.4196969696969697,0.3133917345177542,5.981947032299519,-0.07375345164368283,0.625,16,"[np.float64(0.35000000000000003), np.float64(0.0), np.float64(0.6499999999999999)]"
12,7260,12300,12960,0.40454545454545454,0.0,0.0,0.0,0.0,0,"[np.float64(0.9499999999999998), np.float64(0.039999999999999813), np.float64(0.010000000000000342)]"
13,7920,12960,13620,0.41818181818181815,-0.3181615447835348,-5.780689951316106,-0.3944078725970229,0.15,20,"[np.float64(0.6599999999999998), np.float64(0.2899999999999999), np.float64(0.050000000000000266)]"
14,8580,13620,14280,0.44393939393939397,0.0663301909913851,1.4633453392037257,-0.18945835918939277,0.4,25,"[np.float64(0.31), np.float64(0.44999999999999996), np.float64(0.24)]"
15,9240,14280,14940,0.44545454545454544,0.0740916808388849,1.7224387045035168,-0.16073689385527115,0.4,20,"[np.float64(0.2899999999999999), np.float64(0.08999999999999996), np.float64(0.6200000000000001)]"
16,9900,14940,15600,0.38333333333333336,-0.156791024978695,-4.457372795679549,-0.1848033590004535,0.125,8,"[np.float64(0.59), np.float64(0.3599999999999999), np.float64(0.050000000000000155)]"
17,10560,15600,16260,0.4681818181818182,0.17247538810491442,2.433077383620842,-0.2601696436010578,0.4146341463414634,41,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
18,11220,16260,16920,0.42272727272727273,-0.11195352780717004,-1.960145148942792,-0.17775864654911588,0.29411764705882354,17,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]"
19,11880,16920,17580,0.38333333333333336,-0.12889215233056384,-1.5229012416994028,-0.16761279985337227,0.14285714285714285,7,"[np.float64(0.15000000000000002), np.float64(0.65), np.float64(0.19999999999999996)]"
20,12540,17580,18240,0.4106060606060606,-0.11219029823315432,-2.3743106572015913,-0.17943326873968607,0.29411764705882354,17,"[np.float64(0.0), np.float64(0.45), np.float64(0.55)]"
21,13200,18240,18900,0.45,0.3132134971620304,5.900053043876951,-0.08474131326802069,0.6428571428571429,14,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
22,13860,18900,19560,0.39545454545454545,0.041311192053321975,1.3380844887209424,-0.06182949588654321,0.4166666666666667,12,"[np.float64(0.0), np.float64(0.45), np.float64(0.55)]"
23,14520,19560,20220,0.3378787878787879,-0.11943737252608025,-5.402963049653056,-0.13972112332758824,0.0,4,"[np.float64(0.30000000000000004), np.float64(0.5), np.float64(0.19999999999999996)]"
24,15180,20220,20880,0.41363636363636364,0.1236726300950726,3.15094798735582,-0.10165951531440055,0.6,10,"[np.float64(0.009999999999999995), np.float64(0.019999999999999934), np.float64(0.9700000000000001)]"
25,15840,20880,21540,0.3212121212121212,-0.22322424499774052,-6.3787068033094245,-0.23543154683698103,0.2,15,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
