fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,1260,1425,0.48484848484848486,0.1454913849459501,6.6659380335696365,-0.08132603404672856,0.5555555555555556,9,"[np.float64(0.0), np.float64(0.8), np.float64(0.19999999999999996)]"
2,165,1425,1590,0.3333333333333333,-0.033527915650570866,-0.3776291969199057,-0.2213875236267329,0.3333333333333333,18,"[np.float64(0.0), np.float64(0.5), np.float64(0.5)]"
3,330,1590,1755,0.3696969696969697,-0.04305225953645859,-1.241738136188615,-0.10091058989142132,0.3333333333333333,12,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
4,495,1755,1920,0.37575757575757573,0.0,0.0,0.0,0.0,0,"[np.float64(0.8), np.float64(0.0), np.float64(0.19999999999999996)]"
5,660,1920,2085,0.509090909090909,0.031585082731716646,2.0164573903287493,-0.07903937997986263,0.5,8,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
6,825,2085,2250,0.37575757575757573,-0.01507091487518228,-0.6946436315314053,-0.09143594381857846,0.25,4,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
7,990,2250,2415,0.4,-0.0654802740843359,-3.5082616806041322,-0.1370650246764097,0.2857142857142857,7,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
8,1155,2415,2580,0.2,-0.061546176678912524,-10.211045267475178,-0.061546176678912524,0.0,3,"[np.float64(0.2), np.float64(0.5), np.float64(0.30000000000000004)]"
9,1320,2580,2745,0.30303030303030304,0.00999838680029443,1.2344623954716838,-0.06182949588654353,0.4,5,"[np.float64(0.62), np.float64(0.26999999999999996), np.float64(0.11000000000000004)]"
10,1485,2745,2910,0.2787878787878788,-0.11875761069870695,-10.18617049959644,-0.12394037732845445,0.16666666666666666,6,"[np.float64(0.8999999999999999), np.float64(0.07999999999999989), np.float64(0.020000000000000198)]"
11,1650,2910,3075,0.4484848484848485,0.00908499801847538,1.0794176774169142,-0.09765157597895978,0.3333333333333333,6,"[np.float64(0.15000000000000002), np.float64(0.8), np.float64(0.04999999999999993)]"
12,1815,3075,3240,0.3939393939393939,-0.08595012705128374,-2.8161812803115,-0.16742078097301416,0.2727272727272727,11,"[np.float64(0.30000000000000004), np.float64(0.30000000000000004), np.float64(0.3999999999999999)]"
13,1980,3240,3405,0.3939393939393939,-0.0010773128694356274,0.700614093568255,-0.12432566143251585,0.3333333333333333,9,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
14,2145,3405,3570,0.4727272727272727,0.14066652605271138,6.990619947133406,-0.16355775148547386,0.5,14,"[np.float64(0.2), np.float64(0.30000000000000004), np.float64(0.5)]"
15,2310,3570,3735,0.509090909090909,0.19333194023899997,9.196784952907505,-0.09213125229321512,0.5384615384615384,13,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
16,2475,3735,3900,0.4121212121212121,0.06119364747546624,3.197896907021515,-0.11838986028232627,0.47368421052631576,19,"[np.float64(0.15000000000000002), np.float64(0.0), np.float64(0.85)]"
17,2640,3900,4065,0.4484848484848485,0.07878782733986063,4.129183513661961,-0.09442551266625769,0.45454545454545453,11,"[np.float64(0.30000000000000004), np.float64(0.55), np.float64(0.1499999999999999)]"
18,2805,4065,4230,0.503030303030303,-0.022438330049846446,0.2905256002834536,-0.14755968734544514,0.35714285714285715,14,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
19,2970,4230,4395,0.36363636363636365,-0.2458483619354203,-11.832285157329938,-0.27890888926752927,0.15384615384615385,13,"[np.float64(0.1), np.float64(0.45), np.float64(0.45)]"
20,3135,4395,4560,0.48484848484848486,-0.02198444828786651,-0.7569019484542695,-0.13977504002313418,0.3333333333333333,6,"[np.float64(0.0), np.float64(0.9), np.float64(0.09999999999999998)]"
21,3300,4560,4725,0.3575757575757576,-0.06269870273410089,-2.6940340190631566,-0.15001401390166758,0.3,10,"[np.float64(0.25), np.float64(0.75), np.float64(0.0)]"
22,3465,4725,4890,0.5272727272727272,0.0,0.0,0.0,0.0,0,"[np.float64(0.9500000000000001), np.float64(0.0), np.float64(0.04999999999999993)]"
23,3630,4890,5055,0.2787878787878788,-0.06824470083305696,-2.4813189144660894,-0.13967684565551935,0.35714285714285715,14,"[np.float64(0.47000000000000003), np.float64(0.06999999999999994), np.float64(0.4600000000000001)]"
24,3795,5055,5220,0.28484848484848485,0.02115083400200092,4.260570765632761,-0.03140797849999999,0.5,2,"[np.float64(0.05), np.float64(0.65), np.float64(0.29999999999999993)]"
