fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,1260,1425,0.296969696969697,0.0,0.0,0.0,0.0,0,"[np.float64(0.8099999999999999), np.float64(0.17999999999999994), np.float64(0.01000000000000012)]"
2,165,1425,1590,0.4484848484848485,-0.2374401419450066,-10.068886373318348,-0.27668923156675224,0.15384615384615385,13,"[np.float64(0.05), np.float64(0.25), np.float64(0.7)]"
3,330,1590,1755,0.43636363636363634,-0.12165228245145408,-2.4475814223373873,-0.23136266988840906,0.3,20,"[np.float64(0.2899999999999999), np.float64(0.31), np.float64(0.4000000000000001)]"
4,495,1755,1920,0.3575757575757576,-0.10078100512765814,-5.48391215145204,-0.10574052611846943,0.16666666666666666,6,"[np.float64(0.0), np.float64(0.05), np.float64(0.95)]"
5,660,1920,2085,0.2727272727272727,0.0,0.0,0.0,0.0,0,"[np.float64(0.75), np.float64(0.2), np.float64(0.04999999999999999)]"
6,825,2085,2250,0.5333333333333333,0.10945503276826057,4.181693707793745,-0.12436428701703904,0.43478260869565216,23,"[np.float64(0.14999999999999997), np.float64(0.38999999999999996), np.float64(0.46000000000000013)]"
7,990,2250,2415,0.4484848484848485,-0.1023870639374205,-3.375463972478553,-0.15132859645556437,0.2857142857142857,14,"[np.float64(0.03999999999999987), np.float64(0.96), np.float64(2.220446049250313e-16)]"
8,1155,2415,2580,0.4666666666666667,-0.034136270906476786,-1.0650242061431032,-0.19684844097326223,0.4117647058823529,17,"[np.float64(0.0), np.float64(0.45), np.float64(0.55)]"
9,1320,2580,2745,0.23030303030303031,-0.1207446627650661,-7.874224464202753,-0.18866085780335784,0.25,12,"[np.float64(0.24999999999999997), np.float64(0.33), np.float64(0.4200000000000001)]"
10,1485,2745,2910,0.2787878787878788,-0.16600008916471343,-4.444331145555607,-0.24786313071155128,0.18181818181818182,11,"[np.float64(0.55), np.float64(0.4), np.float64(0.04999999999999993)]"
11,1650,2910,3075,0.503030303030303,-0.0841037732275483,-1.806125520071976,-0.18911758617995209,0.32,25,"[np.float64(0.35000000000000003), np.float64(0.45), np.float64(0.1999999999999999)]"
12,1815,3075,3240,0.2787878787878788,-0.2736795143057169,-6.059216331280862,-0.336717483135826,0.23076923076923078,26,"[np.float64(0.0), np.float64(0.1), np.float64(0.9)]"
13,1980,3240,3405,0.5272727272727272,0.23233464005982332,7.640334522578718,-0.10044227105806466,0.47619047619047616,21,"[np.float64(0.0), np.float64(0.8500000000000001), np.float64(0.1499999999999999)]"
14,2145,3405,3570,0.40606060606060607,-0.2704255803639094,-9.153633463066662,-0.28716791405780656,0.26666666666666666,30,"[np.float64(0.0), np.float64(0.7000000000000001), np.float64(0.29999999999999993)]"
15,2310,3570,3735,0.32727272727272727,0.0,0.0,0.0,0.0,0,"[np.float64(0.75), np.float64(0.1), np.float64(0.15)]"
16,2475,3735,3900,0.3878787878787879,-0.0918632752510257,-1.9511435247537001,-0.16026326614336833,0.2727272727272727,11,"[np.float64(0.2799999999999998), np.float64(0.63), np.float64(0.09000000000000019)]"
17,2640,3900,4065,0.3939393939393939,0.12089338300434264,4.1368954319241915,-0.2624443753547682,0.4166666666666667,24,"[np.float64(0.05), np.float64(0.15000000000000002), np.float64(0.7999999999999999)]"
18,2805,4065,4230,0.296969696969697,-0.15794175273541186,-4.605897639820105,-0.25680257504589976,0.2916666666666667,24,"[np.float64(0.0), np.float64(0.30000000000000004), np.float64(0.7)]"
19,2970,4230,4395,0.37575757575757573,0.0,0.0,0.0,0.0,0,"[np.float64(0.8), np.float64(0.0), np.float64(0.19999999999999996)]"
20,3135,4395,4560,0.43636363636363634,-0.13583733433891448,-8.77684902207951,-0.1910200114200942,0.2222222222222222,9,"[np.float64(0.0), np.float64(0.55), np.float64(0.44999999999999996)]"
21,3300,4560,4725,0.296969696969697,-0.05244930430179065,-1.978414542036073,-0.1498895298171953,0.2857142857142857,7,"[np.float64(0.05), np.float64(0.4), np.float64(0.5499999999999999)]"
22,3465,4725,4890,0.37575757575757573,-0.10078100512765832,-4.6332134770091,-0.14385623760240707,0.16666666666666666,6,"[np.float64(0.2799999999999999), np.float64(0.39999999999999997), np.float64(0.3200000000000001)]"
23,3630,4890,5055,0.4303030303030303,-0.0334066230645667,0.0797807996378363,-0.12200354387211969,0.35294117647058826,17,"[np.float64(0.15000000000000002), np.float64(0.0), np.float64(0.85)]"
24,3795,5055,5220,0.3515151515151515,-0.010921449437590672,-0.4796507225911119,-0.07915375934071887,0.3333333333333333,3,"[np.float64(0.0), np.float64(0.30000000000000004), np.float64(0.7)]"
