fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,2520,2850,0.42727272727272725,0.042507798751446356,1.7088205373854535,-0.12731919488341997,0.5,4,"[np.float64(0.86), np.float64(0.13999999999999982), np.float64(1.942890293094024e-16)]"
2,330,2850,3180,0.38181818181818183,0.007438135839834831,0.7203758895497425,-0.18643806192543977,0.38095238095238093,21,"[np.float64(0.37), np.float64(0.6000000000000001), np.float64(0.029999999999999916)]"
3,660,3180,3510,0.39090909090909093,0.17607303986150963,4.210683278761387,-0.11458414469731401,0.45454545454545453,11,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
4,990,3510,3840,0.3878787878787879,-0.10567352814522692,-3.2673838163782465,-0.18118539203371614,0.25,12,"[np.float64(0.10999999999999995), np.float64(0.45999999999999996), np.float64(0.43000000000000005)]"
5,1320,3840,4170,0.31212121212121213,-0.2010167490995872,-5.707328338006137,-0.25729108095775066,0.2,15,"[np.float64(0.61), np.float64(0.13999999999999993), np.float64(0.2500000000000001)]"
6,1650,4170,4500,0.47575757575757577,0.08620312864828247,2.97394069965805,-0.1775887928552433,0.4375,16,"[np.float64(0.22999999999999995), np.float64(0.0), np.float64(0.77)]"
7,1980,4500,4830,0.45454545454545453,-0.14087430348852994,-6.074031495166073,-0.16833037600089998,0.3333333333333333,12,"[np.float64(0.0), np.float64(0.9), np.float64(0.09999999999999998)]"
8,2310,4830,5160,0.36363636363636365,0.0,0.0,0.0,0.0,0,"[np.float64(0.96), np.float64(0.0), np.float64(0.040000000000000036)]"
9,2640,5160,5490,0.4,-0.13483995796209455,-5.818177171321789,-0.21232118961672816,0.2222222222222222,9,"[np.float64(0.4099999999999999), np.float64(0.5199999999999998), np.float64(0.07000000000000028)]"
10,2970,5490,5820,0.47575757575757577,0.23234870078486036,7.916419757471417,-0.11200926234810861,0.5384615384615384,13,"[np.float64(0.18999999999999995), np.float64(0.7899999999999999), np.float64(0.02000000000000013)]"
11,3300,5820,6150,0.4393939393939394,-0.20205431170722624,-5.081311618557371,-0.27321656003615935,0.2608695652173913,23,"[np.float64(0.31000000000000005), np.float64(0.37000000000000005), np.float64(0.32)]"
12,3630,6150,6480,0.2606060606060606,-0.1198361052115024,-6.338869464166142,-0.14601218631102517,0.0,4,"[np.float64(0.5599999999999999), np.float64(0.38), np.float64(0.06000000000000005)]"
13,3960,6480,6810,0.3939393939393939,-0.1479444158236669,-3.961646595615146,-0.21336812652318485,0.23076923076923078,13,"[np.float64(0.28999999999999976), np.float64(0.11999999999999982), np.float64(0.5900000000000004)]"
14,4290,6810,7140,0.35454545454545455,-0.052239347368374364,-1.915991185153427,-0.1379024174327065,0.2857142857142857,7,"[np.float64(0.7599999999999999), np.float64(0.23999999999999988), np.float64(2.220446049250313e-16)]"
15,4620,7140,7470,0.2909090909090909,-0.129448770685228,-5.2757768481970375,-0.1441779310602372,0.14285714285714285,7,"[np.float64(0.7199999999999998), np.float64(0.2799999999999997), np.float64(5.551115123125783e-16)]"
