fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,2520,2850,0.2909090909090909,-0.3049166270010476,-12.040530281865431,-0.360879851466263,0.19047619047619047,21,"[np.float64(0.03999999999999995), np.float64(0.88), np.float64(0.08000000000000007)]"
2,330,2850,3180,0.4666666666666667,-0.03298195460875704,-1.4773163147581072,-0.07341412065284926,0.3333333333333333,6,"[np.float64(0.0), np.float64(0.47), np.float64(0.53)]"
3,660,3180,3510,0.4636363636363636,0.1494493241068685,4.261120865817072,-0.13928335824572383,0.5,18,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]"
4,990,3510,3840,0.4636363636363636,0.028042082715106335,1.21796365113879,-0.1484484811641068,0.4,15,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
5,1320,3840,4170,0.5,0.14514388524185962,3.2566241803536706,-0.12803241760814654,0.47058823529411764,17,"[np.float64(0.24999999999999997), np.float64(0.019999999999999966), np.float64(0.7300000000000001)]"
6,1650,4170,4500,0.47575757575757577,0.09806999753902801,3.0631757096682,-0.09115833490456428,0.46153846153846156,13,"[np.float64(0.04999999999999995), np.float64(0.79), np.float64(0.16000000000000003)]"
7,1980,4500,4830,0.37272727272727274,0.0,0.0,0.0,0.0,0,"[np.float64(0.85), np.float64(0.14999999999999986), np.float64(1.6653345369377348e-16)]"
8,2310,4830,5160,0.45454545454545453,-0.08008081217504004,-1.2285217895861218,-0.1397427904663545,0.3548387096774194,31,"[np.float64(0.0), np.float64(0.15999999999999992), np.float64(0.8400000000000001)]"
9,2640,5160,5490,0.503030303030303,-0.19478296855893368,-2.221871201390706,-0.3402572873900367,0.3181818181818182,44,"[np.float64(0.0), np.float64(0.7599999999999999), np.float64(0.2400000000000001)]"
10,2970,5490,5820,0.3939393939393939,-0.10078100512765832,-5.472749760625517,-0.16360007771156804,0.16666666666666666,6,"[np.float64(0.96), np.float64(0.039999999999999925), np.float64(1.1102230246251565e-16)]"
11,3300,5820,6150,0.4,0.0,0.0,0.0,0.0,0,"[np.float64(0.9), np.float64(0.0), np.float64(0.09999999999999998)]"
12,3630,6150,6480,0.43333333333333335,-0.19994960358058214,-10.745537744386239,-0.20543520354182057,0.0,7,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
13,3960,6480,6810,0.36363636363636365,-0.19302820551012892,-6.844856182048766,-0.2478910251481385,0.25,20,"[np.float64(0.25), np.float64(0.0), np.float64(0.75)]"
14,4290,6810,7140,0.4121212121212121,-0.03140797849999999,-2.878465655254735,-0.04581294837111756,0.0,1,"[np.float64(0.6799999999999998), np.float64(0.31999999999999973), np.float64(4.440892098500626e-16)]"
15,4620,7140,7470,0.43333333333333335,-0.25091224110140964,-5.558498368275749,-0.27349613271577156,0.24,25,"[np.float64(0.0), np.float64(0.9), np.float64(0.09999999999999998)]"
16,4950,7470,7800,0.4666666666666667,0.0,0.0,0.0,0.0,0,"[np.float64(0.8099999999999999), np.float64(0.0799999999999999), np.float64(0.11000000000000015)]"
