fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,2520,2850,0.3515151515151515,0.0,0.0,0.0,0.0,0,"[np.float64(0.64), np.float64(0.00999999999999994), np.float64(0.35000000000000003)]"
2,330,2850,3180,0.38181818181818183,-0.10174974532327578,-2.64535474261032,-0.16012343166976906,0.2857142857142857,14,"[np.float64(0.25), np.float64(0.75), np.float64(0.0)]"
3,660,3180,3510,0.4212121212121212,0.10968133519667063,3.476504891714668,-0.1184985722023187,0.5,10,"[np.float64(0.9799999999999999), np.float64(0.0), np.float64(0.02000000000000013)]"
4,990,3510,3840,0.37575757575757573,-0.2808220604198264,-8.680316880561888,-0.31968574291612856,0.07692307692307693,13,"[np.float64(0.24999999999999994), np.float64(0.15999999999999998), np.float64(0.5900000000000001)]"
5,1320,3840,4170,0.3939393939393939,-0.02094176612058418,-0.723018349573785,-0.1348881844644074,0.42857142857142855,7,"[np.float64(0.0), np.float64(0.8), np.float64(0.19999999999999996)]"
6,1650,4170,4500,0.503030303030303,-0.0015296408619500652,0.2565048338766469,-0.10577529395710164,0.375,8,"[np.float64(0.18999999999999997), np.float64(0.2799999999999999), np.float64(0.5300000000000001)]"
7,1980,4500,4830,0.4121212121212121,-0.25831132274761487,-11.134193806895054,-0.2695573263350229,0.2222222222222222,18,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
8,2310,4830,5160,0.42424242424242425,0.09100790166469669,2.148182874091955,-0.29761017500645126,0.45454545454545453,11,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
9,2640,5160,5490,0.5545454545454546,0.05426310700000013,6.324027584045274,-0.015125492628177925,1.0,1,"[np.float64(0.8499999999999999), np.float64(0.1499999999999999), np.float64(2.220446049250313e-16)]"
10,2970,5490,5820,0.35454545454545455,0.03984022186004422,2.519304766342885,-0.04390640424279745,0.4,5,"[np.float64(0.86), np.float64(0.12999999999999987), np.float64(0.010000000000000148)]"
11,3300,5820,6150,0.40606060606060607,0.041672638181244476,1.705319513304738,-0.09814268504729054,0.4166666666666667,12,"[np.float64(0.16999999999999993), np.float64(0.6699999999999998), np.float64(0.16000000000000025)]"
12,3630,6150,6480,0.35454545454545455,0.043993765415160126,2.2313182901029736,-0.08200578664431904,0.5,6,"[np.float64(0.75), np.float64(0.25), np.float64(0.0)]"
13,3960,6480,6810,0.35454545454545455,0.0,0.0,0.0,0.0,0,"[np.float64(0.97), np.float64(0.029999999999999943), np.float64(8.326672684688674e-17)]"
14,4290,6810,7140,0.3090909090909091,-0.10779403981711021,-4.21832080394978,-0.1680874371405242,0.3,10,"[np.float64(0.9500000000000001), np.float64(0.0), np.float64(0.04999999999999993)]"
15,4620,7140,7470,0.48484848484848486,0.22748960071059263,5.4439995845538895,-0.1219738250590829,0.47619047619047616,21,"[np.float64(0.26), np.float64(0.13), np.float64(0.6100000000000001)]"
16,4950,7470,7800,0.4,-0.09293410930104747,-3.7095806985582014,-0.19198924817302657,0.2222222222222222,9,"[np.float64(0.15999999999999998), np.float64(0.5199999999999999), np.float64(0.3200000000000002)]"
17,5280,7800,8130,0.40606060606060607,0.1536894280513674,4.152616711259933,-0.1257911421341855,0.6,10,"[np.float64(0.86), np.float64(0.0), np.float64(0.14)]"
18,5610,8130,8460,0.4303030303030303,-0.09223355373784416,-2.2158406624687443,-0.2161693063713137,0.2727272727272727,11,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
19,5940,8460,8790,0.42424242424242425,-0.0010322595131936395,0.19539885720556932,-0.14960240079087037,0.375,8,"[np.float64(0.31), np.float64(0.07999999999999996), np.float64(0.61)]"
20,6270,8790,9120,0.39090909090909093,-0.10214767908183749,-3.2554104922617046,-0.1902664266567146,0.26666666666666666,15,"[np.float64(0.35000000000000003), np.float64(0.0), np.float64(0.6499999999999999)]"
21,6600,9120,9450,0.3424242424242424,-0.09277772718612869,-3.6501690522462256,-0.12465604258670746,0.2,10,"[np.float64(0.1599999999999999), np.float64(0.039999999999999855), np.float64(0.8000000000000003)]"
22,6930,9450,9780,0.40606060606060607,0.019043736773572528,1.0071448348475804,-0.1643425164412114,0.3888888888888889,18,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
23,7260,9780,10110,0.41515151515151516,-0.02154138675168215,-0.8409179136725057,-0.09966220411215398,0.3333333333333333,6,"[np.float64(0.20999999999999996), np.float64(0.0), np.float64(0.79)]"
24,7590,10110,10440,0.37272727272727274,-0.1471113059490199,-3.890644572966545,-0.2389131298805604,0.3333333333333333,21,"[np.float64(0.17999999999999997), np.float64(0.06999999999999994), np.float64(0.7500000000000001)]"
