fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,5040,5700,0.24393939393939393,-0.023725702960578018,-0.6782025650821933,-0.09614710154120133,0.35294117647058826,17,"[np.float64(0.8699999999999999), np.float64(0.01999999999999988), np.float64(0.11000000000000024)]"
2,660,5700,6360,0.23333333333333334,-0.05546683688867852,-2.8811213451299977,-0.07355851581760474,0.30303030303030304,33,"[np.float64(0.7599999999999999), np.float64(0.0), np.float64(0.2400000000000001)]"
3,1320,6360,7020,0.2545454545454545,0.01881341196139401,1.5244031276969638,-0.03279545613103222,0.5,20,"[np.float64(0.6799999999999997), np.float64(0.30999999999999994), np.float64(0.010000000000000342)]"
4,1980,7020,7680,0.6878787878787879,-0.009655737210229927,-2.1914898454361253,-0.012978359790308848,0.0,2,"[np.float64(0.9500000000000001), np.float64(0.0), np.float64(0.04999999999999993)]"
5,2640,7680,8340,0.44393939393939397,0.004460295030568341,0.3794779961739854,-0.030313378057035198,0.42857142857142855,21,"[np.float64(0.8500000000000001), np.float64(0.05), np.float64(0.09999999999999991)]"
6,3300,8340,9000,0.5378787878787878,0.026135638364551052,1.9483489104915135,-0.019046283717657625,0.5,10,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
7,3960,9000,9660,0.7272727272727273,0.03757859537491713,4.285114035720108,-0.011593579070023506,0.8571428571428571,7,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
8,4620,9660,10320,0.6045454545454545,0.05703122625190699,4.6202927327684105,-0.018761724912234587,0.5384615384615384,13,"[np.float64(0.73), np.float64(0.0), np.float64(0.27)]"
9,5280,10320,10980,0.8212121212121212,-0.011436228971086166,-2.917625334523522,-0.017164945039839508,0.25,4,"[np.float64(0.2999999999999999), np.float64(0.2199999999999999), np.float64(0.4800000000000003)]"
10,5940,10980,11640,0.6681818181818182,0.003354058313076166,0.31373305265976187,-0.02307697064967129,0.35714285714285715,14,"[np.float64(0.16999999999999985), np.float64(0.3399999999999999), np.float64(0.49000000000000027)]"
11,6600,11640,12300,0.42424242424242425,0.02249746995487294,1.1264117753489857,-0.03874689503007575,0.4444444444444444,18,"[np.float64(0.11999999999999988), np.float64(0.1499999999999999), np.float64(0.7300000000000002)]"
12,7260,12300,12960,0.4075757575757576,0.03054004231266135,2.099686194391525,-0.020637586840033202,0.5384615384615384,13,"[np.float64(0.0), np.float64(0.58), np.float64(0.42000000000000004)]"
13,7920,12960,13620,0.1696969696969697,0.052133670232590155,2.5418878465405865,-0.029826205731724027,0.46153846153846156,13,"[np.float64(0.55), np.float64(0.0), np.float64(0.44999999999999996)]"
14,8580,13620,14280,0.7439393939393939,0.0,0.0,0.0,0.0,0,"[np.float64(0.8500000000000001), np.float64(0.0), np.float64(0.1499999999999999)]"
15,9240,14280,14940,0.5196969696969697,0.015991417206611187,1.4534795169926753,-0.020478810020986886,0.2857142857142857,7,"[np.float64(0.00999999999999994), np.float64(0.75), np.float64(0.2400000000000001)]"
16,9900,14940,15600,0.6515151515151515,-0.014670045617585128,-2.7608984500707265,-0.019907922428247123,0.0,2,"[np.float64(0.8500000000000001), np.float64(0.0), np.float64(0.1499999999999999)]"
17,10560,15600,16260,0.3939393939393939,-0.021394820919254563,-0.7394679293171442,-0.06909347450005819,0.3,10,"[np.float64(0.0), np.float64(0.5199999999999999), np.float64(0.4800000000000001)]"
18,11220,16260,16920,0.2878787878787879,0.014550572165121413,0.5644352169410073,-0.08206711002576934,0.375,24,"[np.float64(0.61), np.float64(0.00999999999999994), np.float64(0.38000000000000006)]"
19,11880,16920,17580,0.2727272727272727,-0.050762017419370024,-1.3504855370253068,-0.07725289782422187,0.2727272727272727,22,"[np.float64(0.049999999999999906), np.float64(0.31999999999999995), np.float64(0.6300000000000001)]"
20,12540,17580,18240,0.26212121212121214,-0.0011559011254850702,-0.025921319672186742,-0.05054293318287681,0.35714285714285715,14,"[np.float64(0.7399999999999999), np.float64(0.0), np.float64(0.2600000000000001)]"
21,13200,18240,18900,0.3212121212121212,0.03439263505728559,2.2063540425593726,-0.03830691224208891,0.5263157894736842,19,"[np.float64(0.019999999999999934), np.float64(0.09999999999999995), np.float64(0.8800000000000001)]"
22,13860,18900,19560,0.27575757575757576,0.01771389710886833,0.9119971570115908,-0.04276306654896781,0.4375,16,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
23,14520,19560,20220,0.2015151515151515,-0.013615468925646565,-1.2562643982216612,-0.030231050223179904,0.4,15,"[np.float64(0.0), np.float64(0.8099999999999999), np.float64(0.19000000000000006)]"
24,15180,20220,20880,0.28484848484848485,-0.02481572123548722,-1.665128605857991,-0.03762994927320816,0.25,8,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
25,15840,20880,21540,0.25606060606060604,-0.028458481454375396,-2.3723568392134506,-0.03729986201206929,0.25,12,"[np.float64(0.8), np.float64(0.0), np.float64(0.19999999999999996)]"
