fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights,horizon_bars,threshold
1,0,10080,11400,0.8568181818181818,0.0,0.0,0.0,0.0,0,"[np.float64(0.6599999999999999), np.float64(0.2799999999999999), np.float64(0.060000000000000164)]",8,0.025
2,1320,11400,12720,0.8090909090909091,0.0,0.0,0.0,0.0,0,"[np.float64(0.1), np.float64(0.30000000000000004), np.float64(0.6)]",8,0.025
3,2640,12720,14040,0.8462121212121212,0.0,0.0,0.0,0.0,0,"[np.float64(0.009999999999999995), np.float64(0.07999999999999995), np.float64(0.91)]",8,0.025
4,3960,14040,15360,0.4,-0.017754235261755274,-1.746972843036249,-0.04163586604724769,0.2857142857142857,7,"[np.float64(0.15000000000000002), np.float64(0.1), np.float64(0.75)]",8,0.025
5,5280,15360,16680,0.6863636363636364,0.024522678110121522,2.0090099062062623,-0.028435304198160156,0.5,2,"[np.float64(0.0899999999999999), np.float64(0.0), np.float64(0.9100000000000001)]",8,0.025
6,6600,16680,18000,0.7515151515151515,0.0,0.0,0.0,0.0,0,"[np.float64(0.5599999999999999), np.float64(0.0), np.float64(0.44000000000000006)]",8,0.025
7,7920,18000,19320,0.7333333333333333,0.0,0.0,0.0,0.0,0,"[np.float64(0.15000000000000002), np.float64(0.45), np.float64(0.39999999999999997)]",8,0.025
8,9240,19320,20640,0.7310606060606061,0.0,0.0,0.0,0.0,0,"[np.float64(0.38999999999999996), np.float64(0.52), np.float64(0.09000000000000008)]",8,0.025
9,10560,20640,21960,0.5765151515151515,-0.02454099620724246,-3.007683356543479,-0.026043222424900363,0.0,3,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",8,0.025
10,11880,21960,23280,0.556060606060606,0.03617665933801982,2.0861021761411953,-0.022880985768522613,0.3333333333333333,3,"[np.float64(0.5499999999999999), np.float64(0.18999999999999984), np.float64(0.26000000000000023)]",8,0.025
11,13200,23280,24600,0.8128787878787879,0.0,0.0,0.0,0.0,0,"[np.float64(0.71), np.float64(0.0), np.float64(0.29000000000000004)]",8,0.025
