fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,5040,5700,0.33636363636363636,-0.03340322201811996,-0.8668335624359941,-0.07890436108002435,0.2727272727272727,11,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]"
2,660,5700,6360,0.29393939393939394,-0.03695098897196804,-2.147079949983974,-0.06443645394180585,0.21428571428571427,14,"[np.float64(0.8299999999999998), np.float64(0.10999999999999986), np.float64(0.06000000000000029)]"
3,1320,6360,7020,0.12727272727272726,-0.028161934686798666,-2.577100762358508,-0.04122406750104512,0.29411764705882354,17,"[np.float64(0.8), np.float64(0.0), np.float64(0.19999999999999996)]"
4,1980,7020,7680,0.2606060606060606,-0.10402679338507297,-5.663822399511579,-0.10573932088519855,0.06666666666666667,15,"[np.float64(0.049999999999999906), np.float64(0.95), np.float64(1.1102230246251565e-16)]"
5,2640,7680,8340,0.4318181818181818,0.0033077138203783762,0.27571361736248934,-0.02834137121587704,0.375,8,"[np.float64(0.48999999999999994), np.float64(0.44999999999999996), np.float64(0.06000000000000005)]"
6,3300,8340,9000,0.19545454545454546,-0.046191932821679986,-3.470251852196145,-0.046191932821679986,0.21052631578947367,19,"[np.float64(0.6), np.float64(0.22999999999999995), np.float64(0.17000000000000007)]"
7,3960,9000,9660,0.509090909090909,0.032666400854184756,2.3305232630428696,-0.01662498857553437,0.5454545454545454,11,"[np.float64(0.0), np.float64(0.98), np.float64(0.020000000000000018)]"
8,4620,9660,10320,0.38181818181818183,-0.013426878619008493,-1.3151524108063541,-0.03441483106321484,0.2857142857142857,14,"[np.float64(0.74), np.float64(0.0), np.float64(0.26)]"
9,5280,10320,10980,0.8090909090909091,0.01533909485502918,1.9845009287902644,-0.020007218122689,0.75,4,"[np.float64(0.82), np.float64(0.09999999999999995), np.float64(0.0800000000000001)]"
10,5940,10980,11640,0.4636363636363636,0.0857255037237881,4.669428622731909,-0.022363703773959912,0.6363636363636364,11,"[np.float64(0.17999999999999997), np.float64(0.07999999999999995), np.float64(0.7400000000000001)]"
11,6600,11640,12300,0.25757575757575757,-0.041052936181316724,-1.3076389262726122,-0.09351819732223303,0.3076923076923077,26,"[np.float64(0.7699999999999999), np.float64(0.01999999999999988), np.float64(0.21000000000000021)]"
12,7260,12300,12960,0.24393939393939393,0.007828895923644268,0.47786094244990857,-0.030306287074365872,0.375,16,"[np.float64(0.08999999999999993), np.float64(0.5099999999999999), np.float64(0.40000000000000013)]"
13,7920,12960,13620,0.296969696969697,-0.03326734224848315,-0.9886766405271734,-0.07902099282793602,0.3125,16,"[np.float64(0.28), np.float64(0.3999999999999999), np.float64(0.32000000000000006)]"
14,8580,13620,14280,0.3378787878787879,0.0025216038012109494,0.23878283181956436,-0.03130097818596562,0.4444444444444444,9,"[np.float64(0.0), np.float64(0.029999999999999957), np.float64(0.9700000000000001)]"
15,9240,14280,14940,0.4575757575757576,-0.06113414899051004,-3.930171906142517,-0.06212608774080762,0.2,15,"[np.float64(0.0), np.float64(0.05999999999999997), np.float64(0.9400000000000001)]"
16,9900,14940,15600,0.48333333333333334,-0.022260037429777002,-2.1070549054394334,-0.03407491329309338,0.2727272727272727,11,"[np.float64(0.48999999999999994), np.float64(0.0), np.float64(0.51)]"
17,10560,15600,16260,0.3560606060606061,0.06637805960034585,2.8983923585043727,-0.03247587767365834,0.5333333333333333,15,"[np.float64(0.0), np.float64(0.36), np.float64(0.64)]"
18,11220,16260,16920,0.37424242424242427,0.09279355248056453,4.51389147238636,-0.019232793537900833,0.625,16,"[np.float64(0.0), np.float64(0.61), np.float64(0.39)]"
19,11880,16920,17580,0.30606060606060603,0.02064055105104635,1.2677399728702001,-0.03873327957952147,0.4166666666666667,12,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
20,12540,17580,18240,0.3196969696969697,0.004159727681245386,0.2618308794792956,-0.049938515306784975,0.3333333333333333,15,"[np.float64(0.7399999999999999), np.float64(0.2599999999999999), np.float64(2.220446049250313e-16)]"
21,13200,18240,18900,0.26515151515151514,-0.06054271499699226,-4.766126064180966,-0.06697325099991902,0.21052631578947367,19,"[np.float64(0.05), np.float64(0.0), np.float64(0.95)]"
22,13860,18900,19560,0.32575757575757575,0.03042116068303021,2.179014369793471,-0.02805057035487383,0.4666666666666667,15,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
23,14520,19560,20220,0.2106060606060606,-0.05074416829258662,-2.3645102619998215,-0.07741477688572074,0.3333333333333333,12,"[np.float64(0.62), np.float64(0.3799999999999999), np.float64(1.1102230246251565e-16)]"
24,15180,20220,20880,0.21212121212121213,-0.03173282952537265,-1.8746106190725167,-0.051266206490957304,0.2857142857142857,14,"[np.float64(0.0), np.float64(0.8500000000000001), np.float64(0.1499999999999999)]"
25,15840,20880,21540,0.3106060606060606,-0.035083269469547304,-3.9890496062321064,-0.043228402757140565,0.23076923076923078,13,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
