fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,2520,2850,0.7757575757575758,0.006648943070883434,0.9006627555585467,-0.023484378637245028,0.5,8,"[np.float64(0.95), np.float64(0.019999999999999934), np.float64(0.03000000000000011)]"
2,330,2850,3180,0.5515151515151515,-0.006470741523767356,-0.5542680398391363,-0.030170233633671825,0.3333333333333333,9,"[np.float64(0.94), np.float64(0.05999999999999986), np.float64(1.942890293094024e-16)]"
3,660,3180,3510,0.8848484848484849,-0.021213852282024347,-2.723097068213873,-0.021213852282024347,0.0,3,"[np.float64(0.5), np.float64(0.2), np.float64(0.3)]"
4,990,3510,3840,0.7878787878787878,0.0005874503790972085,0.43106158215030954,-0.0021141612015402596,1.0,1,"[np.float64(0.45), np.float64(0.1), np.float64(0.45000000000000007)]"
5,1320,3840,4170,0.9272727272727272,-0.003938206558193088,-3.6523513804736125,-0.003938206558193088,0.0,1,"[np.float64(0.0), np.float64(0.4), np.float64(0.6)]"
6,1650,4170,4500,0.6636363636363637,-0.015713941549142692,-0.753571724227409,-0.04340763589244525,0.3333333333333333,3,"[np.float64(0.45), np.float64(0.1), np.float64(0.45000000000000007)]"
7,1980,4500,4830,0.7545454545454545,0.014665966185927573,1.566234629367133,-0.017572324455785052,0.6,5,"[np.float64(0.58), np.float64(0.0), np.float64(0.42000000000000004)]"
8,2310,4830,5160,0.8575757575757575,-0.02267009022086204,-3.1852866051491473,-0.023279191927004287,0.0,3,"[np.float64(0.35000000000000003), np.float64(0.25), np.float64(0.3999999999999999)]"
9,2640,5160,5490,0.8393939393939394,-0.012482853386654278,-1.486637759104409,-0.028601865364379593,0.25,4,"[np.float64(0.5), np.float64(0.0), np.float64(0.5)]"
10,2970,5490,5820,0.8636363636363636,0.004517591108278976,0.5216487406491724,-0.01776848764321378,0.5,2,"[np.float64(0.30000000000000004), np.float64(0.0), np.float64(0.7)]"
11,3300,5820,6150,0.5515151515151515,0.025804958267321307,1.031988757174799,-0.05479958421790713,0.5,6,"[np.float64(0.30000000000000004), np.float64(0.0), np.float64(0.7)]"
12,3630,6150,6480,0.793939393939394,-0.008881359138612424,-1.8644945914291964,-0.012918250925385283,0.0,1,"[np.float64(0.65), np.float64(0.0), np.float64(0.35)]"
13,3960,6480,6810,0.693939393939394,-0.009490502629532967,-4.776795392736462,-0.009490502629532967,0.0,1,"[np.float64(0.45), np.float64(0.4), np.float64(0.15000000000000002)]"
14,4290,6810,7140,0.9,0.0021087981026274064,0.6390158148563528,-0.006344176886231486,0.5,2,"[np.float64(0.75), np.float64(0.15000000000000002), np.float64(0.09999999999999998)]"
15,4620,7140,7470,0.6484848484848484,0.0031819362485864984,0.21217028171997399,-0.0572292508000631,0.42857142857142855,7,"[np.float64(0.30000000000000004), np.float64(0.0), np.float64(0.7)]"
16,4950,7470,7800,0.7363636363636363,-0.016787536129726142,-1.5615917471974787,-0.03539479315016842,0.0,1,"[np.float64(0.8), np.float64(0.0), np.float64(0.19999999999999996)]"
17,5280,7800,8130,0.7515151515151515,0.040015679136517796,4.392474612895036,-0.004125362355233631,1.0,1,"[np.float64(0.62), np.float64(0.0), np.float64(0.38)]"
18,5610,8130,8460,0.7424242424242424,0.014955547175267201,2.345470016167466,-0.013268662949390974,1.0,1,"[np.float64(0.5), np.float64(0.15000000000000002), np.float64(0.35)]"
19,5940,8460,8790,0.8424242424242424,0.018879616978764353,2.4801533523629784,-0.018335551768046923,0.5,4,"[np.float64(0.5800000000000001), np.float64(0.029999999999999957), np.float64(0.38999999999999996)]"
20,6270,8790,9120,0.7666666666666667,0.010429229838359788,1.5347561656943265,-0.011758682705633306,0.5,4,"[np.float64(0.30000000000000004), np.float64(0.5), np.float64(0.19999999999999996)]"
21,6600,9120,9450,0.8484848484848485,0.0022813806735424804,0.6941423428825301,-0.006993022811045932,0.5,2,"[np.float64(0.45), np.float64(0.30000000000000004), np.float64(0.25)]"
22,6930,9450,9780,0.6212121212121212,-0.031350807885775975,-2.2042429721934926,-0.035535186680394376,0.16666666666666666,6,"[np.float64(0.5), np.float64(0.0), np.float64(0.5)]"
23,7260,9780,10110,0.6818181818181818,-0.012008277719023318,-1.4735285665281972,-0.025757572941899856,0.0,1,"[np.float64(0.44999999999999996), np.float64(0.11999999999999994), np.float64(0.4300000000000001)]"
