fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,1260,1425,0.9212121212121213,0.0,0.0,0.0,0.0,0,"[np.float64(0.2), np.float64(0.6000000000000001), np.float64(0.19999999999999996)]"
2,165,1425,1590,0.9030303030303031,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
3,330,1590,1755,0.9818181818181818,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
4,495,1755,1920,0.9757575757575757,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
5,660,1920,2085,0.9575757575757575,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
6,825,2085,2250,0.9575757575757575,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
7,990,2250,2415,0.9151515151515152,-2.89499245600382e-05,-0.19399195351795281,-0.00028519818367091514,0.0,1,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
8,1155,2415,2580,0.9272727272727272,0.007235454654737259,2.5907910355621384,0.0,1.0,1,"[np.float64(0.15000000000000002), np.float64(0.55), np.float64(0.29999999999999993)]"
9,1320,2580,2745,0.9393939393939394,-0.008235877096055083,-2.900586272744656,-0.009782019327743825,0.0,1,"[np.float64(0.15000000000000002), np.float64(0.0), np.float64(0.85)]"
10,1485,2745,2910,0.9454545454545454,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
11,1650,2910,3075,0.9151515151515152,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
12,1815,3075,3240,0.9757575757575757,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
13,1980,3240,3405,0.9212121212121213,-0.015347412431068732,-3.608943658365526,-0.017532655165927096,0.0,2,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
14,2145,3405,3570,0.9757575757575757,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.45), np.float64(0.55)]"
15,2310,3570,3735,0.9272727272727272,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
16,2475,3735,3900,0.9575757575757575,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
17,2640,3900,4065,0.9515151515151515,-0.005600129361934159,-2.275741225847947,-0.006308919008338853,0.0,1,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
18,2805,4065,4230,1.0,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
19,2970,4230,4395,0.9818181818181818,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
20,3135,4395,4560,0.9454545454545454,-0.0075927278199593275,-2.976175453891558,-0.008241334786152358,0.0,1,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
21,3300,4560,4725,0.9212121212121213,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
