fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,5040,5700,0.2924242424242424,-0.11771982428076953,-5.0867672243487085,-0.13586566124888785,0.15789473684210525,19,"[np.float64(0.00999999999999994), np.float64(0.019999999999999934), np.float64(0.9700000000000002)]"
2,660,5700,6360,0.22272727272727272,-0.04074047985569923,-2.1223041916865433,-0.059912136321670514,0.3333333333333333,15,"[np.float64(0.8699999999999999), np.float64(0.0999999999999999), np.float64(0.03000000000000022)]"
3,1320,6360,7020,0.2878787878787879,-0.03317577536775716,-2.945212447971702,-0.0439598514513899,0.16666666666666666,12,"[np.float64(0.00999999999999994), np.float64(0.99), np.float64(1.1102230246251565e-16)]"
4,1980,7020,7680,0.34393939393939393,-0.04672761081853423,-1.1558051625049972,-0.10980216903421461,0.2857142857142857,14,"[np.float64(0.0), np.float64(0.9), np.float64(0.09999999999999998)]"
5,2640,7680,8340,0.4803030303030303,-0.014971321067136887,-1.1452056921858058,-0.03962313871440915,0.4,10,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
6,3300,8340,9000,0.1696969696969697,-0.025324497350732052,-0.7982214610516416,-0.04049643875837933,0.3157894736842105,19,"[np.float64(0.2), np.float64(0.7000000000000001), np.float64(0.09999999999999998)]"
7,3960,9000,9660,0.26212121212121214,-0.000561770150630764,0.0001772503985880256,-0.022052978165017535,0.3888888888888889,18,"[np.float64(0.0), np.float64(0.97), np.float64(0.030000000000000027)]"
8,4620,9660,10320,0.6196969696969697,0.009053615083847763,0.8621697686797644,-0.029576616525720526,0.4,10,"[np.float64(0.7599999999999999), np.float64(0.16999999999999993), np.float64(0.07000000000000017)]"
9,5280,10320,10980,0.6742424242424242,-0.010480581291500675,-2.357683778850227,-0.014271640097270534,0.25,4,"[np.float64(0.00999999999999994), np.float64(0.63), np.float64(0.3600000000000001)]"
10,5940,10980,11640,0.7136363636363636,-0.02595613833978259,-2.5198789453177444,-0.03713177322148911,0.2222222222222222,9,"[np.float64(0.35000000000000003), np.float64(0.35000000000000003), np.float64(0.2999999999999999)]"
11,6600,11640,12300,0.4348484848484849,0.0023467091904318294,0.2750966270393802,-0.018244481688390192,0.375,8,"[np.float64(0.07999999999999986), np.float64(0.9099999999999999), np.float64(0.010000000000000231)]"
12,7260,12300,12960,0.34393939393939393,0.012236384857243139,1.3960173917567327,-0.02153398839469137,0.36363636363636365,11,"[np.float64(0.7699999999999999), np.float64(0.1399999999999999), np.float64(0.09000000000000019)]"
13,7920,12960,13620,0.30757575757575756,-0.08655629107858985,-3.406808090021297,-0.14860544551031418,0.22727272727272727,22,"[np.float64(0.20999999999999996), np.float64(0.029999999999999943), np.float64(0.7600000000000001)]"
14,8580,13620,14280,0.41363636363636364,-0.025335480965336863,-1.73173736150359,-0.04233774580942645,0.3076923076923077,13,"[np.float64(0.4399999999999999), np.float64(0.0), np.float64(0.56)]"
15,9240,14280,14940,0.4409090909090909,0.01049052411201228,0.9200962822647011,-0.028592762813012578,0.36363636363636365,11,"[np.float64(0.15000000000000002), np.float64(0.4), np.float64(0.44999999999999996)]"
16,9900,14940,15600,0.5772727272727273,-0.0625276485365468,-6.767170602247905,-0.06395819277594164,0.0,9,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
17,10560,15600,16260,0.25,-0.08233132564285006,-4.217476426859426,-0.08897097019172212,0.17647058823529413,17,"[np.float64(0.0), np.float64(0.41), np.float64(0.5900000000000001)]"
18,11220,16260,16920,0.22575757575757577,-0.06177577281017711,-2.6584818649848643,-0.09627594593378616,0.2608695652173913,23,"[np.float64(0.97), np.float64(0.0), np.float64(0.030000000000000027)]"
19,11880,16920,17580,0.2863636363636364,0.017877294105525653,0.9027188888194361,-0.040663858880615106,0.4,10,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
20,12540,17580,18240,0.37272727272727274,-0.02119221612137735,-0.9766217060014736,-0.040187191778531195,0.2857142857142857,14,"[np.float64(0.0), np.float64(0.9), np.float64(0.09999999999999998)]"
21,13200,18240,18900,0.20454545454545456,0.017568718120167977,1.202036984247888,-0.044559357789285034,0.4375,16,"[np.float64(0.0), np.float64(0.029999999999999943), np.float64(0.9700000000000001)]"
22,13860,18900,19560,0.2909090909090909,0.005580962205742253,0.3370010852475828,-0.03692071676885828,0.36363636363636365,22,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
23,14520,19560,20220,0.2515151515151515,0.010828471675258697,0.8665233598518068,-0.029136810019962975,0.4375,16,"[np.float64(0.05), np.float64(0.8500000000000001), np.float64(0.09999999999999987)]"
24,15180,20220,20880,0.2318181818181818,0.02506135374800415,1.5490466157363743,-0.017866667296900084,0.42857142857142855,14,"[np.float64(0.019999999999999962), np.float64(0.8), np.float64(0.17999999999999994)]"
25,15840,20880,21540,0.2287878787878788,0.002066533029108359,0.17815152771505086,-0.03936918439868501,0.38461538461538464,13,"[np.float64(0.8099999999999999), np.float64(0.0999999999999999), np.float64(0.09000000000000016)]"
