fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights,horizon_bars,threshold
1,0,10080,11400,0.29393939393939394,0.0,0.0,0.0,0.0,0,"[np.float64(0.73), np.float64(0.019999999999999934), np.float64(0.2500000000000001)]",12,0.012
2,1320,11400,12720,0.27575757575757576,-0.007224511174512372,-2.6177244944288867,-0.010454047169083932,0.0,1,"[np.float64(0.61), np.float64(0.21999999999999995), np.float64(0.17000000000000007)]",12,0.012
3,2640,12720,14040,0.2446969696969697,-0.013380400801211,-1.1710634388425254,-0.04098142783349335,0.25,4,"[np.float64(0.7899999999999999), np.float64(0.19999999999999996), np.float64(0.01000000000000012)]",12,0.012
4,3960,14040,15360,0.32954545454545453,-0.031472277123825367,-3.6812277529333186,-0.04120605360584621,0.27586206896551724,29,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]",12,0.012
5,5280,15360,16680,0.3106060606060606,-0.07560179904785091,-4.853590659125974,-0.11607104559920292,0.25,56,"[np.float64(0.15999999999999998), np.float64(0.79), np.float64(0.050000000000000044)]",12,0.012
6,6600,16680,18000,0.2431818181818182,-0.043483166045498,-2.7630694842067047,-0.0674869056348102,0.3076923076923077,52,"[np.float64(0.6299999999999999), np.float64(0.26999999999999996), np.float64(0.10000000000000014)]",12,0.012
7,7920,18000,19320,0.531060606060606,0.0,0.0,0.0,0.0,0,"[np.float64(0.019999999999999934), np.float64(0.98), np.float64(1.1102230246251565e-16)]",12,0.012
8,9240,19320,20640,0.22424242424242424,0.011360565818144642,1.655794352577413,-0.014622861609091186,0.36363636363636365,11,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]",12,0.012
9,10560,20640,21960,0.7636363636363637,0.0,0.0,0.0,0.0,0,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]",12,0.012
10,11880,21960,23280,0.46136363636363636,0.02832282891329105,2.0868600749385378,-0.029088602192652014,0.45454545454545453,22,"[np.float64(0.38999999999999996), np.float64(0.5499999999999999), np.float64(0.060000000000000164)]",12,0.012
11,13200,23280,24600,0.3643939393939394,-0.11640144150535126,-3.319487994456756,-0.15510939016485406,0.297029702970297,101,"[np.float64(0.86), np.float64(0.1399999999999999), np.float64(1.1102230246251565e-16)]",12,0.012
12,14520,24600,25920,0.2537878787878788,-0.0230105747040152,-1.0910599451650016,-0.06591287334195761,0.3559322033898305,59,"[np.float64(0.20999999999999988), np.float64(0.26), np.float64(0.5300000000000001)]",12,0.012
13,15840,25920,27240,0.27121212121212124,0.020754446248303974,1.025143876333717,-0.029863084097974012,0.42,50,"[np.float64(0.22999999999999995), np.float64(0.4899999999999999), np.float64(0.28000000000000014)]",12,0.012
14,17160,27240,28560,0.2871212121212121,0.0,0.0,0.0,0.0,0,"[np.float64(0.7), np.float64(0.1299999999999999), np.float64(0.17000000000000015)]",12,0.012
15,18480,28560,29880,0.36363636363636365,-0.0064790218255116995,-0.41792614553731944,-0.053619521566975525,0.23809523809523808,21,"[np.float64(0.0), np.float64(0.4), np.float64(0.6)]",12,0.012
16,19800,29880,31200,0.2856060606060606,-0.0014172889823630612,-0.42599675394721204,-0.006014845084972694,0.5,2,"[np.float64(0.019999999999999934), np.float64(0.0), np.float64(0.9800000000000001)]",12,0.012
17,21120,31200,32520,0.38484848484848483,0.0015311045319256664,0.1763909451194349,-0.08069207459602912,0.38392857142857145,112,"[np.float64(0.00999999999999994), np.float64(0.21999999999999992), np.float64(0.7700000000000002)]",12,0.012
18,22440,32520,33840,0.2674242424242424,-0.08804975535890353,-3.4277582868980927,-0.11709937662767952,0.22580645161290322,31,"[np.float64(0.93), np.float64(0.029999999999999943), np.float64(0.04000000000000001)]",12,0.012
19,23760,33840,35160,0.3007575757575758,0.012250418921283562,0.6986137669074278,-0.03750670449282322,0.3684210526315789,19,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]",12,0.012
20,25080,35160,36480,0.31363636363636366,0.0,0.0,0.0,0.0,0,"[np.float64(0.9500000000000001), np.float64(0.0), np.float64(0.04999999999999993)]",12,0.012
21,26400,36480,37800,0.2803030303030303,0.0,0.0,0.0,0.0,0,"[np.float64(0.55), np.float64(0.2), np.float64(0.24999999999999994)]",12,0.012
22,27720,37800,39120,0.22424242424242424,-0.11939804817851672,-5.025022083230393,-0.1588689567777975,0.29411764705882354,119,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]",12,0.012
23,29040,39120,40440,0.29545454545454547,-0.03805637791483605,-1.3896028060083048,-0.1048165378203967,0.3333333333333333,6,"[np.float64(0.05), np.float64(0.0), np.float64(0.95)]",12,0.012
24,30360,40440,41760,0.23863636363636365,-0.056148520194682895,-2.5804826803685774,-0.08744555645653027,0.3157894736842105,57,"[np.float64(0.15999999999999992), np.float64(0.28), np.float64(0.5600000000000002)]",12,0.012
