fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,5040,5700,0.28484848484848485,-0.0498796141357192,-2.4631793741892776,-0.06946662838379793,0.25,20,"[np.float64(0.86), np.float64(0.06999999999999997), np.float64(0.07000000000000005)]"
2,660,5700,6360,0.2606060606060606,-0.06577870325456825,-3.271116182337279,-0.09029423667122514,0.25806451612903225,31,"[np.float64(0.75), np.float64(0.0), np.float64(0.25)]"
3,1320,6360,7020,0.15151515151515152,-0.02519297478018416,-3.299678452512127,-0.02961152253673335,0.29411764705882354,17,"[np.float64(0.30000000000000004), np.float64(0.5), np.float64(0.19999999999999996)]"
4,1980,7020,7680,0.3621212121212121,-0.029843787714344944,-2.3422820112238085,-0.04173724752208127,0.29411764705882354,17,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
5,2640,7680,8340,0.42272727272727273,-0.03210204983681106,-2.309312457308298,-0.05639793566653825,0.2777777777777778,18,"[np.float64(0.0), np.float64(0.9099999999999999), np.float64(0.09000000000000008)]"
6,3300,8340,9000,0.22727272727272727,-0.008726819556349802,-0.6819190009795869,-0.04724498689740834,0.3125,16,"[np.float64(0.0), np.float64(0.82), np.float64(0.18000000000000005)]"
7,3960,9000,9660,0.34545454545454546,0.04451704198343505,4.527621491749281,-0.011934679339979205,0.8181818181818182,11,"[np.float64(0.0), np.float64(0.9199999999999999), np.float64(0.08000000000000007)]"
8,4620,9660,10320,0.4712121212121212,0.010558774056793117,1.1219429820432085,-0.02854251221536765,0.45454545454545453,11,"[np.float64(0.22999999999999984), np.float64(0.2999999999999999), np.float64(0.47000000000000025)]"
9,5280,10320,10980,0.7954545454545454,-0.024549103382840984,-5.97780055486294,-0.025187438106422395,0.0,8,"[np.float64(0.22999999999999995), np.float64(0.33999999999999997), np.float64(0.43000000000000005)]"
10,5940,10980,11640,0.646969696969697,-0.032846949875593785,-2.6265438637633616,-0.04488672553763901,0.2,10,"[np.float64(0.55), np.float64(0.1), np.float64(0.35)]"
11,6600,11640,12300,0.5515151515151515,0.03793505943293894,4.495752447328859,-0.008499521454167696,0.8,5,"[np.float64(0.9099999999999996), np.float64(0.08999999999999969), np.float64(7.216449660063518e-16)]"
12,7260,12300,12960,0.2318181818181818,0.04239372168923983,3.0849850183052214,-0.024556803578051574,0.5,16,"[np.float64(0.039999999999999925), np.float64(0.42), np.float64(0.54)]"
13,7920,12960,13620,0.2696969696969697,0.015932397376875268,0.9655013669220246,-0.04140623340833372,0.46153846153846156,13,"[np.float64(0.6499999999999999), np.float64(0.3499999999999998), np.float64(2.7755575615628914e-16)]"
14,8580,13620,14280,0.37272727272727274,-0.0639242972487249,-5.7459924732373295,-0.07166108594330471,0.1875,16,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
15,9240,14280,14940,0.4303030303030303,-0.03357378746612449,-4.979222334786636,-0.03541337942438039,0.0,7,"[np.float64(0.1799999999999999), np.float64(0.8), np.float64(0.020000000000000018)]"
16,9900,14940,15600,0.7121212121212122,-0.012542778650554828,-2.082832036611587,-0.019156748756013014,0.25,4,"[np.float64(0.0), np.float64(0.17999999999999985), np.float64(0.8200000000000002)]"
17,10560,15600,16260,0.5409090909090909,0.06841744026373854,3.528755527582276,-0.04201281179443055,0.6153846153846154,13,"[np.float64(0.96), np.float64(0.0), np.float64(0.040000000000000036)]"
18,11220,16260,16920,0.22727272727272727,0.03841975870233509,1.354819133375771,-0.05194158298378908,0.4,20,"[np.float64(0.4099999999999999), np.float64(0.32999999999999996), np.float64(0.2600000000000001)]"
19,11880,16920,17580,0.38181818181818183,-0.0021149379447073444,0.040096439020472135,-0.07731583986036368,0.3125,16,"[np.float64(0.05999999999999994), np.float64(0.05999999999999997), np.float64(0.8800000000000001)]"
20,12540,17580,18240,0.37575757575757573,-0.0551275717164388,-3.748225231329596,-0.05751220572283123,0.14285714285714285,14,"[np.float64(0.039999999999999925), np.float64(0.96), np.float64(1.1102230246251565e-16)]"
21,13200,18240,18900,0.4409090909090909,0.023838665977859635,2.081367741979968,-0.018185751658628527,0.46153846153846156,13,"[np.float64(0.0), np.float64(0.00999999999999994), np.float64(0.9900000000000001)]"
22,13860,18900,19560,0.3212121212121212,0.0052470671216808115,0.4791843822235791,-0.04220205351387019,0.4375,16,"[np.float64(0.5599999999999999), np.float64(0.4099999999999999), np.float64(0.030000000000000138)]"
23,14520,19560,20220,0.26515151515151514,0.015891603938953086,0.7460617900866523,-0.0485613799086481,0.5,10,"[np.float64(0.31000000000000005), np.float64(0.21999999999999997), np.float64(0.47000000000000003)]"
24,15180,20220,20880,0.24848484848484848,-0.05698403745916912,-3.1846368773282703,-0.0590096193509892,0.16666666666666666,12,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
25,15840,20880,21540,0.4212121212121212,-0.014330536874243262,-0.6840511922610134,-0.04819189754461432,0.2857142857142857,14,"[np.float64(0.8699999999999998), np.float64(0.11999999999999975), np.float64(0.01000000000000048)]"
