fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,1260,1425,0.9212121212121213,0.0,0.0,0.0,0.0,0,"[np.float64(0.15000000000000002), np.float64(0.4), np.float64(0.44999999999999996)]"
2,165,1425,1590,0.9030303030303031,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
3,330,1590,1755,0.9575757575757575,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
4,495,1755,1920,0.9575757575757575,0.0070711874253811405,2.3987717195257146,-0.003130452721256887,1.0,1,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
5,660,1920,2085,0.9878787878787879,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
6,825,2085,2250,0.9575757575757575,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
7,990,2250,2415,0.9151515151515152,0.007652261965650905,2.39143350089535,-0.003234050220945755,1.0,1,"[np.float64(0.0), np.float64(0.2), np.float64(0.8)]"
8,1155,2415,2580,0.793939393939394,0.014354731466099292,3.6849100847211225,-0.0029367743162829443,1.0,1,"[np.float64(0.0), np.float64(0.8500000000000001), np.float64(0.1499999999999999)]"
9,1320,2580,2745,0.7636363636363637,0.007845376836186005,0.8441443951270666,-0.01998254701581952,0.5,2,"[np.float64(0.0), np.float64(0.05), np.float64(0.95)]"
10,1485,2745,2910,0.9333333333333333,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
11,1650,2910,3075,0.8909090909090909,-0.007359219997193577,-3.6652126106325738,-0.007359219997193577,0.0,1,"[np.float64(0.0), np.float64(0.4), np.float64(0.6)]"
12,1815,3075,3240,0.9636363636363636,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
13,1980,3240,3405,0.8181818181818182,-0.008716886322530263,-2.786549388068471,-0.010533268942792528,0.0,1,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
14,2145,3405,3570,0.8848484848484849,0.015345795525756876,4.2164683788786235,-0.0023438036307374594,1.0,1,"[np.float64(0.25), np.float64(0.0), np.float64(0.75)]"
15,2310,3570,3735,0.8848484848484849,0.01725701153025075,3.098441177348311,-0.001384592724262807,1.0,1,"[np.float64(0.0), np.float64(0.4), np.float64(0.6)]"
16,2475,3735,3900,0.8848484848484849,0.0226739092913951,2.9464636179698274,-0.016603951629541664,1.0,1,"[np.float64(0.05), np.float64(0.75), np.float64(0.19999999999999996)]"
17,2640,3900,4065,0.8484848484848485,-0.010047556448083741,-3.519344273506411,-0.010412772952695014,0.0,1,"[np.float64(0.1), np.float64(0.55), np.float64(0.35)]"
18,2805,4065,4230,0.8545454545454545,-0.0029504728110947326,-1.7474223453024667,-0.004213863558452477,0.0,1,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
19,2970,4230,4395,0.8848484848484849,-0.007941840619348477,-1.8800305721238373,-0.011660813752914697,0.0,1,"[np.float64(0.0), np.float64(0.1), np.float64(0.9)]"
20,3135,4395,4560,0.896969696969697,0.0036782106047256093,0.5400428278027815,-0.014068456244984009,0.5,4,"[np.float64(0.30000000000000004), np.float64(0.2), np.float64(0.49999999999999994)]"
21,3300,4560,4725,0.8121212121212121,0.018854363619100697,2.653607893627694,-0.007831734879384454,1.0,1,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
