fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,420,475,0.8909090909090909,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
2,55,475,530,0.9272727272727272,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
3,110,530,585,0.9454545454545454,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
4,165,585,640,0.7818181818181819,-0.04826002822877599,-2.4731123509156556,-0.07374521558141747,0.0,2,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
5,220,640,695,0.8,-0.03315388045537675,-3.431392834684182,-0.04578743355194734,0.0,1,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
6,275,695,750,0.8909090909090909,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
7,330,750,805,0.8909090909090909,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
8,385,805,860,0.8909090909090909,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
9,440,860,915,0.9272727272727272,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
10,495,915,970,0.8727272727272727,0.06222579501188084,2.6985234660443083,-0.009977390113879075,1.0,1,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
11,550,970,1025,0.7090909090909091,-0.055851429063829346,-4.835835096651322,-0.06220574870334898,0.0,2,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
12,605,1025,1080,0.8727272727272727,-0.024601901976061526,-2.614802613222303,-0.028960809803959275,0.0,1,"[np.float64(0.0), np.float64(0.6000000000000001), np.float64(0.3999999999999999)]"
