fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,2520,2850,0.403030303030303,0.011188454086502134,0.5130824561788283,-0.07116241504312533,0.4,10,"[np.float64(0.1), np.float64(0.8500000000000001), np.float64(0.04999999999999993)]"
2,330,2850,3180,0.3575757575757576,-0.13361106003647982,-2.6595018653536777,-0.15860559370460497,0.125,8,"[np.float64(0.0), np.float64(0.07999999999999996), np.float64(0.92)]"
3,660,3180,3510,0.5969696969696969,-0.03646513316893215,-1.285763507122583,-0.07319873101342117,0.25,4,"[np.float64(0.8699999999999999), np.float64(0.11999999999999988), np.float64(0.010000000000000231)]"
4,990,3510,3840,0.36363636363636365,-0.16311711657439046,-5.491079661970976,-0.18731896884218255,0.0,10,"[np.float64(0.0), np.float64(0.32), np.float64(0.6799999999999999)]"
5,1320,3840,4170,0.31212121212121213,0.06008134381549644,2.3366594558909926,-0.047162321908220575,0.5,10,"[np.float64(0.6), np.float64(0.3699999999999999), np.float64(0.030000000000000138)]"
6,1650,4170,4500,0.3424242424242424,-0.02009038610839125,-1.3601286982111358,-0.0410491959403611,0.2857142857142857,7,"[np.float64(0.0), np.float64(0.86), np.float64(0.14)]"
7,1980,4500,4830,0.3606060606060606,-0.05783078711962098,-7.037094050069228,-0.05877141592578337,0.0,8,"[np.float64(0.0), np.float64(0.89), np.float64(0.10999999999999999)]"
8,2310,4830,5160,0.5575757575757576,-0.07777889607802717,-3.910179185724537,-0.07777889607802717,0.0,5,"[np.float64(0.45), np.float64(0.5), np.float64(0.050000000000000044)]"
9,2640,5160,5490,0.5424242424242425,-0.01458844085074452,-0.6172995512193259,-0.040651548892309985,0.25,4,"[np.float64(0.8500000000000001), np.float64(0.05), np.float64(0.09999999999999991)]"
10,2970,5490,5820,0.6242424242424243,-0.0030013856321034838,-0.4633699980874124,-0.012685376917455774,0.3333333333333333,3,"[np.float64(0.0), np.float64(0.9500000000000001), np.float64(0.04999999999999993)]"
11,3300,5820,6150,0.18787878787878787,-0.04252218747144252,-1.1661752219643788,-0.09813502165121425,0.2727272727272727,11,"[np.float64(0.15000000000000002), np.float64(0.0), np.float64(0.85)]"
12,3630,6150,6480,0.3878787878787879,-0.04528625442124303,-2.2701925696400793,-0.07406406730382624,0.2222222222222222,9,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
13,3960,6480,6810,0.4,0.025424531652102633,0.8833271262460585,-0.08027913565814201,0.375,8,"[np.float64(0.049999999999999906), np.float64(0.029999999999999957), np.float64(0.9200000000000002)]"
14,4290,6810,7140,0.6575757575757576,-0.041521068350127095,-2.9081767429751113,-0.06172296750699249,0.25,4,"[np.float64(0.9), np.float64(0.0), np.float64(0.09999999999999998)]"
15,4620,7140,7470,0.43333333333333335,0.03006964008364703,1.1265549083854134,-0.042890426804326545,0.5,4,"[np.float64(0.0), np.float64(0.99), np.float64(0.010000000000000009)]"
16,4950,7470,7800,0.2909090909090909,0.08284212864982564,2.5713762098502024,-0.04972254865743285,0.45454545454545453,11,"[np.float64(0.05000000000000001), np.float64(0.05000000000000001), np.float64(0.9)]"
17,5280,7800,8130,0.2909090909090909,-0.01093694693630623,-0.40804358476005526,-0.06819097089419571,0.25,4,"[np.float64(0.10999999999999989), np.float64(0.8599999999999998), np.float64(0.03000000000000036)]"
18,5610,8130,8460,0.6727272727272727,0.0,0.0,0.0,0.0,0,"[np.float64(0.9500000000000001), np.float64(0.0), np.float64(0.04999999999999993)]"
19,5940,8460,8790,0.2787878787878788,-0.04317414989141253,-1.9704119064791779,-0.06031422361789474,0.2857142857142857,14,"[np.float64(0.1), np.float64(0.25), np.float64(0.65)]"
20,6270,8790,9120,0.2,0.02097911677608099,1.2257060342667012,-0.03498881156837733,0.5,12,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
21,6600,9120,9450,0.18181818181818182,-0.04462739669670446,-2.406537563108468,-0.06720058883675895,0.3,10,"[np.float64(0.0), np.float64(0.6000000000000001), np.float64(0.3999999999999999)]"
22,6930,9450,9780,0.30606060606060603,0.04546114633412945,2.1928096204551815,-0.029838317260564837,0.5,6,"[np.float64(0.0), np.float64(0.9500000000000001), np.float64(0.04999999999999993)]"
23,7260,9780,10110,0.4636363636363636,-0.020516386957225585,-1.0359670663674314,-0.06162729013309895,0.3333333333333333,9,"[np.float64(0.2599999999999999), np.float64(0.0), np.float64(0.7400000000000001)]"
