fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,420,475,0.9454545454545454,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
2,55,475,530,0.9454545454545454,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
3,110,530,585,1.0,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
4,165,585,640,0.8181818181818182,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
5,220,640,695,0.9090909090909091,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
6,275,695,750,0.8545454545454545,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
7,330,750,805,0.9454545454545454,0.030014236581018486,3.774773140853473,-0.0010678128930673037,1.0,1,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
8,385,805,860,0.9636363636363636,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
9,440,860,915,0.7454545454545455,-0.013210356857070473,-1.1731229577810285,-0.031006298852306945,0.0,1,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
10,495,915,970,0.9454545454545454,0.007488594511755218,0.7003710027991934,-0.020003912114448342,1.0,1,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
11,550,970,1025,0.9636363636363636,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.35000000000000003), np.float64(0.6499999999999999)]"
12,605,1025,1080,0.8727272727272727,-0.022177714706971528,-2.2936440547279893,-0.022177714706971528,0.0,1,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
