fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,10080,11400,0.3568181818181818,0.019488445025892726,0.8058005717022595,-0.06807502117208433,0.34782608695652173,23,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
2,1320,11400,12720,0.2863636363636364,0.0,0.0,0.0,0.0,0,"[np.float64(0.96), np.float64(0.039999999999999925), np.float64(1.1102230246251565e-16)]"
3,2640,12720,14040,0.2924242424242424,0.00977490638423733,0.5299251939309682,-0.06532839235899977,0.325,40,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
4,3960,14040,15360,0.32196969696969696,0.0023594351353391175,0.5574226291565525,-0.010551237937730912,0.5,4,"[np.float64(0.45), np.float64(0.2), np.float64(0.35000000000000003)]"
5,5280,15360,16680,0.22348484848484848,-0.06145380467365849,-4.39892953000849,-0.06703610755624541,0.2564102564102564,39,"[np.float64(0.7000000000000001), np.float64(0.0), np.float64(0.29999999999999993)]"
6,6600,16680,18000,0.3613636363636364,-0.014905574106024505,-0.5375698729989198,-0.06112819488102592,0.34831460674157305,89,"[np.float64(0.1), np.float64(0.8500000000000001), np.float64(0.04999999999999993)]"
7,7920,18000,19320,0.18636363636363637,-0.02498200523242267,-2.1439689963477218,-0.032675745612809955,0.3333333333333333,18,"[np.float64(0.3999999999999999), np.float64(0.1099999999999999), np.float64(0.4900000000000002)]"
8,9240,19320,20640,0.36742424242424243,0.011873247358660228,0.5895494687647616,-0.04427786271469987,0.4222222222222222,90,"[np.float64(0.00999999999999994), np.float64(0.99), np.float64(1.1102230246251565e-16)]"
9,10560,20640,21960,0.2606060606060606,-0.04301370834816535,-3.2207385347476416,-0.0589568110721619,0.3584905660377358,53,"[np.float64(0.0), np.float64(0.6799999999999999), np.float64(0.32000000000000006)]"
10,11880,21960,23280,0.2356060606060606,-0.16880753533679654,-5.208718021604014,-0.1831571581287066,0.2647058823529412,102,"[np.float64(0.0), np.float64(0.5700000000000001), np.float64(0.42999999999999994)]"
11,13200,23280,24600,0.2878787878787879,-0.03459863363627337,-1.8787718202955102,-0.057474508591528736,0.34782608695652173,46,"[np.float64(0.45), np.float64(0.5), np.float64(0.050000000000000044)]"
12,14520,24600,25920,0.2924242424242424,-0.08418987355848877,-2.5695033431151626,-0.13025180151562862,0.3302752293577982,109,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
13,15840,25920,27240,0.21742424242424244,-0.01180975693114051,-0.4992261341485098,-0.05851824045295259,0.3684210526315789,38,"[np.float64(0.09999999999999976), np.float64(0.029999999999999763), np.float64(0.8700000000000004)]"
14,17160,27240,28560,0.2916666666666667,-0.014157135396966624,-1.0625952084800894,-0.03425904819182097,0.38461538461538464,13,"[np.float64(0.87), np.float64(0.0), np.float64(0.13)]"
15,18480,28560,29880,0.328030303030303,0.0,0.0,0.0,0.0,0,"[np.float64(0.9499999999999997), np.float64(0.049999999999999684), np.float64(5.828670879282072e-16)]"
16,19800,29880,31200,0.3151515151515151,0.0,0.0,0.0,0.0,0,"[np.float64(0.9699999999999998), np.float64(0.02999999999999979), np.float64(4.579669976578771e-16)]"
17,21120,31200,32520,0.3378787878787879,-0.17754829939712016,-4.248590822692784,-0.19456259752536625,0.29357798165137616,109,"[np.float64(0.08999999999999996), np.float64(0.79), np.float64(0.12)]"
18,22440,32520,33840,0.36287878787878786,-0.06773574978753749,-1.8026290062164738,-0.1380837147819895,0.32608695652173914,92,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]"
19,23760,33840,35160,0.2409090909090909,-0.1343370064364335,-4.763157917383833,-0.16670635776013235,0.23809523809523808,63,"[np.float64(0.20999999999999996), np.float64(0.49999999999999994), np.float64(0.2900000000000001)]"
20,25080,35160,36480,0.27045454545454545,0.0,0.0,0.0,0.0,0,"[np.float64(0.9499999999999997), np.float64(0.029999999999999707), np.float64(0.02000000000000056)]"
21,26400,36480,37800,0.2871212121212121,-0.04214642440438147,-2.66609911534879,-0.07897019360107724,0.2978723404255319,47,"[np.float64(0.1), np.float64(0.45), np.float64(0.45)]"
22,27720,37800,39120,0.32272727272727275,0.0006246894981421064,0.15614392251508338,-0.00801157248148338,0.3333333333333333,3,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]"
23,29040,39120,40440,0.27045454545454545,-0.03488383056627681,-1.164380550253074,-0.08581549543764896,0.3333333333333333,18,"[np.float64(0.8999999999999998), np.float64(0.08999999999999984), np.float64(0.010000000000000356)]"
24,30360,40440,41760,0.23030303030303031,-0.0384773298566819,-2.1063577654855883,-0.06095264018120336,0.3333333333333333,33,"[np.float64(0.7599999999999999), np.float64(0.22999999999999993), np.float64(0.010000000000000175)]"
