fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights,horizon_bars,threshold
1,0,10080,11400,0.44772727272727275,-0.03864046392493638,-1.8202995837685305,-0.06592067571762251,0.2857142857142857,14,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]",8,0.018
2,1320,11400,12720,0.5,-0.011909907227674193,-1.5335514138935766,-0.017476197946776482,0.3,10,"[np.float64(0.0), np.float64(0.9299999999999999), np.float64(0.07000000000000006)]",8,0.018
3,2640,12720,14040,0.7113636363636363,0.0,0.0,0.0,0.0,0,"[np.float64(0.69), np.float64(0.07999999999999988), np.float64(0.23000000000000018)]",8,0.018
4,3960,14040,15360,0.7568181818181818,0.0,0.0,0.0,0.0,0,"[np.float64(0.6899999999999996), np.float64(0.30999999999999983), np.float64(5.551115123125783e-16)]",8,0.018
5,5280,15360,16680,0.8113636363636364,0.0,0.0,0.0,0.0,0,"[np.float64(0.019999999999999934), np.float64(0.66), np.float64(0.32000000000000006)]",8,0.018
6,6600,16680,18000,0.6901515151515152,0.0,0.0,0.0,0.0,0,"[np.float64(0.45), np.float64(0.25), np.float64(0.30000000000000004)]",8,0.018
7,7920,18000,19320,0.8446969696969697,0.0,0.0,0.0,0.0,0,"[np.float64(0.25), np.float64(0.75), np.float64(0.0)]",8,0.018
8,9240,19320,20640,0.8166666666666667,0.0,0.0,0.0,0.0,0,"[np.float64(0.16999999999999998), np.float64(0.28), np.float64(0.55)]",8,0.018
9,10560,20640,21960,0.8606060606060606,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.05), np.float64(0.95)]",8,0.018
10,11880,21960,23280,0.8522727272727273,0.0,0.0,0.0,0.0,0,"[np.float64(0.4099999999999999), np.float64(0.44999999999999996), np.float64(0.14000000000000012)]",8,0.018
11,13200,23280,24600,0.7181818181818181,0.0,0.0,0.0,0.0,0,"[np.float64(0.55), np.float64(0.05), np.float64(0.39999999999999997)]",8,0.018
12,14520,24600,25920,0.6303030303030303,-0.09368241196048366,-4.190433431374298,-0.11055944671259221,0.23529411764705882,34,"[np.float64(0.30000000000000004), np.float64(0.65), np.float64(0.04999999999999993)]",8,0.018
13,15840,25920,27240,0.5992424242424242,0.017278861205446264,4.100392203747512,-0.002260452662990928,1.0,1,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]",8,0.018
14,17160,27240,28560,0.8636363636363636,0.0,0.0,0.0,0.0,0,"[np.float64(0.8799999999999999), np.float64(0.00999999999999994), np.float64(0.11000000000000017)]",8,0.018
15,18480,28560,29880,0.8159090909090909,0.0,0.0,0.0,0.0,0,"[np.float64(0.9500000000000001), np.float64(0.0), np.float64(0.04999999999999993)]",8,0.018
16,19800,29880,31200,0.9037878787878788,0.0,0.0,0.0,0.0,0,"[np.float64(0.75), np.float64(0.0), np.float64(0.25)]",8,0.018
17,21120,31200,32520,0.42272727272727273,0.08294394234475203,2.691291378512119,-0.04777785942314924,0.5,22,"[np.float64(0.25), np.float64(0.30000000000000004), np.float64(0.44999999999999996)]",8,0.018
18,22440,32520,33840,0.5303030303030303,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",8,0.018
19,23760,33840,35160,0.5037878787878788,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.029999999999999957), np.float64(0.9700000000000001)]",8,0.018
20,25080,35160,36480,0.7068181818181818,0.0,0.0,0.0,0.0,0,"[np.float64(0.75), np.float64(0.05), np.float64(0.2)]",8,0.018
21,26400,36480,37800,0.7484848484848485,0.0,0.0,0.0,0.0,0,"[np.float64(0.64), np.float64(0.1499999999999999), np.float64(0.21000000000000008)]",8,0.018
22,27720,37800,39120,0.6416666666666667,-0.005800283671792022,-2.8987654075240963,-0.007926166265144885,0.0,1,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]",8,0.018
23,29040,39120,40440,0.5151515151515151,-0.03787386070458306,-2.4354193252111136,-0.056083277718279534,0.25,8,"[np.float64(0.95), np.float64(0.00999999999999994), np.float64(0.040000000000000105)]",8,0.018
24,30360,40440,41760,0.5318181818181819,-0.0180587278485169,-3.1440173220436973,-0.0180587278485169,0.0,3,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]",8,0.018
